Item_ID	Weapon_Type
10624	ranged
10704	ranged
10761	one-hand
10796	off-hand
10823	one-hand
10835	off-hand
1131	off-hand
1168	off-hand
11684	main-hand-only
11748	ranged
11750	main-hand-only
11784	main-hand-only
11902	main-hand-only
11904	off-hand
11920	main-hand-only
11921	main-hand-only
11922	one-hand
11923	main-hand-only
11928	off-hand
11931	main-hand-only
11932	main-hand-only
11935	off-hand
1203	off-hand
12062	one-hand
1207	one-hand
12535	one-hand
12583	main-hand-only
12584	one-hand
12590	one-hand
12602	off-hand
12605	ranged
1263	main-hand-only
12651	ranged
12653	ranged
12709	main-hand-only
12784	main-hand-only
12794	main-hand-only
12798	main-hand-only
12939	off-hand
12940	main-hand-only
13003	main-hand-only
13015	one-hand
13022	ranged
13029	off-hand
13036	one-hand
13039	ranged
13047	main-hand-only
13052	main-hand-only
13064	ranged
13082	off-hand
13083	off-hand
13139	ranged
13161	main-hand-only
13163	main-hand-only
13167	main-hand-only
13204	one-hand
13205	off-hand
13243	off-hand
13246	one-hand
13249	main-hand-only
13285	main-hand-only
13286	one-hand
13289	ranged
13348	main-hand-only
13349	main-hand-only
13360	one-hand
13361	one-hand
13368	one-hand
13385	off-hand
13396	ranged
13401	one-hand
13534	ranged
13938	ranged
13952	main-hand-only
13953	main-hand-only
13964	one-hand
13983	main-hand-only
14002	off-hand
14528	off-hand
14555	one-hand
14973	off-hand
15227	one-hand
15228	one-hand
15229	one-hand
15239	one-hand
15245	one-hand
15246	one-hand
15247	one-hand
15264	main-hand-only
15274	main-hand-only
15275	main-hand-only
15276	main-hand-only
15278	main-hand-only
15279	ranged
15280	ranged
15281	ranged
15282	ranged
15283	ranged
15618	off-hand
15633	off-hand
15648	off-hand
15706	one-hand
15805	off-hand
15806	one-hand
15853	one-hand
15854	main-hand-only
15866	off-hand
15931	off-hand
15936	off-hand
15938	off-hand
15939	off-hand
15940	off-hand
15941	off-hand
15942	off-hand
15981	off-hand
15982	off-hand
15984	off-hand
15985	off-hand
15986	off-hand
15988	off-hand
1607	main-hand-only
1608	one-hand
16345	one-hand
16768	off-hand
16997	ranged
16998	off-hand
17066	off-hand
17067	off-hand
17068	one-hand
17069	ranged
17070	one-hand
17071	one-hand
17072	ranged
17073	main-hand-only
17075	one-hand
17076	main-hand-only
17077	ranged
17103	main-hand-only
17104	main-hand-only
17105	one-hand
17106	off-hand
17112	main-hand-only
17113	main-hand-only
17182	main-hand-only
17193	main-hand-only
17705	one-hand
17710	main-hand-only
17718	off-hand
17719	one-hand
17780	main-hand-only
17943	main-hand-only
18048	main-hand-only
18082	main-hand-only
18168	off-hand
18203	main-hand-only
18301	ranged
18311	main-hand-only
18321	main-hand-only
18323	ranged
18338	ranged
18348	main-hand-only
18372	main-hand-only
18376	one-hand
18392	off-hand
18396	main-hand-only
18420	main-hand-only
18483	ranged
18485	off-hand
18491	main-hand-only
18498	one-hand
18499	off-hand
18520	main-hand-only
18523	off-hand
18531	main-hand-only
18534	main-hand-only
18536	off-hand
18538	main-hand-only
18608	main-hand-only
18609	main-hand-only
18680	ranged
18683	one-hand
18695	off-hand
18696	off-hand
18713	ranged
18715	main-hand-only
18717	main-hand-only
18725	main-hand-only
18737	one-hand
18738	ranged
18761	ranged
18803	main-hand-only
18805	one-hand
18816	one-hand
18822	main-hand-only
18825	off-hand
18826	off-hand
18827	one-hand
18828	one-hand
18831	main-hand-only
18832	one-hand
18836	ranged
18837	ranged
18838	one-hand
18840	one-hand
18842	main-hand-only
18843	main-hand-only
18844	main-hand-only
18847	off-hand
18848	off-hand
18855	ranged
18860	ranged
18865	one-hand
18867	main-hand-only
18868	main-hand-only
18869	main-hand-only
18871	main-hand-only
18873	main-hand-only
18876	main-hand-only
18877	main-hand-only
18878	main-hand-only
19019	one-hand
19100	one-hand
19101	main-hand-only
19102	main-hand-only
19103	one-hand
19104	one-hand
19106	main-hand-only
19107	ranged
19108	ranged
19115	off-hand
19118	ranged
19130	ranged
19142	off-hand
19169	main-hand-only
19308	off-hand
19309	off-hand
19310	off-hand
19311	off-hand
19312	off-hand
19315	off-hand
19321	off-hand
19323	main-hand-only
19324	one-hand
19334	main-hand-only
19335	main-hand-only
19346	one-hand
19347	one-hand
19348	off-hand
19349	off-hand
19350	ranged
19351	one-hand
19352	one-hand
19353	main-hand-only
19354	main-hand-only
19355	main-hand-only
19356	main-hand-only
19357	main-hand-only
19358	main-hand-only
19360	main-hand-only
19361	ranged
19362	one-hand
19363	one-hand
19364	main-hand-only
19365	main-hand-only
19366	off-hand
19367	ranged
19368	ranged
19435	ranged
19852	one-hand
19853	ranged
19854	main-hand-only
19859	one-hand
19861	ranged
19862	off-hand
19864	main-hand-only
19865	main-hand-only
19866	off-hand
19867	main-hand-only
19884	main-hand-only
19890	main-hand-only
19891	off-hand
19896	main-hand-only
19901	one-hand
19903	main-hand-only
19909	main-hand-only
19915	off-hand
19918	main-hand-only
19921	one-hand
19922	off-hand
19927	ranged
19944	main-hand-only
19962	main-hand-only
19964	main-hand-only
19965	main-hand-only
19967	ranged
19968	main-hand-only
20038	ranged
20082	ranged
20580	main-hand-only
20581	main-hand-only
20582	off-hand
20599	ranged
20648	main-hand-only
20672	ranged
20688	off-hand
20698	main-hand-only
20720	main-hand-only
2100	ranged
21126	one-hand
21128	main-hand-only
21134	main-hand-only
21242	one-hand
21244	one-hand
21268	one-hand
21269	off-hand
21273	main-hand-only
