Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Stuba	The Pond pug	Horde	818.3	40	Jun 14	42:41	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Cyclone Spaulders (18528)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Eye of the Beast (13968)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Idol of Rejuvenation (22398)
2	별빛섬광	서리1공	Alliance	788.9	40	Jul 7	50:09	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Neltharion's Tear (19379)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Tome of Arcane Domination (19308)	N/A
3	Primuh	The Pond pug	Horde	759.7	40	Jun 14	42:41	High Councillor's Circlet (10139)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
4	Mob	NeverDream	Alliance	759.3	40	Jun 22	29:49	Bloodvine Goggles (19999)	Soul Corrupter's Necklace (19876)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
5	Guydance	The Pond pug	Horde	754.4	40	Jun 23	42:47	The Hexxer's Cover (19886)	Soul Corrupter's Necklace (19876)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Rune Band of Wizardry (22339)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	High Warlord's Spellblade (23466)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
6	고독한미식가	서리3공	Alliance	746.9	40	Jun 30	50:00	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Burial Shawl (18681)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Sublime Wristguards (18497)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Egan's Blaster (13289)
7	Naapi	Gnomeboys	Alliance	735.6	40	May 15	34:13	The Hexxer's Cover (19886)	Orb of the Darkmoon (19426)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Mighty Gauntlets (10149)	Ring of Spell Power (19147)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
8	Bobwiley	The Imperium	Horde	684.1	40	Jun 20	32:15	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Adventurer's Bracers (10256)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Shadow Wing Focus Staff (19355)	N/A	N/A
9	Melbee	Dad Guild	Alliance	679.5	40	Jun 12	43:01	The Hexxer's Cover (19886)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Tearfall Bracers (13409)	Hands of Power (13253)	Band of Forced Concentration (19403)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
10	Baldwín	BLAST	Horde	678.4	40	May 15	31:48	Bloodvine Goggles (19999)	Star of Mystaria (12103)	Warlord's Dragonhide Epaulets (16551)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Maiden's Circle (13001)	Maiden's Circle (13001)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of Arcane Domination (19308)	N/A
11	Baldwín	BLAST	Horde	660.3	40	Jun 12	35:56	Bloodvine Goggles (19999)	Star of Mystaria (12103)	Warlord's Dragonhide Epaulets (16551)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Maiden's Circle (13001)	Talisman of Ephemeral Power (18820)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of Arcane Domination (19308)	N/A
12	Qtmiri	Unseasoned	Alliance	647.3	39	Jun 29	33:27	Elegant Circlet (10219)	Orb of the Darkmoon (19426)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Talisman of Ephemeral Power (18820)	Eye of the Beast (13968)	Cloak of the Hakkari Worshippers (22711)	Claw of Chromaggus (19347)	Tome of Arcane Domination (19308)	N/A
13	Demonictism	Last Time	Alliance	644.9	40	Jun 20	50:21	Mish'undare, Circlet of the Mind Flayer (19375)	Pristine Enchanted South Seas Kelp (19613)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Eye of the Beast (13968)	Cloak of Consumption (19857)	Staff of Dominance (18842)	N/A	N/A
14	Redrocket	Omen	Horde	643.4	40	Jun 15	42:07	Mish'undare, Circlet of the Mind Flayer (19375)	Star of Mystaria (12103)	Master's Mantle (10253)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Band of Forced Concentration (19403)	Zanzil's Seal (19893)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Staff of Dominance (18842)	N/A	N/A
15	Mbell	N/A	Unknown	641.4	40	Jun 14	29:14	Mish'undare, Circlet of the Mind Flayer (19375)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	N/A
16	Murderfaces	Leeroys Shenanigans	Alliance	640.1	40	Jul 2	34:04	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of Enlightenment (17109)	Burial Shawl (18681)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Eye of the Beast (13968)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
17	Erival	Inner Sanctum	Alliance	635.2	40	Jun 22	36:00	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Burial Shawl (18681)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Eternal Bindings (14330)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Fang of the Mystics (17070)	Jin'do's Bag of Whammies (19891)	Idol of Rejuvenation (22398)
18	Honeydudu	N/A	Unknown	630.0	40	Jun 26	29:09	The Hexxer's Cover (19886)	Star of Mystaria (12103)	Master's Mantle (10253)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	High Councillor's Cloak (10138)	High Warlord's Spellblade (23466)	Tome of Arcane Domination (19308)	N/A
19	Jämr	N/A	Unknown	627.7	40	Jun 11	37:02	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Orphic Bracers (18337)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Staff of the Shadow Flame (19356)	N/A	N/A
20	Naapi	Gnomeboys	Alliance	624.3	40	Jun 19	33:43	The Hexxer's Cover (19886)	Orb of the Darkmoon (19426)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
21	Beisikk	The Fellowship	Horde	623.8	40	Jun 25	25:33	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Darkwater Bracers (10800)	Adventurer's Gloves (10260)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Staff of Dominance (18842)	N/A	N/A
22	Redrocket	Omen	Horde	605.8	40	May 25	25:24	Mish'undare, Circlet of the Mind Flayer (19375)	Star of Mystaria (12103)	Elegant Mantle (10210)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Band of Forced Concentration (19403)	Zanzil's Seal (19893)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Staff of Dominance (18842)	N/A	N/A
23	Farian	Fate	Horde	598.5	40	May 19	59:30	Nightshade Helmet (10226)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Band of Forced Concentration (19403)	Maiden's Circle (13001)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	N/A
24	Stuba	The Pond pug	Horde	586.0	40	May 25	40:03	Mish'undare, Circlet of the Mind Flayer (19375)	Jeklik's Opaline Talisman (19923)	Cyclone Spaulders (18528)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Taut Dragonhide Gloves (19390)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Eye of the Beast (13968)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	Staff of the Shadow Flame (19356)	N/A	Egan's Blaster (13289)
25	별빛섬광	N/A	Unknown	584.8	40	Jun 19	50:37	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Neltharion's Tear (19379)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Tome of Arcane Domination (19308)	N/A
26	Shaniatwain	N/A	Unknown	581.6	40	Jun 9	41:39	Master's Hat (10250)	Pristine Enchanted South Seas Kelp (19613)	Master's Mantle (10253)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	Bloodstrike Dagger (15247)	Tome of Arcane Domination (19308)	N/A
27	Celeqt	N/A	Unknown	577.9	40	Jun 29	19:39	The Hexxer's Cover (19886)	Star of Mystaria (12103)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Gloves of Delusional Power (20618)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Zandalarian Hero Charm (19950)	Eye of the Beast (13968)	Cloak of the Hakkari Worshippers (22711)	Staff of Dominance (18842)	N/A	N/A
28	Kushu	N/A	Unknown	576.2	40	Jun 21	32:38	Mighty Helmet (10150)	Soul Corrupter's Necklace (19876)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Cenarion Belt (16828)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Dreamweave Gloves (10019)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18470)	Cloak of the Hakkari Worshippers (22711)	Fang of the Mystics (17070)	Trance Stone (20582)	N/A
29	Mirya	N/A	Unknown	572.0	40	Jun 18	36:05	Mish'undare, Circlet of the Mind Flayer (19375)	Orb of the Darkmoon (19426)	Field Marshal's Dragonhide Spaulders (16449)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
30	Arzarzarzar	Relapse	Horde	570.8	40	Jun 11	30:39	The Hexxer's Cover (19886)	Choker of Enlightenment (17109)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Elegant Bracers (10213)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Eye of the Beast (13968)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
31	Taftaf	Mirages	Alliance	566.9	40	Jun 9	35:41	The Hexxer's Cover (19886)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Nightshade Armguards (10223)	Bloodtinged Gloves (19929)	Songstone of Ironforge (12543)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
32	Gigimurin	Numenorian	Alliance	566.8	39	Jun 11	31:25	Mish'undare, Circlet of the Mind Flayer (19375)	Soul Corrupter's Necklace (19876)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Sublime Wristguards (18497)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	N/A
33	Tesquakka	N/A	Unknown	566.6	38	Jun 18	39:30	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Tearfall Bracers (13409)	Bloodtinged Gloves (19929)	Eye of Orgrimmar (12545)	Zanzil's Seal (19893)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Therazane's Touch (19315)	N/A
34	Gankolaus	Animals	Alliance	562.2	39	Jul 7	39:25	The Hexxer's Cover (19886)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cinderhide Armsplints (11764)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Band of Forced Concentration (19403)	Talisman of Ephemeral Power (18820)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Jin'do's Bag of Whammies (19891)	Egan's Blaster (13289)
35	Grantx	Unboon	Alliance	562.1	40	Jun 11	33:18	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Master's Mantle (10253)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Adventurer's Gloves (10260)	Ring of Spell Power (19147)	Rune Band of Wizardry (22339)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Idol of Rejuvenation (22398)
36	Taftaf	Mirages	Alliance	559.7	40	Jun 15	34:00	The Hexxer's Cover (19886)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Nightshade Armguards (10223)	Bloodtinged Gloves (19929)	Songstone of Ironforge (12543)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Idol of Rejuvenation (22398)
37	Koudi	Resurrection	Alliance	550.2	40	Jun 27	39:57	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	N/A
38	Dìsí	Skedaddle	Alliance	550.0	40	Jun 1	37:13	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	High Councillor's Mantle (10142)	Master's Robe (10254)	Belt of Untapped Power (22716)	Bloodtinged Kilt (19895)	Omnicast Boots (11822)	Eternal Bindings (14330)	Mighty Gauntlets (10149)	Songstone of Ironforge (12543)	Band of the Unicorn (7553)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Shadow Wing Focus Staff (19355)	N/A	Idol of Rejuvenation (22398)
39	Monkmonk	casuals	Alliance	545.4	40	Jun 30	27:07	The Hexxer's Cover (19886)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Zanzil's Band (19905)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
