Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Catbenus	SQUAWK	Horde	1,373.6	40	Jun 22	42:01	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Zandalarian Hero Medallion (19949)	Windshear Cape (20691)	Manual Crowd Pummeler (9449)	N/A	N/A
2	Appa	Gnomeboys	Alliance	1,317.3	40	Jun 9	35:07	Field Marshal's Dragonhide Helmet (16451)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Zandalarian Hero Medallion (19949)	Drake Fang Talisman (19406)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
3	Bluehairdog	BOKPUG	Alliance	1,289.8	40	Jul 8	17:41	Mighty Helmet (10150)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Dragonhide Shoulders (23309)	Knight-Captain's Dragonhide Chestpiece (23294)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Myrmidon's Signet (2246)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
4	Peepoweird	Pump Factory	Horde	1,269.4	40	Jun 18	43:57	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Forest Stalker's Bracers (19587)	General's Dragonhide Gloves (16555)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
5	Biteclub	SQUAWK	Horde	1,268.6	40	Jun 11	53:53	Warlord's Dragonhide Helmet (16550)	Amulet of the Darkmoon (19491)	Abyssal Leather Shoulders (20689)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Band of Accuria (17063)	Zandalarian Hero Medallion (19949)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
6	Catbenus	SQUAWK	Horde	1,266.1	40	Jun 29	43:52	Warlord's Dragonhide Helmet (16550)	Prestor's Talisman of Connivery (19377)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Zandalarian Hero Medallion (19949)	Windshear Cape (20691)	Manual Crowd Pummeler (9449)	N/A	N/A
7	Littleotter	ofc	Alliance	1,265.7	40	Jul 3	36:23	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Zandalarian Hero Medallion (19949)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
8	Plusle	Primates	Alliance	1,263.6	39	Jun 22	43:42	Field Marshal's Dragonhide Helmet (16451)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	N/A
9	Appa	Gnomeboys	Alliance	1,260.1	40	May 8	37:55	Field Marshal's Dragonhide Helmet (16451)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
10	대드루이드울트라	여고생	Alliance	1,251.2	40	Jun 30	42:02	Field Marshal's Dragonhide Helmet (16451)	Prestor's Talisman of Connivery (19377)	Abyssal Leather Shoulders (20689)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Bracers of the Eclipse (18375)	Marshal's Dragonhide Gauntlets (16448)	Circle of Applied Force (19432)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	N/A
11	Frostclaw	N/A	Unknown	1,220.5	38	Jun 16	35:37	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
