Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Onetwoatmeal	Smooth	Horde	952.3	40	Jun 27	51:28	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Circle of Applied Force (19432)	Band of Accuria (17063)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
2	Zlataan	GG Pugs	Horde	907.6	40	Jul 4	38:01	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	N/A
3	Tahlen	N/A	Unknown	879.8	39	Jun 23	38:59	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
4	Tahlen	N/A	Unknown	872.5	40	Jul 7	36:53	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
5	Babel	N/A	Unknown	866.5	40	Jul 2	20:48	Field Marshal's Dragonhide Helmet (16451)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
6	Leechh	N/A	Unknown	865.2	40	Jun 25	49:37	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Bracers of the Eclipse (18375)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
7	Onima	EPSILON	Alliance	860.4	40	Jun 11	44:01	Field Marshal's Dragonhide Helmet (16451)	Amulet of the Darkmoon (19491)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Zandalarian Hero Medallion (19949)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
8	Zlataan	GG Pugs	Horde	778.6	39	Jun 20	39:23	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	N/A
9	금수울트라	N/A	Unknown	777.6	40	Jul 9	44:19	Shadowcraft Cap (16707)	Prestor's Talisman of Connivery (19377)	Abyssal Leather Shoulders (20689)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Circle of Applied Force (19432)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
10	Dúd	Sanity	Horde	767.8	40	Jun 29	19:50	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
