Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Useless	Eternal	Alliance	272.8	40	May 12	12:30	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Blooddrenched Footpads (19906)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Neltharion's Tear (19379)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
2	Cowgírl	Resist	Horde	248.5	40	Jun 23	55:07	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Band of Jin (19925)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Might of the Tribe (22712)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
3	Eqi	Dead Storms	Horde	224.5	40	Jun 26	1:01:56	Stormrage Cover (16900)	Tooth of Gnarr (13141)	Stormrage Pauldrons (16902)	Robes of the Exalted (13346)	Corehound Belt (19162)	Stormrage Legguards (16901)	Verdant Footpads (13954)	Cenarion Bracers (16830)	Stormrage Handguards (16899)	Primalist's Seal (19863)	Fordring's Seal (16058)	Insignia of the Horde (18853)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
4	Neeck	Green Wonder	Horde	214.9	40	May 18	1:03:46	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Legionnaire's Dragonhide Chestpiece (22877)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	General's Dragonhide Boots (16554)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Darkmoon Card: Maelstrom (19289)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
5	Phapephifter	Someone Puiied	Horde	212.7	40	May 1	37:14	Cenarion Helm (16834)	Pendant of the Fallen Dragon (19371)	Champion's Dragonhide Shoulders (23254)	Legionnaire's Dragonhide Chestpiece (22877)	Cenarion Belt (16828)	Legionnaire's Dragonhide Leggings (22878)	Waterspout Boots (18322)	Cenarion Bracers (16830)	Stormrage Handguards (16899)	Eye of Orgrimmar (12545)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
6	Rdudu	Eternal	Alliance	201.3	40	Jun 23	33:06	Blooddrenched Mask (22718)	Talisman of Evasion (13177)	Lieutenant Commander's Dragonhide Shoulders (23309)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Blademaster Leggings (12963)	Knight-Lieutenant's Dragonhide Treads (23281)	Stormrage Bracers (16904)	Blooddrenched Grips (19869)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Nifty Stopwatch (2820)	Royal Seal of Eldre'Thalas (18470)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
7	Redsquared	everybody panic	Horde	192.5	37	Jul 8	38:31	Cap of the Scarlet Savant (12752)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Dragonslayer's Signet (18403)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	N/A
8	Melbee	Dad Guild	Alliance	182.1	40	Mar 23	2:34:50	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	Kentic Amice (11624)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Hands of Power (13253)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Burst of Knowledge (11832)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Sorcerous Dagger (18878)	Therazane's Touch (19315)	Egan's Blaster (13289)
9	Ruarua	N/A	Unknown	171.7	39	Mar 21	2:49:21	Tribal War Feathers (12960)	Tooth of Gnarr (13141)	Living Shoulders (15061)	Cenarion Vestments (16833)	Whipvine Cord (18327)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Cenarion Bracers (16830)	Gloves of Restoration (18309)	Band of Rumination (18103)	Emerald Flame Ring (18395)	Barov Peasant Caller (14022)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Hyperthermically Insulated Lava Dredger (18803)	N/A	N/A
10	Yungsquirt	Even Keeled	Horde	164.9	40	May 15	16:46	Warlord's Dragonhide Helmet (16550)	Jungle Necklace (12046)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Blooddrenched Footpads (19906)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Insignia of the Horde (18853)	Rune of the Guard Captain (19120)	Frostwolf Legionnaire's Cloak (19083)	Manual Crowd Pummeler (9449)	N/A	N/A
