Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Zhyan	PiggyPugs	Alliance	216.0	40	Jun 23	24:31	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Judgment Belt (16952)	Knight-Captain's Lamellar Leggings (23273)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Dragonslayer's Signet (18403)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Therazane's Touch (19315)	Egan's Blaster (13289)
2	Emiko	based	Alliance	178.2	40	May 18	56:06	Judgment Crown (16955)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Ghoul Skin Leggings (18682)	Lawbringer Boots (16859)	Gallant's Wristguards (18459)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Fordring's Seal (16058)	Second Wind (11819)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Azuresong Mageblade (17103)	Lei of the Lifegiver (19312)	N/A
3	Adins	Full Circle	Alliance	138.4	40	Apr 9	35:15	Judgment Crown (16955)	Choker of Enlightenment (17109)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Band of the Unicorn (7553)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Hand of Justice (11815)	Stormpike Sage's Cloak (19086)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
4	Adins	Full Circle	Alliance	137.9	40	May 7	33:22	Judgment Crown (16955)	Choker of Enlightenment (17109)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Judgment Belt (16952)	Marshal's Lamellar Legplates (16475)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of the Unicorn (7553)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Hand of Justice (11815)	Stormpike Sage's Cloak (19086)	Grand Marshal's Claymore (18876)	N/A	N/A
5	Paksenarríon	Blood Inc	Alliance	122.6	39	May 18	37:51	Field Marshal's Lamellar Faceguard (16474)	Animated Chain Necklace (18723)	Lieutenant Commander's Lamellar Shoulders (23277)	Robes of the Exalted (13346)	Judgment Belt (16952)	Empowered Leggings (19385)	Knight-Lieutenant's Lamellar Sabatons (23275)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Grand Marshal's Claymore (18876)	N/A	N/A
6	Greggiiee	Elysium	Alliance	117.5	40	Jun 23	28:44	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robe of Volatile Power (19145)	Corehound Belt (19162)	Peacekeeper Leggings (20266)	Peacekeeper Boots (20265)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Fordring's Seal (16058)	Scrolls of Blinding Light (19343)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
7	Afklegend	Gambit	Alliance	117.4	41	Jun 26	53:44	Field Marshal's Lamellar Faceguard (16474)	Eskhandar's Collar (18205)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Zandalar Freethinker's Belt (19826)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Darkmoon Card: Maelstrom (19289)	Blackhand's Breadth (13965)	Fireproof Cloak (18811)	Grand Marshal's Battle Hammer (18867)	N/A	N/A
8	凉的圣光骑	N/A	Unknown	109.9	40	Jun 9	58:28	Field Marshal's Lamellar Faceguard (16474)	Will of the Martyr (17044)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Blackmist Armguards (12966)	Marshal's Lamellar Gloves (16471)	Circle of Applied Force (19432)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
9	Rædwald	Dwarves drank Baikal	Alliance	106.0	37	Jun 7	33:22	Field Marshal's Lamellar Faceguard (16474)	Will of the Martyr (17044)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Omokk's Girth Restrainer (13959)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Might of the Tribe (22712)	Grand Marshal's Claymore (18876)	N/A	N/A
10	Theodore	Azeroth Coffee Company	Alliance	102.3	40	Apr 23	57:43	Judgment Crown (16955)	Animated Chain Necklace (18723)	Lieutenant Commander's Lamellar Shoulders (23277)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Emerald Flame Ring (18395)	Rosewine Circle (13178)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18472)	Hide of the Wild (18510)	Flurry Axe (871)	Lei of the Lifegiver (19312)	N/A
