Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Pov	Omen	Alliance	475.9	38	Jul 2	37:52	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Don Julio's Band (19325)	Band of Servitude (22721)	Scrolls of Blinding Light (19343)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Skullflame Shield (1168)	N/A
2	Kalutor	The Company	Alliance	469.5	40	Jun 11	53:58	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Heavy Dark Iron Ring (18879)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
3	Versaeto	Invictus	Alliance	410.8	38	Jul 2	35:54	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Girdle of the Fallen Crusader (19392)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Zandalarian Hero Charm (19950)	Scrolls of Blinding Light (19343)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
4	Trashbirb	N/A	Unknown	376.1	39	Jul 3	45:07	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Lieutenant Commander's Lamellar Shoulders (23277)	Judgment Breastplate (16958)	Judgment Belt (16952)	Knight-Captain's Lamellar Leggings (23273)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Grand Marshal's Aegis (18825)	Libram of Hope (22401)
5	Ingo	N/A	Unknown	339.9	40	May 12	38:06	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Overlord's Onyx Band (19912)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Dragon's Blood Cape (17107)	Lok'amir il Romathis (19360)	Drillborer Disk (17066)	Egan's Blaster (13289)
6	Cûpcake	N/A	Unknown	287.7	40	Jun 15	54:22	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Heavy Dark Iron Ring (18879)	Styleen's Impeding Scarab (19431)	Talisman of Ephemeral Power (18820)	Overlord's Embrace (19888)	Flurry Axe (871)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
7	Helldivah	N/A	Unknown	282.4	39	Jun 28	54:47	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Sulfuras (19138)	Heavy Dark Iron Ring (18879)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Grand Marshal's Aegis (18825)	Egan's Blaster (13289)
8	Bonfield	Ironforged	Alliance	282.4	40	Jun 11	39:16	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Girdle of the Fallen Crusader (19392)	Bloodsoaked Legplates (19855)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Edgemaster's Handguards (14551)	Band of Jin (19925)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Stoneskin Gargoyle Cape (13397)	Grand Marshal's Handaxe (18827)	Force Reactive Disk (18168)	Libram of Hope (22401)
9	Meteor	N/A	Unknown	271.8	40	Jun 12	1:12:36	Lawbringer Helm (16854)	Eskhandar's Collar (18205)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Fiery Chain Girdle (16989)	Flamewaker Legplates (18861)	Marshal's Lamellar Boots (16472)	Dark Iron Bracers (17014)	Marshal's Lamellar Gloves (16471)	Overlord's Crimson Band (19873)	Overlord's Onyx Band (19912)	Zandalarian Hero Charm (19950)	Onyxia Blood Talisman (18406)	Onyxia Scale Cloak (15138)	Grand Marshal's Swiftblade (23456)	Skullflame Shield (1168)	Libram of Hope (22401)
10	捂蛋子	N/A	Unknown	268.2	39	Jul 5	1:16:25	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Archimtiros' Ring of Reckoning (19376)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Elementium Threaded Cloak (19386)	Azuresong Mageblade (17103)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
11	Dívinea	N/A	Unknown	261.1	40	Jul 8	1:22:45	Lightforge Helm (16727)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Zandalar Freethinker's Belt (19826)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Onyxia Blood Talisman (18406)	Cloak of the Brood Lord (19378)	Flurry Axe (871)	Malistar's Defender (17106)	N/A
12	Pepegaknight	N/A	Unknown	259.3	36	Jun 29	58:02	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Seal of the Archmagus (17110)	Tidal Loop (18398)	Styleen's Impeding Scarab (19431)	Zandalarian Hero Charm (19950)	Fireproof Cloak (18811)	Thunderfury, Blessed Blade of the Windseeker (19019)	Aegis of the Blood God (19862)	Libram of Hope (22401)
13	Draxam	N/A	Unknown	243.9	40	Jun 15	1:35:13	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Naglering (11669)	Briarwood Reed (12930)	Styleen's Impeding Scarab (19431)	Overlord's Embrace (19888)	Lok'amir il Romathis (19360)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
14	Tabula	Face Down	Alliance	238.8	40	Jul 4	47:47	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Girdle of the Fallen Crusader (19392)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Ring of Spell Power (19147)	Don Julio's Band (19325)	Hand of Justice (11815)	Styleen's Impeding Scarab (19431)	Dragon's Blood Cape (17107)	Thunderfury, Blessed Blade of the Windseeker (19019)	Elementium Reinforced Bulwark (19349)	N/A
15	Tinkling	N/A	Unknown	228.6	40	May 18	1:11:08	Judgment Crown (16955)	Talisman of Protection (19871)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Crimson Band (19873)	Songstone of Ironforge (12543)	Onyxia Blood Talisman (18406)	Zandalarian Hero Charm (19950)	Spritecaster Cape (11623)	Quel'Serrar (18348)	Skullflame Shield (1168)	Egan's Blaster (13289)
