Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Llama	based	Alliance	853.3	40	Jul 6	1:01:22	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Belt of Preserved Heads (20216)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Seal of the Gurubashi Berserker (22722)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Might of the Tribe (22712)	Sulfuras, Hand of Ragnaros (17182)	N/A	Egan's Blaster (13289)
2	Gales	Bulwark	Alliance	757.3	36	Jun 11	44:27	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Vambraces of the Sadist (13400)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Grand Marshal's Claymore (18876)	N/A	Egan's Blaster (13289)
3	Baskasa	N/A	Unknown	755.1	40	Jul 5	31:38	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
4	Gales	Bulwark	Alliance	747.7	39	Jul 2	35:36	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Seal of the Gurubashi Berserker (22722)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Grand Marshal's Claymore (18876)	N/A	Egan's Blaster (13289)
5	Schiffers	N/A	Unknown	729.1	40	May 25	39:54	Crown of Destruction (18817)	Blazefury Medallion (17111)	Field Marshal's Lamellar Pauldrons (16476)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Seal of Jin (19898)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	Libram of Hope (22401)
6	Feodyn	Big Yikes	Alliance	720.6	33	Jun 23	26:34	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Field Marshal's Lamellar Chestplate (16473)	Belt of Preserved Heads (20216)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Battleborn Armbraces (12936)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	Libram of Hope (22401)
7	심문	N/A	Unknown	715.1	40	May 15	56:21	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Stoneskin Gargoyle Cape (13397)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
8	Entaree	N/A	Unknown	714.3	39	May 15	35:45	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Grand Marshal's Claymore (18876)	N/A	Libram of Hope (22401)
9	Hurv	Neverland	Alliance	709.6	39	Jun 23	35:31	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Berserker Bracers (19578)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	N/A
10	Senpaidoge	N/A	Unknown	706.2	40	Jun 18	1:01:06	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Therazane's Link (19380)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Grand Marshal's Claymore (18876)	N/A	N/A
11	Seelyon	blurry	Alliance	699.6	39	Jun 28	30:27	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Abyssal Plate Legguards (20671)	Sapphiron's Scale Boots (13070)	Vambraces of the Sadist (13400)	Sacrificial Gauntlets (22714)	Myrmidon's Signet (2246)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Egan's Blaster (13289)
12	Jørgenallan	Fusk og Sjusk	Alliance	698.1	40	Jun 11	1:02:03	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Girdle of the Fallen Crusader (19392)	Legguards of the Fallen Crusader (19402)	Judgment Sabatons (16957)	Vambraces of the Sadist (13400)	Sacrificial Gauntlets (22714)	Myrmidon's Signet (2246)	Don Julio's Band (19325)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Sulfuras, Hand of Ragnaros (17182)	N/A	Egan's Blaster (13289)
13	심문	북서풍	Alliance	697.6	40	Jun 26	51:49	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Drake Talon Pauldrons (19394)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legguards of the Fallen Crusader (19402)	Chromatic Boots (19387)	Wristguards of True Flight (18812)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Scrolls of Blinding Light (19343)	Stoneskin Gargoyle Cape (13397)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
14	Dimemesal	N/A	Unknown	694.9	40	Jun 26	46:59	Helm of Endless Rage (19372)	Amulet of the Darkmoon (19491)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Belt of Preserved Heads (20216)	Legguards of the Fallen Crusader (19402)	Marshal's Lamellar Boots (16472)	Wristguards of Stability (19146)	Marshal's Lamellar Gloves (16471)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Claymore (18876)	N/A	N/A
