Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Sumata	blurry	Alliance	397.4	39	Jun 28	30:27	Field Marshal's Headdress (17602)	Jeklik's Opaline Talisman (19923)	Lieutenant Commander's Satin Mantle (23317)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bindings of Transcendence (16926)	Knight-Lieutenant's Satin Handwraps (23288)	Songstone of Ironforge (12543)	Ring of Blackrock (19397)	Nat Pagle's Broken Reel (19947)	Zandalarian Hero Charm (19950)	Sapphiron Drape (17078)	Grand Marshal's Mageblade (23451)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
2	Jannie	WOODDEPARTMENT	Alliance	276.7	40	May 9	1:00:46	Crystal Adorned Crown (19132)	Animated Chain Necklace (18723)	Field Marshal's Satin Mantle (17604)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Marshal's Satin Pants (17603)	Boots of Transcendence (16919)	Vambraces of Prophecy (16819)	Marshal's Satin Gloves (17608)	Fordring's Seal (16058)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Drape of Benediction (18208)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Dragon Finger (15282)
3	Moxlolol	goodnighting	Alliance	249.8	40	Jun 25	20:38	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Pauldrons of Transcendence (16924)	Truefaith Vestments (14154)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Betrayer's Boots (19897)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Cauterizing Band (19140)	Rejuvenating Gem (19395)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Touch of Chaos (19861)
4	Jillary	WOODDEPARTMENT	Alliance	244.8	40	May 23	50:20	Halo of Transcendence (16921)	Tempest Talisman (18317)	Lieutenant Commander's Satin Mantle (23317)	Robes of Transcendence (16923)	Stormpike Cloth Girdle (19094)	Knight-Captain's Satin Legguards (23302)	Knight-Lieutenant's Satin Walkers (23289)	Bindings of Transcendence (16926)	Knight-Lieutenant's Satin Handwraps (23288)	Pure Elementium Band (19382)	Ring of Blackrock (19397)	Royal Seal of Eldre'Thalas (18469)	Second Wind (11819)	Amplifying Cloak (18350)	Benediction (18608)	N/A	Lethtendris' Wand (18301)
5	Buffstealer	B R I C K E D	Alliance	231.0	40	Jun 13	16:54	Field Marshal's Headdress (17602)	Star of Mystaria (12103)	Field Marshal's Satin Mantle (17604)	Field Marshal's Satin Vestments (17605)	Ban'thok Sash (11662)	Marshal's Satin Pants (17603)	Marshal's Satin Sandals (17607)	Abyssal Cloth Wristbands (20690)	Marshal's Satin Gloves (17608)	Elemental Focus Band (20682)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Grand Marshal's Tome of Power (23452)	Dragon's Touch (19367)
6	Aresada	whos friend r u	Alliance	229.6	40	Jun 11	16:55	Halo of Transcendence (16921)	Soul Corrupter's Necklace (19876)	Mantle of Prophecy (16816)	Robes of Transcendence (16923)	Angelista's Grasp (19388)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Vambraces of Prophecy (16819)	Hands of the Exalted Herald (12554)	Zanzil's Band (19905)	Pure Elementium Band (19382)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
7	Ruxalsprite	AV RANKER	Horde	206.9	39	Apr 10	45:17	Green Lens (10504)	Orb of the Darkmoon (19426)	Mantle of Prophecy (16816)	Robes of the Exalted (13346)	Girdle of Prophecy (16817)	Leggings of Transcendence (16922)	Blood Guard's Satin Walkers (22859)	Councillor's Cuffs (10096)	Gloves of Prophecy (16812)	Ring of Blackrock (19397)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Blessed Prayer Beads (19990)	Archivist Cape (13386)	Benediction (18608)	N/A	Essence Gatherer (19435)
8	Îzñøgòúð	REDUCE REUSE RECYCLE	Horde	201.2	40	Apr 16	20:34	Champion's Satin Hood (23261)	Animated Chain Necklace (18723)	Champion's Satin Mantle (23262)	Robes of Prophecy (16815)	Firemaw's Clutch (19400)	Leggings of Transcendence (16922)	Shimmering Geta (19391)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Seal of the Archmagus (17110)	Band of Sulfuras (19138)	Royal Seal of Eldre'Thalas (18469)	Blessed Prayer Beads (19990)	Shroud of Pure Thought (19430)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Essence Gatherer (19435)
9	Priestdreamz	N/A	Unknown	191.6	40	Jul 3	22:13	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Gloves of Delusional Power (20618)	Cauterizing Band (19140)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	Shadow Wing Focus Staff (19355)	N/A	Touch of Chaos (19861)
10	Nib	bipolar	Horde	190.1	40	Jun 2	33:36	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Champion's Satin Mantle (23262)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Blood Guard's Satin Handwraps (22869)	Eye of Orgrimmar (12545)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Glowstar Rod (15281)
