Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Trollbynks	The Pond pug	Horde	873.7	40	Jun 14	42:41	The Hexxer's Cover (19886)	Jeklik's Opaline Talisman (19923)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Band of Dark Dominion (19434)	Ring of Spell Power (19147)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Anathema (18609)	N/A	Bonecreeper Stylus (13938)
2	세인트지니	서리1공	Alliance	870.6	40	Jun 9	56:43	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Sublime Wristguards (18497)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Ring of Spell Power (19147)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
3	Emmure	OnlyLogs	Horde	834.9	40	May 14	45:59	Champion's Satin Hood (23261)	Choker of the Fire Lord (18814)	Champion's Satin Mantle (23262)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Flarecore Leggings (19165)	Maleki's Footwraps (18735)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Eye of Orgrimmar (12545)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	High Warlord's Spellblade (23466)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
4	Viraal	N/A	Unknown	818.7	40	Jun 18	49:23	Warlord's Satin Cowl (17623)	Orb of the Darkmoon (19426)	Warlord's Satin Mantle (17622)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Resplendent Bracelets (14320)	Ebony Flame Gloves (19407)	Band of Servitude (22721)	Band of Dark Dominion (19434)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
5	배고프군	여고생	Alliance	818.5	40	Jun 16	59:05	Field Marshal's Headdress (17602)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Marshal's Satin Gloves (17608)	Band of Servitude (22721)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Master Dragonslayer's Orb (19366)	Skul's Ghastly Touch (13396)
6	Crepzine	The Pond pug	Horde	793.6	40	Jun 15	39:04	The Hexxer's Cover (19886)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Sash of Whispered Secrets (18809)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Elegant Bracers (10213)	Ebony Flame Gloves (19407)	Band of Servitude (22721)	Ring of Spell Power (19147)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
7	덕팔	N/A	Unknown	790.9	40	Jun 27	51:20	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Field Marshal's Satin Mantle (17604)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Betrayer's Boots (19897)	Sublime Wristguards (18497)	Ebony Flame Gloves (19407)	Ring of Spell Power (19147)	Band of Dark Dominion (19434)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Shadow Force (19309)	Touch of Chaos (19861)
8	若风巫师	玉虚宫	Alliance	785.1	40	Jul 8	1:13:05	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Jade Inlaid Vestments (20635)	Firemaw's Clutch (19400)	Fel-Infused Leggings (19133)	Snowblind Shoes (19131)	High Councillor's Bracers (10136)	Ebony Flame Gloves (19407)	Band of Dark Dominion (19434)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
9	祝君好么	N/A	Unknown	779.3	40	May 29	1:06:45	Field Marshal's Headdress (17602)	Choker of the Fire Lord (18814)	Field Marshal's Satin Mantle (17604)	Field Marshal's Satin Vestments (17605)	Firemaw's Clutch (19400)	Marshal's Satin Pants (17603)	Marshal's Satin Sandals (17607)	Bracers of Arcane Accuracy (19374)	Marshal's Satin Gloves (17608)	Band of Forced Concentration (19403)	Band of Dark Dominion (19434)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
10	Karntar	N/A	Unknown	776.8	40	Jun 13	43:32	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Master's Mantle (10253)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	High Councillor's Bracers (10136)	Ebony Flame Gloves (19407)	Ring of Spell Power (19147)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Tome of Shadow Force (19309)	Touch of Chaos (19861)
