Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	정수리	N/A	Unknown	247.9	40	Jun 12	1:06:29	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Empowered Leggings (19385)	Verdant Footpads (13954)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Cauterizing Band (19140)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Hakkari Loa Cloak (19870)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
2	Gonko	Sparks	Horde	245.5	40	May 28	50:00	Earthfury Helmet (16842)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Earthfury Legguards (16843)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Ring of Demonic Guile (18314)	Ring of Demonic Guile (18314)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Royal Tribunal Cloak (13376)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
3	Jolanda	GG	Horde	229.4	40	Jun 12	52:24	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Belt of Ten Storms (16944)	Empowered Leggings (19385)	Verdant Footpads (13954)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Fordring's Seal (16058)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
4	Freshright	SQUAWK	Horde	214.6	41	Jun 18	55:54	Bloodstained Coif (19875)	Onyxia Tooth Pendant (18404)	Abyssal Mail Pauldrons (20680)	Runed Bloodstained Hauberk (19904)	Therazane's Link (19380)	Abyssal Mail Legguards (20668)	Bloodmail Boots (14616)	Blackmist Armguards (12966)	General's Mail Gauntlets (16574)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Zandalarian Hero Charm (19950)	Might of the Tribe (22712)	High Warlord's Battle Axe (18831)	N/A	Egan's Blaster (13289)
5	Grgang	ThinkinBoutThosBeans	Horde	212.5	40	Jul 1	1:01:36	Helmet of Ten Storms (16947)	Choker of Enlightenment (17109)	Earthfury Epaulets (16844)	Breastplate of Ten Storms (16950)	Earthfury Belt (16838)	Salamander Scale Pants (18875)	Earthfury Boots (16837)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Primalist's Seal (19863)	Primalist's Band (19920)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Will of Arlokk (19909)	N/A	N/A
6	Rckdchainz	Coffee	Horde	210.1	39	Jul 5	1:15:47	Helmet of Ten Storms (16947)	Choker of the Fire Lord (18814)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Gauntlets of Ten Storms (16948)	Rosewine Circle (13178)	Band of Servitude (22721)	Mar'li's Eye (19930)	Zandalarian Hero Charm (19950)	Sapphiron Drape (17078)	Jin'do's Hexxer (19890)	Malistar's Defender (17106)	N/A
7	Jolanda	GG	Horde	209.0	40	May 8	1:00:22	Helm of the Lifegiver (18870)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Belt of Ten Storms (16944)	Legplates of Ten Storms (16946)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
8	Varanite	SQUAWK	Horde	204.4	40	May 28	51:51	Helmet of Ten Storms (16947)	Choker of Enlightenment (17109)	Denwatcher's Shoulders (18494)	Righteous Armor (10070)	Firemaw's Clutch (19400)	General's Mail Leggings (16579)	Greaves of Ten Storms (16949)	Nightshade Armguards (10223)	Blood Guard's Mail Vices (22867)	Band of Sulfuras (19138)	Eye of Orgrimmar (12545)	Natural Alignment Crystal (19344)	Briarwood Reed (12930)	Cloak of the Brood Lord (19378)	High Warlord's Spellblade (23466)	Therazane's Touch (19315)	N/A
9	Shoby	Progress	Horde	203.3	40	Jun 18	20:46	Helmet of Ten Storms (16947)	Pendant of the Fallen Dragon (19371)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Salamander Scale Pants (18875)	General's Mail Boots (16573)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Rosewine Circle (13178)	Ring of Blackrock (19397)	Mindtap Talisman (18371)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	N/A
10	Bruhn	N/A	Unknown	200.4	40	Jun 8	1:08:59	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Salamander Scale Pants (18875)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Harmonious Gauntlets (18527)	Band of Rumination (18103)	Fordring's Seal (16058)	Shard of the Scale (17064)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
11	Shocklatmilk	GG	Horde	194.7	40	Jun 12	52:24	Champion's Mail Headguard (23259)	Frostwolf Legionnaire's Pendant (19095)	Black Brood Pauldrons (19373)	Legionnaire's Mail Hauberk (22876)	Zandalar Augur's Belt (19829)	Legplates of Ten Storms (16946)	Blood Guard's Mail Greaves (22857)	Zandalar Augur's Bracers (19830)	Voone's Vice Grips (13963)	Band of Flesh (13373)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18471)	Rune of the Guard Captain (19120)	Stoneskin Gargoyle Cape (13397)	Earthshaker (17073)	N/A	N/A
12	Stykke	N/A	Unknown	194.4	40	Jun 23	58:34	Helmet of Ten Storms (16947)	Jeklik's Opaline Talisman (19923)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Legplates of Ten Storms (16946)	Greaves of Ten Storms (16949)	Bracers of Prosperity (18525)	Harmonious Gauntlets (18527)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Shroud of Pure Thought (19430)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
