Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Creporc	The Pond pug	Horde	1,389.2	40	Jun 29	43:59	Champion's Dreadweave Cowl (23255)	Dark Advisor's Pendant (18691)	Champion's Dreadweave Spaulders (23256)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Zanzil's Band (19905)	Zanzil's Seal (19893)	The Black Book (19337)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Touch of Chaos (19861)
2	Ninja	whos friend r u	Alliance	1,355.6	40	Jun 11	16:55	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Ebony Flame Gloves (19407)	Band of Forced Concentration (19403)	Band of Dark Dominion (19434)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of the Hakkari Worshippers (22711)	Grand Marshal's Mageblade (23451)	Tome of Shadow Force (19309)	Touch of Chaos (19861)
3	Innate	Infestation	Alliance	1,311.7	40	Jul 2	29:21	Nemesis Skullcap (16929)	Choker of the Fire Lord (18814)	Nemesis Spaulders (16932)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Band of Dark Dominion (19434)	Band of Forced Concentration (19403)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
4	Kunn	whos friend r u	Alliance	1,290.7	40	Jun 11	16:55	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Dryad's Wrist Bindings (19595)	Ebony Flame Gloves (19407)	Rune Band of Wizardry (22339)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Scepter of Interminable Focus (22329)	Touch of Chaos (19861)
5	Charmvy	Smooth	Horde	1,248.8	40	May 23	55:32	Champion's Dreadweave Cowl (23255)	Choker of the Fire Lord (18814)	Champion's Dreadweave Spaulders (23256)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Flameweave Cuffs (11766)	Ebony Flame Gloves (19407)	Band of Dark Dominion (19434)	Band of Forced Concentration (19403)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Skul's Ghastly Touch (13396)
6	Gaarfieeld	The Pond pug	Horde	1,195.1	40	Jun 14	42:41	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of Enlightenment (17109)	Felcloth Shoulders (14112)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Zanzil's Seal (19893)	Band of Dark Dominion (19434)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of the Hakkari Worshippers (22711)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
7	Dooson	서리1공	Alliance	1,192.9	40	Jun 9	56:43	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Resplendent Epaulets (14325)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Elegant Bracers (10213)	Ebony Flame Gloves (19407)	Band of Forced Concentration (19403)	Zanzil's Seal (19893)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Touch of Chaos (19861)
8	Userswarlock	WOODDEPARTMENT	Alliance	1,191.6	40	May 23	50:20	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Band of Forced Concentration (19403)	Band of Dark Dominion (19434)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of the Hakkari Worshippers (22711)	Staff of the Shadow Flame (19356)	N/A	Skul's Ghastly Touch (13396)
9	Redrush	Gambit	Alliance	1,180.3	40	Jul 3	34:35	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Field Marshal's Dreadweave Shoulders (17580)	Bloodvine Vest (19682)	Nemesis Belt (16933)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Band of Forced Concentration (19403)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Touch of Chaos (19861)
10	Gekass	AV RANKER	Horde	1,166.0	40	Jun 26	41:24	Champion's Dreadweave Cowl (23255)	Jeklik's Opaline Talisman (19923)	Champion's Dreadweave Spaulders (23256)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Ebony Flame Gloves (19407)	Band of Dark Dominion (19434)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
