Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Kadariustony	SQUAWK	Horde	1,548.1	40	Jun 11	53:53	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Zandalar Vindicator's Breastplate (19822)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	High Warlord's Cleaver (18828)	High Warlord's Quickblade (23467)	Dragonbreath Hand Cannon (19368)
2	Obiwoncanoli	Smooth	Horde	1,523.2	40	Jun 20	48:31	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Bracelets of Wrath (16959)	Aged Core Leather Gloves (18823)	Circle of Applied Force (19432)	Band of Accuria (17063)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Dragon's Blood Cape (17107)	Alcor's Sunrazor (14555)	High Warlord's Razor (18840)	Blastershot Launcher (17072)
3	Tessin	Fusk og Sjusk	Alliance	1,517.2	40	Jun 12	1:03:27	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Wristguards of True Flight (18812)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Band of Accuria (17063)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Dragon's Blood Cape (17107)	Quel'Serrar (18348)	Doom's Edge (19362)	Heartstriker (19350)
4	Sy	wiggle 2	Horde	1,498.3	40	Jun 23	49:57	Champion's Plate Helm (23244)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	Bloodsoaked Legplates (19855)	General's Plate Boots (16545)	Bracelets of Wrath (16959)	Edgemaster's Handguards (14551)	Seal of the Gurubashi Berserker (22722)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Thunderfury, Blessed Blade of the Windseeker (19019)	High Warlord's Quickblade (23467)	Gurubashi Dwarf Destroyer (19853)
5	Rodimus	N/A	Unknown	1,475.4	40	Jun 24	42:19	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Cloak of Firemaw (19398)	High Warlord's Quickblade (23467)	High Warlord's Cleaver (18828)	Blastershot Launcher (17072)
6	Vrys	N/A	Unknown	1,474.7	38	Jun 15	44:48	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Hand of Justice (11815)	Diamond Flask (20130)	Cloak of Firemaw (19398)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Striker's Mark (17069)
7	Hellsmash	Gnomeboys pugs	Alliance	1,446.5	40	Jun 29	33:33	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Zandalar Vindicator's Armguards (19824)	Marshal's Plate Gauntlets (16484)	Don Julio's Band (19325)	Myrmidon's Signet (2246)	Diamond Flask (20130)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Swiftblade (23456)	Striker's Mark (17069)
8	Whereswar	Dragon Snacks	Alliance	1,444.7	40	Jun 19	43:54	Field Marshal's Plate Helm (16478)	Onyxia Tooth Pendant (18404)	Field Marshal's Plate Shoulderguards (16480)	Field Marshal's Plate Armor (16477)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Wristguards of Stability (19146)	Marshal's Plate Gauntlets (16484)	Don Julio's Band (19325)	Band of Accuria (17063)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Cloak of the Shrouded Mists (17102)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Swiftblade (23456)	Mandokir's Sting (20038)
9	Jizzi	Pump Factory	Horde	1,424.6	40	Jun 18	43:57	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Seal of the Gurubashi Berserker (22722)	Don Julio's Band (19325)	Drake Fang Talisman (19406)	Diamond Flask (20130)	Dragon's Blood Cape (17107)	Thunderfury, Blessed Blade of the Windseeker (19019)	High Warlord's Quickblade (23467)	Blastershot Launcher (17072)
10	Ruffyy	blurry	Alliance	1,418.4	38	Jun 14	27:13	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Knight-Captain's Plate Hauberk (23300)	Onslaught Girdle (19137)	Marshal's Plate Legguards (16479)	Marshal's Plate Boots (16483)	Wristguards of True Flight (18812)	Marshal's Plate Gauntlets (16484)	Archimtiros' Ring of Reckoning (19376)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Grand Marshal's Swiftblade (23456)	Maladath, Runed Blade of the Black Flight (19351)	Blastershot Launcher (17072)
