Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Naapi	Gnomeboys	Alliance	648.7	40	Feb 27	1:13:47	High Councillor's Circlet (10139)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Nightshade Leggings (10227)	High Councillor's Boots (10137)	Adventurer's Bracers (10256)	Mighty Gauntlets (10149)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Dimensional Ripper - Everlook (18984)	Eye of the Beast (13968)	Master's Cloak (10249)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
2	Powerpump	sweat level medium	Horde	562.5	39	Feb 20	1:03:37	Nightshade Helmet (10226)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	High Councillor's Tunic (10135)	Ban'thok Sash (11662)	Legionnaire's Dragonhide Leggings (22878)	Master's Boots (10247)	Adventurer's Bracers (10256)	Nightshade Gloves (10225)	Ring of Spell Power (19147)	Ring of Spell Power (19147)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	N/A
3	Baldwín	BLAST	Horde	505.6	40	Mar 6	54:32	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Cyclone Spaulders (18528)	High Councillor's Robe (10143)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Ogreseer Fists (11665)	Maiden's Circle (13001)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	Frostwolf Advisor's Cloak (19085)	Rod of the Ogre Magi (18534)	N/A	N/A
4	Papablaze	N/A	Unknown	488.5	40	Feb 28	48:06	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Elder Wizard's Mantle (13013)	Robes of the Royal Crown (11924)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Rod of the Ogre Magi (18534)	N/A	N/A
5	Grantx	Unboon	Alliance	488.2	40	Mar 9	40:58	Adventurer's Bandana (10261)	Choker of Enlightenment (17109)	Master's Mantle (10253)	High Councillor's Tunic (10135)	Mana Igniting Cord (19136)	Adventurer's Legguards (10262)	High Councillor's Boots (10137)	Master's Bracers (10248)	Adventurer's Gloves (10260)	Ring of Spell Power (19147)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Sorcerous Dagger (18878)	Tome of Arcane Domination (19308)	N/A
6	Guydance	N/A	Unknown	476.2	40	Mar 17	1:24:08	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Burial Shawl (18681)	Robe of Everlasting Night (18385)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	High Councillor's Bracers (10136)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	High Councillor's Cloak (10138)	Witchblade (13964)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
7	Erival	Inner Sanctum	Alliance	468.8	40	Mar 16	51:33	Crimson Felt Hat (18727)	Choker of the Fire Lord (18814)	Burial Shawl (18681)	High Councillor's Tunic (10135)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Snowblind Shoes (19131)	Eternal Bindings (14330)	Slaghide Gauntlets (13258)	Songstone of Ironforge (12543)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Fang of the Mystics (17070)	Tome of Arcane Domination (19308)	N/A
8	Melbee	Dad Guild	Alliance	459.9	40	Mar 13	1:01:42	Green Lens (10504)	Choker of Enlightenment (17109)	Elegant Mantle (10210)	Councillor's Tunic (10104)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Celestial Bindings (14311)	Hands of Power (13253)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Burst of Knowledge (11832)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Hypnotic Blade (7714)	Therazane's Touch (19315)	Egan's Blaster (13289)
9	Mirya	Eternity	Alliance	456.5	40	Feb 19	48:26	Cap of the Scarlet Savant (12752)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Master's Bracers (10248)	Hands of Power (13253)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
10	Elunetic	Lethal	Alliance	455.2	40	Feb 4	1:17:39	Elegant Circlet (10219)	Marble Necklace (12034)	High Councillor's Mantle (10142)	High Councillor's Robe (10143)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Master's Boots (10247)	Mighty Armsplints (10147)	Adventurer's Gloves (10260)	Maiden's Circle (13001)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Demon Blade (15246)	Tome of Arcane Domination (19308)	N/A
11	별빛섬광	Balance 2	Alliance	441.2	40	Mar 15	1:17:30	Green Lens (10504)	Stormpike Sage's Pendant (19098)	Elder Wizard's Mantle (13013)	Elegant Tunic (10218)	Stormpike Cloth Girdle (19094)	Luminary Kilt (11823)	High Councillor's Boots (10137)	Resplendent Bracelets (14320)	Dreamweave Gloves (10019)	Songstone of Ironforge (12543)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Eye of the Beast (13968)	High Councillor's Cloak (10138)	Bloodstrike Dagger (15247)	Mystical Orb (15938)	N/A
12	六六三十九	N/A	Unknown	435.5	37	Mar 6	53:03	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	Burial Shawl (18681)	Master's Vest (10246)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Sublime Wristguards (18497)	Hands of Power (13253)	Ring of Spell Power (19147)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
13	Foliage	insanity	Alliance	434.7	40	Feb 6	37:16	Celestial Crown (14312)	Star of Mystaria (12103)	Master's Mantle (10253)	High Councillor's Tunic (10135)	Ban'thok Sash (11662)	Wanderer's Leggings (10112)	Master's Boots (10247)	High Councillor's Bracers (10136)	Mighty Gauntlets (10149)	Songstone of Ironforge (12543)	Band of the Unicorn (7553)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
14	Leadbrain	Banana Room PUG: Lovebucket	Alliance	430.8	40	Jan 12	1:09:57	Green Lens (10504)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	High Councillor's Robe (10143)	Mighty Girdle (10145)	Wanderer's Leggings (10112)	High Councillor's Boots (10137)	Elegant Bracers (10213)	Grand Gauntlets (15192)	Maiden's Circle (13001)	Band of the Unicorn (7553)	Eye of the Beast (13968)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Magus Long Staff (15276)	N/A	N/A
15	Alphos	Zandalar Tribe	Horde	422.5	41	Feb 23	1:00:7	High Councillor's Circlet (10139)	Tempest Talisman (18317)	Master's Mantle (10253)	Master's Robe (10254)	Mana Igniting Cord (19136)	Adventurer's Legguards (10262)	High Councillor's Boots (10137)	High Councillor's Bracers (10136)	Mighty Gauntlets (10149)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Eye of the Beast (13968)	Masterwork Cape (10267)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
16	Tgjeh	Eminence	Horde	414.1	40	Mar 2	1:00:12	Green Lens (10504)	Tempest Talisman (18317)	Master's Mantle (10253)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Adventurer's Legguards (10262)	Omnicast Boots (11822)	Resplendent Bracelets (14320)	Grand Gauntlets (15192)	Band of Rumination (18103)	Cyclopean Band (11824)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Staff of Dominance (18842)	N/A	N/A
17	Beisikk	N/A	Unknown	409.6	40	Mar 2	1:04:10	Crimson Felt Hat (18727)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	Legionnaire's Dragonhide Chestpiece (22877)	Ban'thok Sash (11662)	Swashbuckler's Leggings (10188)	Dragonrider Boots (18102)	Darkwater Bracers (10800)	Adventurer's Gloves (10260)	Band of the Unicorn (7553)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Staff of Dominance (18842)	N/A	N/A
18	맛퓨리온	아힐막공	Alliance	409.5	40	Mar 5	1:20:12	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Cyclone Spaulders (18528)	Robes of the Royal Crown (11924)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Sublime Wristguards (18497)	Hands of Power (13253)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Master's Cloak (10249)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
19	Mbell	N/A	Unknown	406.7	40	Feb 2	58:07	Crimson Felt Hat (18727)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	High Councillor's Robe (10143)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	High Councillor's Boots (10137)	Elegant Bracers (10213)	Dreamweave Gloves (10019)	Songstone of Ironforge (12543)	Ring of Spell Power (19147)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Hypnotic Blade (7714)	Tome of Arcane Domination (19308)	N/A
