Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Tahlen	N/A	Unknown	767.8	40	Mar 17	1:05:24	Champion's Dragonhide Headguard (23253)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Legionnaire's Dragonhide Chestpiece (22877)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Blood Guard's Dragonhide Treads (22852)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Myrmidon's Signet (2246)	Don Julio's Band (19325)	Gnomish Battle Chicken (10725)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
2	Onetwoatmeal	Smooth	Horde	667.1	40	Jan 17	1:27:52	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Breastplate of Bloodthirst (12757)	Serpentine Sash (13118)	Devilsaur Leggings (15062)	Shadowcraft Boots (16711)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Myrmidon's Signet (2246)	Blackstone Ring (17713)	Gnomish Battle Chicken (10725)	Rune of the Guard Captain (19120)	Phantasmal Cloak (18689)	Manual Crowd Pummeler (9449)	N/A	N/A
3	Catbenus	SQUAWK	Horde	634.1	40	Feb 9	55:57	Mask of the Unforgiven (13404)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Legionnaire's Dragonhide Chestpiece (22877)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Blood Guard's Dragonhide Treads (22852)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Pale Moon Cloak (18734)	Manual Crowd Pummeler (9449)	N/A	N/A
4	Dogbutter	Dense	Alliance	622.0	40	Jan 17	32:50	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Breastplate of Bloodthirst (12757)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Pads of the Dread Wolf (13210)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Blackstone Ring (17713)	Tarnished Elven Ring (18500)	Counterattack Lodestone (18537)	Blackhand's Breadth (13965)	Phantasmal Cloak (18689)	Manual Crowd Pummeler (9449)	N/A	N/A
5	Sparkyd	Smooth	Horde	619.0	40	Feb 3	1:35:26	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Death's Clutch (14503)	Legionnaire's Dragonhide Chestpiece (22877)	Serpentine Sash (13118)	Devilsaur Leggings (15062)	Blood Guard's Dragonhide Treads (22852)	Bracers of the Eclipse (18375)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
6	Sneakitty	N/A	Unknown	580.0	40	Feb 19	1:24:11	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Dragonhide Shoulders (23309)	Knight-Captain's Dragonhide Chestpiece (23294)	Girdle of Beastial Fury (11686)	Knight-Captain's Dragonhide Leggings (23295)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Knight-Lieutenant's Dragonhide Grips (23280)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
7	Pagliaccio	Dense	Alliance	578.5	40	Mar 6	30:58	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
8	Carwreck	Inner Sanctum	Alliance	577.1	37	Mar 16	39:08	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Dragonhide Shoulders (23309)	Breastplate of Bloodthirst (12757)	Shadowcraft Belt (16713)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Mark of Tyranny (13966)	Stoneskin Gargoyle Cape (13397)	Manual Crowd Pummeler (9449)	N/A	N/A
9	Vogelgrippe	Nichts C Thun	Alliance	576.7	40	Mar 12	58:25	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Shadowcraft Belt (16713)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Bracers of the Eclipse (18375)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
10	Ursus	wiggle	Horde	572.7	40	Feb 17	57:31	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Flamescarred Shoulders (18374)	Cadaverous Armor (14637)	Frostbite Girdle (14502)	Devilsaur Leggings (15062)	Shadowcraft Boots (16711)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
