Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Melbee	Dad Guild	Alliance	194.3	40	Jan 9	1:18:32	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Kentic Amice (11624)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Hands of Power (13253)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Shard of the Scale (17064)	Burst of Knowledge (11832)	Sapphiron Drape (17078)	Hammer of the Grand Crusader (18717)	N/A	N/A
2	Cyon	Live Lucky	Alliance	154.0	40	Feb 12	1:11:38	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Cenarion Spaulders (16836)	Robes of the Exalted (13346)	Cenarion Belt (16828)	Cenarion Leggings (16835)	Cenarion Boots (16829)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Fordring's Seal (16058)	Maiden's Circle (13001)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Hide of the Wild (18510)	Demon Blade (15246)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
3	Imperivm	Nox	Alliance	149.9	39	Jan 27	1:37:31	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Sash of Mercy (14553)	Stormrage Legguards (16901)	Verdant Footpads (13954)	Bracers of Prosperity (18525)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Brightly Glowing Stone (18523)	N/A
4	Ptato	Executed	Horde	139.4	40	Jan 3	1:54:36	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Necropile Robe (14626)	Ban'thok Sash (11662)	Wolfshear Leggings (13206)	Dragonrider Boots (18102)	Cenarion Bracers (16830)	Bloodfire Talons (12464)	Rosewine Circle (13178)	Cyclopean Band (11824)	Briarwood Reed (12930)	Mark of Tyranny (13966)	Deep Woodlands Cloak (19121)	Hyperthermically Insulated Lava Dredger (18803)	N/A	N/A
5	Phapephifter	Someone Puiied	Horde	126.1	40	Feb 16	46:50	Tribal War Feathers (12960)	Frostwolf Advisor's Pendant (19096)	Cenarion Spaulders (16836)	Legionnaire's Dragonhide Chestpiece (22877)	Frostwolf Cloth Belt (19090)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Fordring's Seal (16058)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Hide of the Wild (18510)	Energetic Rod (18321)	Therazane's Touch (19315)	N/A
6	Mcmambo	Adept Scholars Society	Alliance	121.8	40	Feb 12	1:40:02	Cenarion Helm (16834)	Stormpike Sage's Pendant (19098)	Cenarion Spaulders (16836)	Knight-Captain's Dragonhide Chestpiece (23294)	Cenarion Belt (16828)	Cenarion Leggings (16835)	Dragonrider Boots (18102)	Cenarion Bracers (16830)	Mar Alom's Grip (12547)	Maiden's Circle (13001)	Band of Sulfuras (19138)	Royal Seal of Eldre'Thalas (18470)	Stormpike Insignia Rank 6 (17904)	Hide of the Wild (18510)	Hypnotic Blade (7714)	Lei of the Lifegiver (19312)	N/A
7	Innervate	Inner Sanctum	Alliance	120.6	39	Mar 2	31:53	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Flayed Doomguard Belt (19134)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Bracers of Prosperity (18525)	Hands of the Exalted Herald (12554)	Rosewine Circle (13178)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18470)	Second Wind (11819)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
8	Shdw	N/A	Unknown	118.6	40	Feb 4	44:06	Stormrage Cover (16900)	Jeweled Amulet of Cainwyn (1443)	Cenarion Spaulders (16836)	Robes of the Exalted (13346)	Ban'thok Sash (11662)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Cenarion Bracers (16830)	Ogreseer Fists (11665)	Fordring's Seal (16058)	Cauterizing Band (19140)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
9	Wunix	blurry	Alliance	115.0	40	Dec 28	56:11	Cassandra's Grace (13102)	Animated Chain Necklace (18723)	Cenarion Spaulders (16836)	Robes of the Exalted (13346)	Sash of Mercy (14553)	Senior Designer's Pantaloons (11841)	Omnicast Boots (11822)	Bleak Howler Armguards (13208)	Mighty Gauntlets (10149)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Spritecaster Cape (11623)	The Hammer of Grace (11923)	Thaurissan's Royal Scepter (11928)	Egan's Blaster (13289)
10	Yatze	Press W	Alliance	114.2	40	Feb 12	21:35	Stormrage Cover (16900)	Stormpike Sage's Pendant (19098)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Cenarion Belt (16828)	Cenarion Leggings (16835)	Goblin Rocket Boots (7189)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Cyclopean Band (11824)	Fordring's Seal (16058)	Second Wind (11819)	Briarwood Reed (12930)	Hide of the Wild (18510)	Amberseal Keeper (17113)	N/A	N/A
