Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Aoebot	SQUAWK	Horde	1,244.8	41	Mar 12	59:18	Champion's Silk Cowl (23263)	Choker of Enlightenment (17109)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Arcanist Leggings (16796)	Arcanist Boots (16800)	Arcanist Bindings (16799)	Hands of Power (13253)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Azuresong Mageblade (17103)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
2	Scav	N/A	Unknown	1,042.0	40	Mar 5	1:04:21	Netherwind Crown (16914)	Star of Mystaria (12103)	Elder Wizard's Mantle (13013)	Knight-Captain's Silk Tunic (23305)	Ban'thok Sash (11662)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Sublime Wristguards (18497)	Knight-Lieutenant's Silk Handwraps (23290)	Maiden's Circle (13001)	Flaming Band (12926)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	Pyric Caduceus (11748)
3	Zuka	Live Lucky	Alliance	1,032.8	40	Feb 5	1:19:52	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	High Councillor's Bracers (10136)	Hands of Power (13253)	Maiden's Circle (13001)	Ring of Spell Power (19147)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Demon Blade (15246)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
4	Leetduff	GG	Horde	1,027.2	40	Feb 20	1:42:44	Champion's Silk Cowl (23263)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Blood Guard's Silk Walkers (22860)	Sublime Wristguards (18497)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	Lethtendris' Wand (18301)
5	Icekiller	critical	Horde	945.9	40	Mar 12	1:04:35	Champion's Silk Cowl (23263)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Legionnaire's Silk Legguards (22883)	Blood Guard's Silk Walkers (22860)	Arena Wristguards (18709)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
6	Arya	N/A	Unknown	938.8	40	Mar 5	1:04:21	Netherwind Crown (16914)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	Sublime Wristguards (18497)	Gloves of the Hypnotic Flame (18808)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Blade of Eternal Darkness (17780)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
7	Kalmitch	N/A	Unknown	912.8	40	Mar 5	1:04:21	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Knight-Captain's Silk Tunic (23305)	Ban'thok Sash (11662)	Arcanist Leggings (16796)	Knight-Lieutenant's Silk Walkers (23291)	Sublime Wristguards (18497)	Knight-Lieutenant's Silk Handwraps (23290)	Songstone of Ironforge (12543)	Cyclopean Band (11824)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Witchblade (13964)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
8	Zyns	N/A	Unknown	894.6	40	Mar 10	55:52	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Legionnaire's Silk Legguards (22883)	Blood Guard's Silk Walkers (22860)	Sublime Wristguards (18497)	Gloves of the Hypnotic Flame (18808)	Flaming Band (12926)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Witchblade (13964)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
9	Stefani	Three Crowns	Alliance	860.3	40	Mar 5	46:35	Arcanist Crown (16795)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Flaming Band (12926)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
10	Hughmungous	N/A	Unknown	854.4	40	Feb 20	30:49	Eye of Flame (3075)	Tempest Talisman (18317)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Master's Belt (10255)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	High Councillor's Bracers (10136)	Gloves of the Hypnotic Flame (18808)	Ring of Spell Power (19147)	Flaming Band (12926)	Briarwood Reed (12930)	Eye of the Beast (13968)	Mageflame Cloak (13007)	Witchblade (13964)	Tome of Fiery Arcana (19311)	Pyric Caduceus (11748)
11	Magistic	Risen	Horde	850.4	41	Feb 21	58:56	Arcanist Crown (16795)	Choker of Enlightenment (17109)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Master's Bracers (10248)	Gloves of the Hypnotic Flame (18808)	Flaming Band (12926)	Band of Rumination (18103)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	Pyric Caduceus (11748)
12	Mortemrex	NOC	Alliance	837.1	40	Jan 24	58:27	Netherwind Crown (16914)	Star of Mystaria (12103)	Burial Shawl (18681)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	High Councillor's Boots (10137)	High Councillor's Bracers (10136)	Hands of Power (13253)	Songstone of Ironforge (12543)	Band of Rumination (18103)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Demon Blade (15246)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
13	Sacmage	WORMS	Alliance	830.5	38	Mar 5	55:54	Arcanist Crown (16795)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Knight-Lieutenant's Silk Walkers (23291)	Resplendent Bracelets (14320)	Knight-Lieutenant's Silk Handwraps (23290)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Master's Cloak (10249)	Azuresong Mageblade (17103)	Tome of Fiery Arcana (19311)	Dragon Finger (15282)
