Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Leetduff	GG	Horde	1,360.4	40	Mar 6	1:48:42	Champion's Silk Cowl (23263)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Blood Guard's Silk Walkers (22860)	Sublime Wristguards (18497)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Talisman of Ephemeral Power (18820)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	Lethtendris' Wand (18301)
2	Desolas	SQUAWK	Horde	1,349.1	40	Feb 19	1:37:49	Arcanist Crown (16795)	Star of Mystaria (12103)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Arcanist Leggings (16796)	Blood Guard's Silk Walkers (22860)	Arcanist Bindings (16799)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Archivist Cape (13386)	Witchblade (13964)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
3	Kyphe	SQUAWK	Horde	1,321.3	40	Mar 11	1:17:55	Arcanist Crown (16795)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Cold Snap (19130)
4	Aoebot	SQUAWK	Horde	1,239.7	40	Feb 20	50:44	Champion's Silk Cowl (23263)	Choker of Enlightenment (17109)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Arcanist Leggings (16796)	Blood Guard's Silk Walkers (22860)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Azuresong Mageblade (17103)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
5	Reefey	Smooth	Horde	1,216.0	40	Mar 7	1:41:13	Netherwind Crown (16914)	Star of Mystaria (12103)	Boreal Mantle (11782)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Blood Guard's Silk Walkers (22860)	Tearfall Bracers (13409)	Blood Guard's Silk Handwraps (22870)	Freezing Band (942)	Freezing Band (942)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
6	Ganickzed	bipolar	Horde	1,211.8	40	Feb 17	1:05:41	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Celestial Bindings (14311)	Blood Guard's Silk Handwraps (22870)	Seal of the Archmagus (17110)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Therazane's Touch (19315)	Wand of Biting Cold (19108)
7	Oracionm	N/A	Unknown	1,196.8	40	Mar 5	1:04:21	Lieutenant Commander's Silk Cowl (23318)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Sublime Wristguards (18497)	Knight-Lieutenant's Silk Handwraps (23290)	Band of Rumination (18103)	Ring of Spell Power (19147)	Goblin Mortar (10577)	Briarwood Reed (12930)	Heliotrope Cloak (18496)	Rod of the Ogre Magi (18534)	N/A	Icefury Wand (7514)
8	Mediumx	SQUAWK	Horde	1,169.2	40	Mar 5	1:09:27	Arcanist Crown (16795)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Freezing Band (942)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Cold Snap (19130)
9	Syphe	whos friend r u	Alliance	1,155.8	40	Mar 12	35:45	Netherwind Crown (16914)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Hands of Power (13253)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Blade of Eternal Darkness (17780)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
10	Turbii	Magnum	Alliance	1,155.8	40	Mar 17	33:18	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Hands of Power (13253)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
