Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Jämmer	HESOYAM	Alliance	232.3	39	Mar 9	31:35	Judgment Crown (16955)	Animated Chain Necklace (18723)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Sash of Mercy (14553)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Cauterizing Band (19140)	Fordring's Seal (16058)	Gnomish Battle Chicken (10725)	Briarwood Reed (12930)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Ancient Cornerstone Grimoire (17067)	N/A
2	Adins	Full Circle	Alliance	227.2	40	Feb 26	59:51	Judgment Crown (16955)	Choker of Enlightenment (17109)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Stormpike Cloth Girdle (19094)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Band of Rumination (18103)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Ward of the Elements (12065)	Stormpike Sage's Cloak (19086)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
3	Elise	西内呦	Alliance	181.8	41	Mar 2	1:36:44	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robe of Volatile Power (19145)	High Councillor's Sash (10144)	Salamander Scale Pants (18875)	Lawbringer Boots (16859)	Mighty Armsplints (10147)	Celestial Handwraps (14314)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Six Demon Bag (7734)	Briarwood Reed (12930)	Hide of the Wild (18510)	Blesswind Hammer (15229)	Malistar's Defender (17106)	Egan's Blaster (13289)
4	Emiko	based	Alliance	180.9	40	Feb 23	1:27:21	Lieutenant Commander's Lamellar Headguard (23276)	Animated Chain Necklace (18723)	Lieutenant Commander's Lamellar Shoulders (23277)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Gallant's Wristguards (18459)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Songstone of Ironforge (12543)	Second Wind (11819)	Gnomish Death Ray (10645)	Spritecaster Cape (11623)	Azuresong Mageblade (17103)	Lei of the Lifegiver (19312)	N/A
5	Brofa	based	Alliance	154.8	40	Mar 16	1:27:59	Insightful Hood (18490)	Animated Chain Necklace (18723)	Royal Cap Spaulders (14548)	Robe of Volatile Power (19145)	Sash of Mercy (14553)	Salamander Scale Pants (18875)	Boots of the Full Moon (18507)	Gallant's Wristguards (18459)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
6	Tootiebasher	NOC	Alliance	146.1	40	Feb 17	49:24	Judgment Crown (16955)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Ban'thok Sash (11662)	Senior Designer's Pantaloons (11841)	Lawbringer Boots (16859)	Loomguard Armbraces (13969)	Dracorian Gauntlets (13344)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
7	Davelol	outdoor boys	Alliance	144.7	40	Feb 16	47:45	Judgment Crown (16955)	Animated Chain Necklace (18723)	Lawbringer Spaulders (16856)	Robes of the Exalted (13346)	Belt of the Ordained (18702)	Lawbringer Legplates (16855)	Lawbringer Boots (16859)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
8	Aviseration	N/A	Unknown	137.3	40	Jan 22	1:15:35	Lawbringer Helm (16854)	Animated Chain Necklace (18723)	Lawbringer Spaulders (16856)	Lawbringer Chestguard (16853)	Lawbringer Belt (16858)	Ghoul Skin Leggings (18682)	Lawbringer Boots (16859)	Loomguard Armbraces (13969)	Hands of Power (13253)	Rosewine Circle (13178)	Cyclopean Band (11824)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
9	Llama	based	Alliance	125.2	40	Feb 9	1:16:23	Insightful Hood (18490)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Eyestalk Cord (18391)	Ghoul Skin Leggings (18682)	Boots of the Full Moon (18507)	Gallant's Wristguards (18459)	Dracorian Gauntlets (13344)	Fordring's Seal (16058)	Cauterizing Band (19140)	Second Wind (11819)	Briarwood Reed (12930)	Hide of the Wild (18510)	Energetic Rod (18321)	Lei of the Lifegiver (19312)	N/A
10	송유진	Balance	Alliance	119.0	40	Feb 7	1:17:20	Crystal Adorned Crown (19132)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Sash of Mercy (14553)	Salamander Scale Pants (18875)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18472)	Briarwood Reed (12930)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
