Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Trashbirb	dear all	Alliance	457.3	40	Feb 27	1:14:00	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Demon Forged Breastplate (12628)	Ban'thok Sash (11662)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Don Julio's Band (19325)	Cyclopean Band (11824)	Briarwood Reed (12930)	Mark of the Chosen (17774)	Stormpike Sage's Cloak (19086)	Flurry Axe (871)	Force Reactive Disk (18168)	Egan's Blaster (13289)
2	Pov	N/A	Unknown	432.7	39	Mar 5	1:03:04	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Thuzadin Sash (18740)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Dracorian Gauntlets (13344)	Songstone of Ironforge (12543)	Don Julio's Band (19325)	Essence of the Pure Flame (18815)	Mark of the Chosen (17774)	Spritecaster Cape (11623)	Flurry Axe (871)	Skullflame Shield (1168)	N/A
3	Bruegal	Kingsfall	Alliance	291.3	40	Feb 2	1:00:24	Gyth's Skull (12952)	Medallion of Grand Marshal Morris (13091)	Stockade Pauldrons (14552)	Deathbone Chestplate (14624)	Deathbone Girdle (14620)	Deathbone Legguards (14623)	Deathbone Sabatons (14621)	Vigorsteel Vambraces (13951)	Deathbone Gauntlets (14622)	Heavy Dark Iron Ring (18879)	Myrmidon's Signet (2246)	Mark of the Chosen (17774)	Force of Will (11810)	Redoubt Cloak (18495)	Quel'Serrar (18348)	Skullflame Shield (1168)	N/A
4	Shylá	Kotipizza	Alliance	290.1	40	Mar 9	57:24	Lieutenant Commander's Lamellar Headguard (23276)	Eskhandar's Collar (18205)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Lawbringer Belt (16858)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Lawbringer Gauntlets (16860)	Naglering (11669)	Songstone of Ironforge (12543)	Force of Will (11810)	Briarwood Reed (12930)	Dragon's Blood Cape (17107)	Quel'Serrar (18348)	Malistar's Defender (17106)	Egan's Blaster (13289)
5	Rexton	N/A	Unknown	230.3	40	Mar 4	1:02:15	Judgment Crown (16955)	Star of Mystaria (12103)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Barrage Girdle (18721)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Don Julio's Band (19325)	Naglering (11669)	Briarwood Reed (12930)	Mark of the Chosen (17774)	Spritecaster Cape (11623)	Aurastone Hammer (17105)	Drillborer Disk (17066)	Egan's Blaster (13289)
6	Versaeto	Invictus	Alliance	221.6	40	Feb 19	1:05:32	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Breastplate of the Chromatic Flight (12895)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Heavy Dark Iron Ring (18879)	Naglering (11669)	Force of Will (11810)	Cannonball Runner (13382)	Spritecaster Cape (11623)	Flurry Axe (871)	Skullflame Shield (1168)	N/A
7	Cûpcake	N/A	Unknown	220.6	38	Feb 23	1:30:01	Golem Skull Helm (11746)	Eskhandar's Collar (18205)	Stockade Pauldrons (14552)	Deathbone Chestplate (14624)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Naglering (11669)	Songstone of Ironforge (12543)	Essence of the Pure Flame (18815)	Briarwood Reed (12930)	Dragon's Blood Cape (17107)	Flurry Axe (871)	Malistar's Defender (17106)	Egan's Blaster (13289)
8	Litz	N/A	Unknown	216.5	32	Mar 16	1:51:42	Judgment Crown (16955)	Medallion of Grand Marshal Morris (13091)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Deathbone Sabatons (14621)	Vigorsteel Vambraces (13951)	Deathbone Gauntlets (14622)	Heavy Dark Iron Ring (18879)	Songstone of Ironforge (12543)	Onyxia Blood Talisman (18406)	Briarwood Reed (12930)	Redoubt Cloak (18495)	Flurry Axe (871)	Force Reactive Disk (18168)	N/A
9	Theobromin	N/A	Unknown	201.2	39	Mar 12	1:10:09	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Lawbringer Spaulders (16856)	Deathbone Chestplate (14624)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Naglering (11669)	Heavy Dark Iron Ring (18879)	Burst of Knowledge (11832)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Quel'Serrar (18348)	Malistar's Defender (17106)	Egan's Blaster (13289)
10	Ingo	N/A	Unknown	200.8	40	Mar 10	1:06:33	Golem Skull Helm (11746)	Medallion of Steadfast Might (17065)	Earthslag Shoulders (11632)	Plate of the Shaman King (13168)	Deathbone Girdle (14620)	Deathbone Legguards (14623)	Master Cannoneer Boots (13381)	Lawbringer Bracers (16857)	Deathbone Gauntlets (14622)	Heavy Dark Iron Ring (18879)	Songstone of Ironforge (12543)	Hand of Justice (11815)	Force of Will (11810)	Spritecaster Cape (11623)	Flurry Axe (871)	Malistar's Defender (17106)	Egan's Blaster (13289)
