Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Llama	based	Alliance	693.1	40	Feb 23	1:27:21	Eye of Rend (12587)	Jungle Necklace (12046)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Devilsaur Leggings (15062)	Knight-Lieutenant's Lamellar Sabatons (23275)	Vambraces of the Sadist (13400)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Stormpike Soldier's Cloak (19084)	N/A	Ancient Cornerstone Grimoire (17067)	Egan's Blaster (13289)
2	Lumpán	N/A	Unknown	629.0	39	Mar 9	59:11	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Cadaverous Armor (14637)	Omokk's Girth Restrainer (13959)	Knight-Captain's Lamellar Leggings (23273)	Bloodmail Boots (14616)	Vambraces of the Sadist (13400)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	Bonereaver's Edge (17076)	N/A	N/A
3	Jaxo	N/A	Unknown	599.3	38	Mar 7	54:26	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Eldritch Reinforced Legplates (18380)	Knight-Lieutenant's Lamellar Sabatons (23275)	Vambraces of the Sadist (13400)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Magni's Will (12548)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
4	Boomin	N/A	Unknown	597.4	40	Feb 19	44:09	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Earthslag Shoulders (11632)	Cadaverous Armor (14637)	Stormpike Plate Girdle (19091)	Eldritch Reinforced Legplates (18380)	Bloodmail Boots (14616)	Vambraces of the Sadist (13400)	Storm Gauntlets (12632)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Nightfall (19169)	N/A	Egan's Blaster (13289)
5	Entaree	Sacred	Alliance	597.1	40	Jan 29	51:54	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Eldritch Reinforced Legplates (18380)	Knight-Lieutenant's Lamellar Sabatons (23275)	Gordok Bracers of Power (18533)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
6	Xitt	Ashbringer(old)	Alliance	587.1	40	Feb 23	57:11	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Devilsaur Leggings (15062)	Sapphiron's Scale Boots (13070)	Battleborn Armbraces (12936)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Magni's Will (12548)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
7	갓뎀잇	N/A	Unknown	583.3	40	Feb 16	1:10:37	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Brigam Girdle (13142)	Judgment Legplates (16954)	Bloodmail Boots (14616)	Lawbringer Bracers (16857)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Don Julio's Band (19325)	Magni's Will (12548)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Spinal Reaper (17104)	N/A	N/A
8	Zynbis	N/A	Unknown	570.8	40	Mar 10	54:11	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Devilsaur Leggings (15062)	Savage Gladiator Greaves (11731)	Gordok Bracers of Power (18533)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Magni's Will (12548)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
9	Gales	Bulwark	Alliance	565.9	40	Feb 26	1:05:11	Lieutenant Commander's Lamellar Headguard (23276)	Mark of Fordring (15411)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Brigam Girdle (13142)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Battleborn Armbraces (12936)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Don Julio's Band (19325)	Magni's Will (12548)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	N/A	Ancient Cornerstone Grimoire (17067)	Egan's Blaster (13289)
10	Meow	Mudhut Slayers	Alliance	562.2	39	Mar 16	45:56	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Lamellar Shoulders (23277)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Handcrafted Mastersmith Leggings (13498)	Knight-Lieutenant's Lamellar Sabatons (23275)	Wristguards of True Flight (18812)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Magni's Will (12548)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
