Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Duckee	NOC	Alliance	470.3	40	Mar 14	1:22:21	Lieutenant Commander's Satin Hood (23316)	Tempest Talisman (18317)	Burial Shawl (18681)	Knight-Captain's Satin Tunic (23303)	Ban'thok Sash (11662)	Knight-Captain's Satin Legguards (23302)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Knight-Lieutenant's Satin Handwraps (23288)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Energetic Rod (18321)	Therazane's Touch (19315)	Lethtendris' Wand (18301)
2	Megzilla	SQUAWK	Horde	392.9	40	Feb 26	1:25:49	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Mantle of Prophecy (16816)	Truefaith Vestments (14154)	Whipvine Cord (18327)	Leggings of Transcendence (16922)	Snowblind Shoes (19131)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Fordring's Seal (16058)	Cauterizing Band (19140)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Rod of the Ogre Magi (18534)	N/A	Bonecreeper Stylus (13938)
3	Ievi	control freak	Alliance	392.0	40	Mar 8	48:01	Halo of Transcendence (16921)	Choker of Enlightenment (17109)	Elder Wizard's Mantle (13013)	Robes of Prophecy (16815)	Girdle of Prophecy (16817)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Arachnidian Bracelets (14291)	Dreamweave Gloves (10019)	Band of Rumination (18103)	Fordring's Seal (16058)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Crimson Shocker (17077)
4	Goldzzp	Dense	Alliance	351.2	40	Jan 31	56:49	Crimson Felt Hat (18727)	Animated Chain Necklace (18723)	Burial Shawl (18681)	Robes of the Exalted (13346)	Thuzadin Sash (18740)	Leggings of Transcendence (16922)	Dragonrider Boots (18102)	High Councillor's Bracers (10136)	Dreamweave Gloves (10019)	Songstone of Ironforge (12543)	Fordring's Seal (16058)	Second Wind (11819)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
5	Jhoryn	Fatality Official	Horde	345.1	40	Feb 19	58:11	Champion's Satin Hood (23261)	Star of Mystaria (12103)	Champion's Satin Mantle (23262)	Legionnaire's Satin Tunic (22885)	Ban'thok Sash (11662)	Padre's Trousers (18386)	Blood Guard's Satin Walkers (22859)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Eye of Orgrimmar (12545)	Band of Rumination (18103)	Burst of Knowledge (11832)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Glowstar Rod (15281)
6	Buffstealer	N/A	Unknown	338.6	37	Mar 14	25:46	Lieutenant Commander's Satin Hood (23316)	Star of Mystaria (12103)	Lieutenant Commander's Satin Mantle (23317)	Knight-Captain's Satin Tunic (23303)	Ban'thok Sash (11662)	Knight-Captain's Satin Legguards (23302)	Knight-Lieutenant's Satin Walkers (23289)	Sublime Wristguards (18497)	Knight-Lieutenant's Satin Handwraps (23288)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Sorcerous Dagger (18878)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
7	Birdx	based	Alliance	313.2	40	Feb 16	1:09:10	Lieutenant Commander's Satin Hood (23316)	Animated Chain Necklace (18723)	Lieutenant Commander's Satin Mantle (23317)	Knight-Captain's Satin Tunic (23303)	Ban'thok Sash (11662)	Knight-Captain's Satin Legguards (23302)	Knight-Lieutenant's Satin Walkers (23289)	Wyrmthalak's Shackles (13958)	Knight-Lieutenant's Satin Handwraps (23288)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
8	Intangible	car with flames - Aggression	Alliance	303.3	40	Feb 14	59:18	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Mantle of Prophecy (16816)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Senior Designer's Pantaloons (11841)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Hands of the Exalted Herald (12554)	Cauterizing Band (19140)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Dragon Finger (15282)
9	Blakeak	NOC	Alliance	273.8	40	Mar 14	1:22:21	Halo of Transcendence (16921)	Tooth of Gnarr (13141)	Mantle of Prophecy (16816)	Truefaith Vestments (14154)	Thuzadin Sash (18740)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Elegant Bracers (10213)	Gloves of Prophecy (16812)	Fordring's Seal (16058)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Wizard's Hand (15280)
10	Gwenda	NOC	Alliance	269.1	40	Mar 14	1:22:21	Lieutenant Commander's Satin Hood (23316)	Choker of Enlightenment (17109)	Lieutenant Commander's Satin Mantle (23317)	Knight-Captain's Satin Tunic (23303)	Stormpike Cloth Girdle (19094)	Knight-Captain's Satin Legguards (23302)	Knight-Lieutenant's Satin Walkers (23289)	Necropile Cuffs (14629)	Knight-Lieutenant's Satin Handwraps (23288)	Songstone of Ironforge (12543)	Blood of the Martyr (17045)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Stormpike Sage's Cloak (19086)	Energetic Rod (18321)	Therazane's Touch (19315)	Stormrager (16997)
