Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Xaliih	N/A	Unknown	864.2	40	Mar 16	52:51	Green Lens (10504)	Choker of the Fire Lord (18814)	Champion's Satin Mantle (23262)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	Flameweave Cuffs (11766)	Blood Guard's Satin Handwraps (22869)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
2	세인트지니	Balance	Alliance	798.6	40	Feb 14	1:17:22	Elegant Circlet (10219)	Dark Advisor's Pendant (18691)	Elegant Mantle (10210)	Robe of Winter Night (14136)	Stormpike Cloth Girdle (19094)	Skyshroud Leggings (13170)	Celestial Slippers (14310)	Resplendent Bracelets (14320)	Felcloth Gloves (18407)	Underworld Band (1980)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Burst of Knowledge (11832)	Elegant Cloak (10212)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
3	Kaz	N/A	Unknown	774.5	41	Mar 2	58:59	High Councillor's Circlet (10139)	Choker of the Fire Lord (18814)	Champion's Satin Mantle (23262)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Resplendent Boots (14319)	High Councillor's Bracers (10136)	Blood Guard's Satin Handwraps (22869)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
4	Karntar	f i n e	Horde	766.0	40	Feb 28	1:02:04	High Councillor's Circlet (10139)	Dark Advisor's Pendant (18691)	Elegant Mantle (10210)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	High Councillor's Boots (10137)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Eye of Orgrimmar (12545)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Eye of the Beast (13968)	Resplendent Cloak (14321)	Anathema (18609)	N/A	Bonecreeper Stylus (13938)
5	Bladia	N/A	Unknown	733.9	38	Mar 9	1:08:13	Green Lens (10504)	Dark Advisor's Pendant (18691)	Felcloth Shoulders (14112)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Underworld Band (1980)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Elegant Cloak (10212)	Anathema (18609)	N/A	Bonecreeper Stylus (13938)
6	Bofur	Timewalkers	Alliance	729.2	40	Mar 13	34:00	High Councillor's Circlet (10139)	Choker of the Fire Lord (18814)	High Councillor's Mantle (10142)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Felcloth Pants (14107)	Omnicast Boots (11822)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Underworld Band (1980)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Scepter of the Unholy (13349)	Tome of Shadow Force (19309)	Glowstar Rod (15281)
7	Maddeysp	N/A	Unknown	721.5	38	Mar 11	51:43	High Councillor's Circlet (10139)	Dark Advisor's Pendant (18691)	High Councillor's Mantle (10142)	High Councillor's Robe (10143)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	Master's Bracers (10248)	Felcloth Gloves (18407)	Eye of Orgrimmar (12545)	Ring of Spell Power (19147)	Burst of Knowledge (11832)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
8	Kimb	Ashbringer(old)	Alliance	719.8	40	Mar 13	51:42	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Lieutenant Commander's Satin Mantle (23317)	Knight-Captain's Satin Tunic (23303)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Hands of Power (13253)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Blade of Eternal Darkness (17780)	Therazane's Touch (19315)	Bonecreeper Stylus (13938)
9	뼈데드	할리공대 일공	Horde	719.1	40	Mar 9	1:11:47	Crimson Felt Hat (18727)	Choker of the Fire Lord (18814)	Felcloth Shoulders (14112)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Blood Guard's Satin Walkers (22859)	Sublime Wristguards (18497)	Blood Guard's Satin Handwraps (22869)	Eye of Orgrimmar (12545)	Underworld Band (1980)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Anathema (18609)	N/A	Bonecreeper Stylus (13938)
10	Faker	Balance	Alliance	716.9	40	Feb 21	1:12:24	Councillor's Circlet (10097)	Dark Advisor's Pendant (18691)	Lieutenant Commander's Satin Mantle (23317)	Robe of Winter Night (14136)	Stormpike Cloth Girdle (19094)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	Sublime Wristguards (18497)	Knight-Lieutenant's Satin Handwraps (23288)	Songstone of Ironforge (12543)	Underworld Band (1980)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Master's Cloak (10249)	Anathema (18609)	N/A	Bonecreeper Stylus (13938)
