Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Enthozz	SQUAWK	Horde	2,022.3	40	Mar 18	1:21:55	Nightslayer Cover (16821)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Legionnaire's Leather Chestpiece (22879)	Mugger's Belt (18505)	Legionnaire's Leather Legguards (22880)	Nightslayer Boots (16824)	Nightslayer Bracelets (16825)	Nightslayer Gloves (16826)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Striker's Mark (17069)
2	Justwoo	N/A	Unknown	1,930.6	40	Mar 10	1:00:32	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Nightslayer Pants (16822)	Nightslayer Boots (16824)	Bracers of the Eclipse (18375)	Nightslayer Gloves (16826)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Royal Seal of Eldre'Thalas (18465)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	Distracting Dagger (18392)	Satyr's Bow (18323)
3	Vampsinn	SQUAWK	Horde	1,677.6	40	Mar 5	1:17:25	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Legionnaire's Leather Legguards (22880)	Nightslayer Boots (16824)	Bracers of the Eclipse (18375)	Blood Guard's Leather Grips (22864)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Brutality Blade (18832)	Mirah's Song (15806)	Satyr's Bow (18323)
4	Hidden	GG	Horde	1,664.2	40	Mar 13	2:03:32	Shadowcraft Cap (16707)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Shadowcraft Tunic (16721)	Shadowcraft Belt (16713)	Shadowcraft Pants (16709)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Goblin Bomb Dispenser (10587)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Striker's Mark (17069)
5	Etr	SQUAWK	Horde	1,647.4	40	Mar 5	1:17:25	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Bloodfang Pants (16909)	Nightslayer Boots (16824)	Bracers of the Eclipse (18375)	Nightslayer Gloves (16826)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Vis'kag the Bloodletter (17075)	Mirah's Song (15806)	Satyr's Bow (18323)
6	Darbs	SQUAWK	Horde	1,563.9	40	Mar 5	1:09:27	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Bloodfang Pants (16909)	Nightslayer Boots (16824)	Bracers of the Eclipse (18375)	Nightslayer Gloves (16826)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Brutality Blade (18832)	Mirah's Song (15806)	Satyr's Bow (18323)
7	Fynns	based	Alliance	1,533.4	40	Mar 16	1:27:59	Lieutenant Commander's Leather Helm (23312)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Leather Shoulders (23313)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Bloodfang Pants (16909)	Nightslayer Boots (16824)	Nightslayer Bracelets (16825)	Nightslayer Gloves (16826)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Puissant Cape (18541)	Brutality Blade (18832)	Dal'Rend's Tribal Guardian (12939)	Satyr's Bow (18323)
8	Enemies	SQUAWK	Horde	1,467.5	40	Mar 11	1:17:55	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Cadaverous Armor (14637)	Nightslayer Belt (16827)	Bloodfang Pants (16909)	Nightslayer Boots (16824)	Nightslayer Bracelets (16825)	Nightslayer Gloves (16826)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Gnomish Battle Chicken (10725)	Blackveil Cape (11626)	Brutality Blade (18832)	Mirah's Song (15806)	Satyr's Bow (18323)
9	Snizlorc	SQUAWK	Horde	1,467.1	40	Feb 26	1:08:19	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Shadowcraft Spaulders (16708)	Shadowcraft Tunic (16721)	Shadowcraft Belt (16713)	Shadowcraft Pants (16709)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	Felstriker (12590)	Satyr's Bow (18323)
10	Digb	SQUAWK	Horde	1,459.1	40	Mar 11	1:17:55	Bloodfang Hood (16908)	Will of the Martyr (17044)	Nightslayer Shoulder Pads (16823)	Legionnaire's Leather Chestpiece (22879)	Nightslayer Belt (16827)	Legionnaire's Leather Legguards (22880)	Nightslayer Boots (16824)	Nightslayer Bracelets (16825)	Nightslayer Gloves (16826)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Krol Blade (2244)	Mirah's Song (15806)	Precisely Calibrated Boomstick (2100)
