Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Ele	Fate	Horde	905.4	40	Feb 16	1:02:36	Mercurial Circlet (10160)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Mercurial Breastplate (10157)	Barrage Girdle (18721)	Legplates of Ten Storms (16946)	Mercurial Greaves (10155)	Mercurial Bracers (10156)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Mercurial Cloak (10159)	Mastersmith's Hammer (18048)	Therazane's Touch (19315)	N/A
2	Darmare	N/A	Unknown	891.5	40	Mar 17	1:24:08	Mighty Helmet (10150)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Legplates of Ten Storms (16946)	Masterwork Boots (10270)	Mercurial Bracers (10156)	Hands of Power (13253)	Band of the Unicorn (7553)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Adventurer's Cape (10258)	Mastersmith's Hammer (18048)	Therazane's Touch (19315)	Egan's Blaster (13289)
3	Ffudge	sweat level medium	Horde	849.7	39	Feb 20	1:03:37	Crimson Felt Hat (18727)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Sublime Wristguards (18497)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Witchblade (13964)	Therazane's Touch (19315)	Egan's Blaster (13289)
4	Bae	N/A	Unknown	824.7	40	Mar 2	1:04:10	Adventurer's Bandana (10261)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Masterwork Breastplate (10266)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Mighty Boots (10146)	Mercurial Bracers (10156)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Ring of Spell Power (19147)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Adventurer's Cape (10258)	Sorcerous Dagger (18878)	Therazane's Touch (19315)	Egan's Blaster (13289)
5	Vro	Omen	Horde	822.0	40	Mar 2	1:07:35	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Wanderer's Armor (10105)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Adventurer's Boots (10257)	Mercurial Bracers (10156)	Elven Spirit Claws (2564)	Maiden's Circle (13001)	Ring of Spell Power (19147)	Eye of the Beast (13968)	Briarwood Reed (12930)	Adventurer's Cape (10258)	Sorcerous Dagger (18878)	Spirit of Aquementas (11904)	N/A
6	Irabu	Someone Puiied	Horde	800.8	40	Feb 9	51:36	Mercurial Circlet (10160)	Barbed Thorn Necklace (18289)	Mighty Spaulders (10153)	Adventurer's Tunic (10264)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Adventurer's Boots (10257)	Adventurer's Bracers (10256)	Elven Spirit Claws (2564)	Eye of Orgrimmar (12545)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
7	Tardius	Adequate	Horde	789.9	40	Mar 5	48:08	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Mercurial Bracers (10156)	Blood Guard's Mail Vices (22867)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Witchblade (13964)	Therazane's Touch (19315)	Egan's Blaster (13289)
8	Guyondacouch	Impact	Horde	788.2	40	Mar 12	31:14	Crimson Felt Hat (18727)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Mighty Armsplints (10147)	Hands of Power (13253)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	N/A
9	Narapoia	Tide	Horde	769.3	40	Mar 12	49:45	Nightshade Helmet (10226)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Wildthorn Mail (12624)	Mana Igniting Cord (19136)	Legionnaire's Mail Legguards (22887)	Omnicast Boots (11822)	Peerless Bracers (15425)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Masterwork Cape (10267)	Aurastone Hammer (17105)	Therazane's Touch (19315)	Egan's Blaster (13289)
10	Opiee	Hype	Horde	767.8	40	Feb 21	1:11:18	Crimson Felt Hat (18727)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Legplates of Ten Storms (16946)	Mercurial Greaves (10155)	Ornate Bracers (10126)	Dracorian Gauntlets (13344)	Band of the Unicorn (7553)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Royal Seal of Eldre'Thalas (18471)	Sapphiron Drape (17078)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
11	Teddy	Smooth	Horde	753.5	40	Mar 3	1:35:28	Crimson Felt Hat (18727)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Wildthorn Mail (12624)	Barrage Girdle (18721)	Legionnaire's Mail Legguards (22887)	Waterspout Boots (18322)	Adventurer's Bracers (10256)	Blood Guard's Mail Vices (22867)	Ring of Spell Power (19147)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18471)	Spritecaster Cape (11623)	Mastersmith's Hammer (18048)	Therazane's Touch (19315)	N/A
12	Thunderass	critical	Horde	749.1	40	Mar 12	1:04:35	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Chestplate of Tranquility (18373)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Dragonrider Boots (18102)	Mighty Armsplints (10147)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Aurastone Hammer (17105)	Therazane's Touch (19315)	Egan's Blaster (13289)
13	Eazyxl	N/A	Unknown	737.7	40	Feb 26	57:16	Nightshade Helmet (10226)	Barbed Thorn Necklace (18289)	Adventurer's Shoulders (10263)	Mighty Tunic (10151)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Mighty Armsplints (10147)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Mercurial Cloak (10159)	Aurastone Hammer (17105)	Therazane's Touch (19315)	N/A
14	Ishtotem	Throwing Smoke l	Horde	720.6	40	Feb 19	1:08:33	Nightshade Helmet (10226)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Barrage Girdle (18721)	Legplates of Ten Storms (16946)	Masterwork Boots (10270)	Masterwork Bracers (10265)	Hands of Power (13253)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Mercurial Cloak (10159)	Mastersmith's Hammer (18048)	Therazane's Touch (19315)	Egan's Blaster (13289)
15	Loldeleted	N/A	Unknown	709.8	40	Feb 13	59:14	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Champion's Mail Pauldrons (23260)	Wildthorn Mail (12624)	Ban'thok Sash (11662)	Legionnaire's Mail Legguards (22887)	Waterspout Boots (18322)	Mighty Armsplints (10147)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Energetic Rod (18321)	Therazane's Touch (19315)	Egan's Blaster (13289)
16	Rilkor	N/A	Unknown	707.6	40	Mar 10	59:18	Green Lens (10504)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Masterwork Boots (10270)	Nightshade Armguards (10223)	Blood Guard's Mail Vices (22867)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18471)	Adventurer's Cape (10258)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
17	Jammster	GG	Horde	702.2	40	Feb 6	1:40:04	Mighty Helmet (10150)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Adventurer's Bracers (10256)	Hands of Power (13253)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Adventurer's Cape (10258)	Magus Long Staff (15276)	N/A	Egan's Blaster (13289)
