Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Ralli	Kartelli	Horde	788.7	40	Feb 16	44:49	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Black Dragonscale Breastplate (15050)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Bracers of the Stone Princess (17714)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	Egan's Blaster (13289)
2	Yougan	Adequate	Horde	770.5	40	Mar 5	48:08	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Cloudrunner Girdle (13252)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Voone's Vice Grips (13963)	Blackstone Ring (17713)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	N/A
3	Jay	Maschine	Horde	732.3	40	Feb 21	1:13:19	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Devilsaur Leggings (15062)	Sabatons of the Flamewalker (19144)	Slashclaw Bracers (13211)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	Egan's Blaster (13289)
4	Denaia	HS Crew	Horde	729.8	37	Feb 20	39:20	Crown of Destruction (18817)	Mark of Fordring (15411)	Flamescarred Shoulders (18374)	Savage Gladiator Chain (11726)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Savage Gladiator Greaves (11731)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Spinal Reaper (17104)	N/A	N/A
5	이짓거리를또하네	See ya	Horde	725.7	40	Mar 6	1:40:36	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Flamescarred Shoulders (18374)	Savage Gladiator Chain (11726)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
6	Landespede	N/A	Unknown	706.7	40	Feb 11	52:33	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Champion's Mail Pauldrons (23260)	Savage Gladiator Chain (11726)	Barrage Girdle (18721)	Earthfury Legguards (16843)	Blood Guard's Mail Greaves (22857)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Blackstone Ring (17713)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Deep Woodlands Cloak (19121)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
7	Goshi	Smooth	Horde	700.5	40	Feb 17	1:23:58	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Deathdealer Breastplate (11926)	Vosh'gajin's Strand (13962)	Devilsaur Leggings (15062)	Sabatons of the Flamewalker (19144)	Bracers of the Eclipse (18375)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Nightfall (19169)	N/A	N/A
8	Phorquedtotm	N/A	Unknown	695.1	40	Jan 22	1:00:37	Crown of Destruction (18817)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Bracers of the Stone Princess (17714)	Devilsaur Gauntlets (15063)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	N/A
9	Dbcl	N/A	Unknown	689.1	36	Mar 12	45:22	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Black Dragonscale Leggings (15052)	Sabatons of the Flamewalker (19144)	Wristguards of True Flight (18812)	Bloodmail Gauntlets (14615)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Spinal Reaper (17104)	N/A	Egan's Blaster (13289)
10	Kovch	N/A	Unknown	687.9	40	Mar 9	45:20	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Pyremail Wristguards (11765)	Gargoyle Slashers (13957)	Don Julio's Band (19325)	Painweaver Band (13098)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	Egan's Blaster (13289)
11	Muga	N/A	Unknown	682.6	40	Mar 9	43:36	Champion's Mail Headguard (23259)	Onyxia Tooth Pendant (18404)	Champion's Mail Pauldrons (23260)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Bloodmail Legguards (14612)	Sabatons of the Flamewalker (19144)	Slashclaw Bracers (13211)	Bloodmail Gauntlets (14615)	Don Julio's Band (19325)	Painweaver Band (13098)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	N/A
12	Barrosch	Leuchtfeuer - Team Red	Horde	682.2	39	Mar 9	1:08:24	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Vosh'gajin's Strand (13962)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Lordly Armguards (13135)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	N/A
13	Myllytys	N/A	Unknown	678.8	40	Feb 26	56:57	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Bloodmail Gauntlets (14615)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Ramstein's Lightning Bolts (13515)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	Egan's Blaster (13289)
14	Shaloof	Ethereal	Horde	668.2	40	Mar 7	41:12	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Cadaverous Belt (14636)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
15	陨落的星	N/A	Unknown	666.0	38	Feb 8	1:12:39	Eye of Rend (12587)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Vosh'gajin's Strand (13962)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Quick Strike Ring (18821)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
16	Tator	Sweat Equity	Horde	662.1	40	Feb 13	1:09:01	Crown of Tyranny (13359)	Emberfury Talisman (12929)	Black Dragonscale Shoulders (15051)	Black Dragonscale Breastplate (15050)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Lordly Armguards (13135)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18471)	Rune of the Guard Captain (19120)	Blackveil Cape (11626)	Treant's Bane (18538)	N/A	Egan's Blaster (13289)
17	Alkander	N/A	Unknown	653.0	40	Feb 20	55:37	Eye of Rend (12587)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Slashclaw Bracers (13211)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	Nightfall (19169)	N/A	N/A
18	Sweds	N/A	Unknown	649.7	40	Mar 6	1:01:09	Crown of Destruction (18817)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Devilsaur Leggings (15062)	Savage Gladiator Greaves (11731)	Lordly Armguards (13135)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Spinal Reaper (17104)	N/A	Egan's Blaster (13289)
19	Thunderkoq	Dreamstate	Horde	648.9	41	Feb 17	58:23	Crown of Destruction (18817)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Bloodmail Belt (14614)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Bracers of the Stone Princess (17714)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	N/A
20	Xeh	N/A	Unknown	641.4	37	Mar 14	55:32	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
21	첫사랑옆집오빠	느낌	Horde	628.8	40	Feb 6	1:11:38	Eye of Rend (12587)	Mark of Fordring (15411)	Wyrmhide Spaulders (12082)	Cadaverous Armor (14637)	Cadaverous Belt (14636)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Slashclaw Bracers (13211)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Band of Vigor (18302)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	The Unstoppable Force (19323)	N/A	N/A
22	遥远星空	万焰	Horde	628.6	40	Feb 6	43:10	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Bone Golem Shoulders (18686)	Savage Gladiator Chain (11726)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
23	Snort	Abyss	Horde	628.1	39	Feb 19	1:00:25	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Champion's Mail Pauldrons (23260)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Bloodmail Legguards (14612)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Voone's Vice Grips (13963)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
24	Slayarin	N/A	Unknown	625.4	38	Feb 9	44:13	Eye of Rend (12587)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Vosh'gajin's Strand (13962)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Lordly Armguards (13135)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	N/A
25	Lrgbigmac	floor pov	Horde	625.3	35	Mar 3	55:16	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Ogre Forged Hauberk (18530)	Bloodmail Belt (14614)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Bracers of the Stone Princess (17714)	Bloodmail Gauntlets (14615)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Frostwolf Legionnaire's Cloak (19083)	Nightfall (19169)	N/A	N/A
26	Viruh	N/A	Unknown	620.9	35	Mar 2	1:05:25	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Gargoyle Slashers (13957)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Spinal Reaper (17104)	N/A	N/A
27	Usada	N/A	Unknown	620.5	40	Mar 9	51:58	Crown of Destruction (18817)	Mark of Fordring (15411)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Vosh'gajin's Strand (13962)	Devilsaur Leggings (15062)	Sabatons of the Flamewalker (19144)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Frostwolf Legionnaire's Cloak (19083)	Nightfall (19169)	N/A	N/A
28	Omegasalt	N/A	Unknown	619.8	40	Mar 5	42:30	Crown of Destruction (18817)	Mark of Fordring (15411)	Champion's Mail Pauldrons (23260)	Legionnaire's Mail Hauberk (22876)	Vosh'gajin's Strand (13962)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
29	Goosefrog	Decomposed Boot	Horde	616.7	40	Feb 12	1:14:27	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Wyrmhide Spaulders (12082)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Devilsaur Leggings (15062)	Sabatons of the Flamewalker (19144)	Bracers of the Stone Princess (17714)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	The Unstoppable Force (19323)	N/A	N/A
