Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Myllytys	N/A	Unknown	288.2	40	Feb 19	1:14:40	Crown of Tyranny (13359)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Bloodmail Gauntlets (14615)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Ramstein's Lightning Bolts (13515)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	Egan's Blaster (13289)
2	Arkadnik	Unexpected Journey	Horde	256.2	39	Feb 26	1:21:27	Helmet of Ten Storms (16947)	Star of Mystaria (12103)	Champion's Mail Pauldrons (23260)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Legionnaire's Mail Legguards (22887)	Omnicast Boots (11822)	Earthfury Bracers (16840)	Blood Guard's Mail Vices (22867)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Witchblade (13964)	Therazane's Touch (19315)	Egan's Blaster (13289)
3	Ögpdötkekw	kekw	Horde	247.8	39	Feb 26	51:37	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Legionnaire's Mail Hauberk (22876)	Mana Igniting Cord (19136)	Legionnaire's Mail Legguards (22887)	Blood Guard's Mail Greaves (22857)	Bindings of Elements (16671)	Blood Guard's Mail Vices (22867)	Seal of the Archmagus (17110)	Cyclopean Band (11824)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18471)	Chromatic Cloak (18509)	Cold Forged Hammer (20648)	Therazane's Touch (19315)	N/A
4	Monkey	SQUAWK	Horde	233.4	40	Feb 5	1:03:32	Crimson Felt Hat (18727)	Animated Chain Necklace (18723)	Champion's Mail Pauldrons (23260)	Wildthorn Mail (12624)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Blood Guard's Mail Vices (22867)	Eye of Orgrimmar (12545)	Band of Rumination (18103)	Goblin Bomb Dispenser (10587)	Ramstein's Lightning Bolts (13515)	Deep Woodlands Cloak (19121)	Energetic Rod (18321)	Therazane's Touch (19315)	Egan's Blaster (13289)
5	Westy	N/A	Unknown	210.9	39	Mar 5	1:10:32	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Champion's Mail Pauldrons (23260)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Devilsaur Leggings (15062)	Blood Guard's Mail Greaves (22857)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Frostwolf Legionnaire's Cloak (19083)	Spinal Reaper (17104)	N/A	N/A
6	Tahina	N/A	Unknown	205.8	40	Feb 14	1:06:23	Earthfury Helmet (16842)	Frostwolf Advisor's Pendant (19096)	Living Shoulders (15061)	Robes of the Exalted (13346)	Eyestalk Cord (18391)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Tearfall Bracers (13409)	Gloves of Restoration (18309)	Rosewine Circle (13178)	Fordring's Seal (16058)	Shard of the Scale (17064)	Briarwood Reed (12930)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
7	Coolbeans	GIGACHAD	Horde	199.3	37	Mar 16	1:00:54	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Black Dragonscale Shoulders (15051)	Legionnaire's Mail Hauberk (22876)	Flayed Doomguard Belt (19134)	Legplates of Ten Storms (16946)	Blood Guard's Mail Greaves (22857)	Bindings of Elements (16671)	Blood Guard's Mail Vices (22867)	Band of Rumination (18103)	Don Julio's Band (19325)	Shard of the Splithooves (10659)	Royal Seal of Eldre'Thalas (18471)	Archivist Cape (13386)	Windreaper (15853)	Thaurissan's Royal Scepter (11928)	N/A
8	Ori	Athena	Horde	197.3	41	Feb 5	1:04:53	Masterwork Circlet (10272)	Skibi's Pendant (13089)	Bone Golem Shoulders (18686)	Legionnaire's Mail Hauberk (22876)	Bloodmail Belt (14614)	Savage Gladiator Leggings (11728)	Blood Guard's Mail Greaves (22857)	Lordly Armguards (13135)	Bloodmail Gauntlets (14615)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Carrot on a Stick (11122)	Rune of the Guard Captain (19120)	Shadewood Cloak (18328)	Nightfall (19169)	N/A	N/A
9	Notavoidme	SQUAWK	Horde	196.3	41	Mar 12	59:18	Helm of the Lifegiver (18870)	Tooth of Gnarr (13141)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Mercurial Girdle (10154)	Senior Designer's Pantaloons (11841)	Merciful Greaves (18318)	Bindings of Elements (16671)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Drape of Benediction (18208)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
10	Dildus	SQUAWK	Horde	194.8	40	Mar 18	1:21:55	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Earthfury Vestments (16841)	Nightshade Girdle (10221)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Mercurial Bracers (10156)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Fordring's Seal (16058)	Second Wind (11819)	Briarwood Reed (12930)	Hide of the Wild (18510)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
11	Shockdsham	N/A	Unknown	187.4	40	Jan 2	1:18:21	Tribal War Feathers (12960)	Tooth of Gnarr (13141)	Pauldrons of Elements (16669)	Robes of the Exalted (13346)	Cord of Elements (16673)	Ghoul Skin Leggings (18682)	Dragonrider Boots (18102)	Bindings of Elements (16671)	Hands of the Exalted Herald (12554)	Band of Sulfuras (19138)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Second Wind (11819)	Spritecaster Cape (11623)	Hyperthermically Insulated Lava Dredger (18803)	N/A	N/A
12	Panatah	Red Pandas	Horde	181.2	36	Mar 5	1:15:39	Mercurial Circlet (10160)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Masterwork Breastplate (10266)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Mercurial Bracers (10156)	Blood Guard's Mail Vices (22867)	Eye of Orgrimmar (12545)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Eye of the Beast (13968)	Adventurer's Cape (10258)	Mastersmith's Hammer (18048)	Therazane's Touch (19315)	N/A
13	Anitahead	SQUAWK	Horde	175.6	41	Mar 6	1:01:03	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Whipvine Cord (18327)	Padre's Trousers (18386)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Emerald Flame Ring (18395)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
14	Boomfury	N/A	Unknown	171.4	40	Feb 26	1:18:00	Champion's Mail Headguard (23259)	Frostwolf Legionnaire's Pendant (19095)	Black Dragonscale Shoulders (15051)	Legionnaire's Mail Hauberk (22876)	Cord of Elements (16673)	Legionnaire's Mail Legguards (22887)	Blood Guard's Mail Greaves (22857)	Bindings of Elements (16671)	Voone's Vice Grips (13963)	Don Julio's Band (19325)	Ocean's Breeze (18399)	Royal Seal of Eldre'Thalas (18471)	Rune of the Guard Captain (19120)	Frostwolf Legionnaire's Cloak (19083)	Nightfall (19169)	N/A	N/A
15	Inae	Affen mit Waffen	Horde	167.6	40	Feb 6	1:41:14	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Burial Shawl (18681)	Wildthorn Mail (12624)	Ban'thok Sash (11662)	Legionnaire's Mail Legguards (22887)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Hypnotic Blade (7714)	Therazane's Touch (19315)	N/A
