Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Opencoil	whos friend r u	Alliance	952.1	40	Mar 12	35:45	Lieutenant Commander's Dreadweave Cowl (23310)	Dark Advisor's Pendant (18691)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Knight-Lieutenant's Dreadweave Walkers (23283)	High Councillor's Bracers (10136)	Knight-Lieutenant's Dreadweave Handwraps (23282)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Blade of the New Moon (18372)	Therazane's Touch (19315)	Dragon Finger (15282)
2	Ninja	whos friend r u	Alliance	919.6	40	Feb 19	24:05	Lieutenant Commander's Dreadweave Cowl (23310)	Dark Advisor's Pendant (18691)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of Volatile Power (19145)	Sash of Whispered Secrets (18809)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Master's Bracers (10248)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Underworld Band (1980)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Spritecaster Cape (11623)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
3	Frogen	SQUAWK	Horde	912.1	40	Jan 22	58:15	Nemesis Skullcap (16929)	Star of Mystaria (12103)	Felheart Shoulder Pads (16807)	Felheart Robes (16809)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Blood Guard's Dreadweave Walkers (22855)	Felheart Bracers (16804)	Blood Guard's Dreadweave Handwraps (22865)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Cannonball Runner (13382)	Goblin Bomb Dispenser (10587)	Mageflame Cloak (13007)	Witchblade (13964)	Tome of Fiery Arcana (19311)	Skul's Ghastly Touch (13396)
4	Tommystacks	SQUAWK	Horde	867.1	41	Feb 13	52:47	Nemesis Skullcap (16929)	Choker of the Fire Lord (18814)	Champion's Dreadweave Spaulders (23256)	Necropile Robe (14626)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Fire Striders (13369)	Master's Bracers (10248)	Blood Guard's Dreadweave Handwraps (22865)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Ramstein's Lightning Bolts (13515)	Briarwood Reed (12930)	Elegant Cloak (10212)	Witchblade (13964)	Tome of Fiery Arcana (19311)	Bonecreeper Stylus (13938)
5	Frightclub	SQUAWK	Horde	862.3	40	Mar 11	1:17:55	Champion's Dreadweave Cowl (23255)	Choker of the Fire Lord (18814)	Champion's Dreadweave Spaulders (23256)	Robe of the Void (14153)	Mana Igniting Cord (19136)	Nemesis Leggings (16930)	Snowblind Shoes (19131)	Master's Bracers (10248)	Felcloth Gloves (18407)	Ring of Spell Power (19147)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Eye of the Beast (13968)	High Councillor's Cloak (10138)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
6	Ratt	SQUAWK	Horde	861.0	40	Feb 20	50:44	Champion's Dreadweave Cowl (23255)	Star of Mystaria (12103)	Champion's Dreadweave Spaulders (23256)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Snowblind Shoes (19131)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Eye of Orgrimmar (12545)	Underworld Band (1980)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18467)	Eternal Cloak (14331)	Azuresong Mageblade (17103)	Tome of Fiery Arcana (19311)	Serpentine Skuller (12605)
7	Nistitaikuri	N/A	Unknown	849.9	39	Mar 9	51:29	Lieutenant Commander's Dreadweave Cowl (23310)	Dark Advisor's Pendant (18691)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of the Void (14153)	Sash of Whispered Secrets (18809)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Sorcerous Dagger (18878)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
8	Gekass	AV RANKER	Horde	841.5	40	Mar 6	46:50	Champion's Dreadweave Cowl (23255)	Star of Mystaria (12103)	Champion's Dreadweave Spaulders (23256)	Robe of the Void (14153)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	High Councillor's Boots (10137)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Eye of Orgrimmar (12545)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Staff of Dominance (18842)	N/A	Skul's Ghastly Touch (13396)
9	Jennyanydots	bipolar	Horde	835.3	40	Feb 17	1:05:41	Eye of Flame (3075)	Choker of the Fire Lord (18814)	Elder Wizard's Mantle (13013)	Legionnaire's Dreadweave Tunic (22884)	Master's Belt (10255)	Master's Leggings (10252)	Blood Guard's Dreadweave Walkers (22855)	Elegant Bracers (10213)	Inferno Gloves (18408)	Eye of Orgrimmar (12545)	Flaming Band (12926)	Royal Seal of Eldre'Thalas (18467)	Briarwood Reed (12930)	Mageflame Cloak (13007)	Magus Long Staff (15276)	N/A	Glowstar Rod (15281)
10	Thedenzel	Specimen	Alliance	832.6	40	Feb 26	1:13:26	Nemesis Skullcap (16929)	Dark Advisor's Pendant (18691)	Burial Shawl (18681)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Underworld Band (1980)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Master's Cloak (10249)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
11	Aguaw	AV RANKER	Horde	830.0	40	Feb 20	44:24	Champion's Dreadweave Cowl (23255)	Star of Mystaria (12103)	Champion's Dreadweave Spaulders (23256)	Robe of Volatile Power (19145)	Sash of Whispered Secrets (18809)	Nemesis Leggings (16930)	Master's Boots (10247)	Master's Bracers (10248)	Felcloth Gloves (18407)	Eye of Orgrimmar (12545)	Underworld Band (1980)	Eye of the Beast (13968)	Talisman of Ephemeral Power (18820)	High Councillor's Cloak (10138)	Staff of Dominance (18842)	N/A	Skul's Ghastly Touch (13396)
12	Rockal	Kartelli	Horde	826.8	40	Mar 9	55:42	Champion's Dreadweave Cowl (23255)	Star of Mystaria (12103)	Champion's Dreadweave Spaulders (23256)	Robe of the Void (14153)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Master's Boots (10247)	Councillor's Cuffs (10096)	Felcloth Gloves (18407)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
13	Critless	whos friend r u	Alliance	821.8	40	Jan 29	33:15	High Councillor's Circlet (10139)	Dark Advisor's Pendant (18691)	Felcloth Shoulders (14112)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Fel-Infused Leggings (19133)	Knight-Lieutenant's Dreadweave Walkers (23283)	Opulent Bracers (14279)	Knight-Lieutenant's Dreadweave Handwraps (23282)	Underworld Band (1980)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Witchblade (13964)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
14	Neyïah	N/A	Unknown	821.6	38	Mar 9	1:08:13	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of the Void (14153)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	High Councillor's Cloak (10138)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
15	Latchz	Scuba Cops	Horde	817.9	40	Feb 21	31:58	Champion's Dreadweave Cowl (23255)	Choker of the Fire Lord (18814)	Champion's Dreadweave Spaulders (23256)	Felheart Robes (16809)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Elegant Bracers (10213)	Felheart Gloves (16805)	Dragonslayer's Signet (18403)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Blade of the New Moon (18372)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
16	Plex	SQUAWK	Horde	801.4	40	Feb 27	47:51	Champion's Dreadweave Cowl (23255)	Star of Mystaria (12103)	Champion's Dreadweave Spaulders (23256)	Felheart Robes (16809)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Sublime Wristguards (18497)	Felcloth Gloves (18407)	Underworld Band (1980)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18467)	Spritecaster Cape (11623)	Witchblade (13964)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
17	세연	N/A	Unknown	799.8	40	Mar 16	1:13:44	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of the Void (14153)	Ban'thok Sash (11662)	Fel-Infused Leggings (19133)	Maleki's Footwraps (18735)	Felheart Bracers (16804)	Felcloth Gloves (18407)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	Bonecreeper Stylus (13938)
18	Balu	AV RANKER	Horde	797.2	40	Feb 27	46:14	Champion's Dreadweave Cowl (23255)	Anastari Heirloom (18728)	Champion's Dreadweave Spaulders (23256)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Felheart Bracers (16804)	Felcloth Gloves (18407)	Underworld Band (1980)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Eternal Cloak (14331)	Blood-Etched Blade (11922)	Tome of Shadow Force (19309)	Umbral Wand (5216)
19	Tuxedojoe	Entitled	Alliance	795.2	40	Mar 3	58:23	Lieutenant Commander's Dreadweave Cowl (23310)	Dark Advisor's Pendant (18691)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of the Void (14153)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	High Councillor's Boots (10137)	Master's Bracers (10248)	Felcloth Gloves (18407)	Underworld Band (1980)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
