Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Juck	SQUAWK	Horde	2,355.5	40	Mar 5	1:17:25	Lionheart Helm (12640)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legionnaire's Plate Leggings (22873)	Battlechaser's Greaves (12555)	Vambraces of the Sadist (13400)	Gauntlets of Might (16863)	Don Julio's Band (19325)	Painweaver Band (13098)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Deathbringer (17068)	Frostbite (19103)	Bloodseeker (19107)
2	Tunch	SQUAWK	Horde	2,199.9	40	Mar 5	1:17:25	Lionheart Helm (12640)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Devilsaur Leggings (15062)	Blood Guard's Plate Greaves (22858)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Deathbringer (17068)	Frostbite (19103)	Bloodseeker (19107)
3	Googlepump	SQUAWK	Horde	2,135.4	40	Mar 5	1:17:25	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Devilsaur Leggings (15062)	Blood Guard's Plate Greaves (22858)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Goblin Bomb Dispenser (10587)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Deathbringer (17068)	Frostbite (19103)	Bloodseeker (19107)
4	Ahlaundoh	N/A	Unknown	2,117.0	40	Mar 17	1:05:24	Champion's Plate Helm (23244)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Battleborn Armbraces (12936)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Hand of Justice (11815)	Gnomish Battle Chicken (10725)	Cape of the Black Baron (13340)	Deathbringer (17068)	Frostbite (19103)	Bloodseeker (19107)
5	Fx	SQUAWK	Horde	2,099.8	40	Mar 5	1:17:25	Lionheart Helm (12640)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Legionnaire's Plate Leggings (22873)	Battlechaser's Greaves (12555)	Vambraces of the Sadist (13400)	Gauntlets of Might (16863)	Don Julio's Band (19325)	Painweaver Band (13098)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Deathbringer (17068)	Frostbite (19103)	Bloodseeker (19107)
6	Fxrmers	SQUAWK	Horde	2,090.1	40	Mar 5	1:17:25	Lionheart Helm (12640)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Omokk's Girth Restrainer (13959)	Devilsaur Leggings (15062)	Blood Guard's Plate Greaves (22858)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Puissant Cape (18541)	Deathbringer (17068)	Frostbite (19103)	Bloodseeker (19107)
7	Fortywinks	SQUAWK	Horde	2,067.1	40	Mar 5	1:17:25	Champion's Plate Helm (23244)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Cadaverous Armor (14637)	Omokk's Girth Restrainer (13959)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Vambraces of the Sadist (13400)	Edgemaster's Handguards (14551)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Brutality Blade (18832)	Core Hound Tooth (18805)	Satyr's Bow (18323)
8	Doal	SQUAWK	Horde	2,037.5	40	Mar 5	1:17:25	Lionheart Helm (12640)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Devilsaur Leggings (15062)	Blood Guard's Plate Greaves (22858)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Frostbite (19103)	Bone Slicing Hatchet (18737)	Bloodseeker (19107)
9	Squeak	SQUAWK	Horde	1,991.5	40	Mar 5	1:17:25	Lionheart Helm (12640)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Legionnaire's Plate Leggings (22873)	Bloodmail Boots (14616)	Vambraces of the Sadist (13400)	Edgemaster's Handguards (14551)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Vis'kag the Bloodletter (17075)	Brutality Blade (18832)	Bloodseeker (19107)
10	Itzjay	SQUAWK	Horde	1,985.3	40	Mar 18	1:21:55	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legionnaire's Plate Leggings (22873)	Battlechaser's Greaves (12555)	Vambraces of the Sadist (13400)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Vis'kag the Bloodletter (17075)	Brutality Blade (18832)	Bloodseeker (19107)
