Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Fawh	N/A	Unknown	1,186.2	38	Mar 9	52:33	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Cloudkeeper Legplates (14554)	Knight-Lieutenant's Plate Greaves (23287)	Bracers of Might (16861)	Edgemaster's Handguards (14551)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Deathbringer (17068)	Core Hound Tooth (18805)	Blackcrow (12651)
2	Markymarkx	SQUAWK	Horde	1,169.5	40	Mar 5	1:17:25	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Cloudkeeper Legplates (14554)	Blood Guard's Plate Greaves (22858)	Vambraces of the Sadist (13400)	Edgemaster's Handguards (14551)	Painweaver Band (13098)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Blastershot Launcher (17072)
3	Wusai	based	Alliance	1,145.8	40	Mar 9	1:07:27	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Savage Gladiator Chain (11726)	Mugger's Belt (18505)	Knight-Captain's Plate Leggings (23301)	Sabatons of Might (16862)	Wristguards of True Flight (18812)	Gauntlets of Might (16863)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Perdition's Blade (18816)	Distracting Dagger (18392)	Bloodseeker (19107)
4	Bubztwo	RTR	Horde	1,114.2	40	Feb 27	55:12	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legionnaire's Plate Leggings (22873)	Blood Guard's Plate Greaves (22858)	Wristguards of True Flight (18812)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Vis'kag the Bloodletter (17075)	Core Hound Tooth (18805)	Satyr's Bow (18323)
5	Wonder	SQUAWK	Horde	1,074.7	40	Feb 20	50:44	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Omokk's Girth Restrainer (13959)	Legionnaire's Plate Leggings (22873)	Blood Guard's Plate Greaves (22858)	Gordok Bracers of Power (18533)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Myrmidon's Signet (2246)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Frostbite (19103)	Flurry Axe (871)	Bloodseeker (19107)
6	열반	그그	Horde	1,056.8	39	Mar 12	1:04:45	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Brigam Girdle (13142)	Legionnaire's Plate Leggings (22873)	Blood Guard's Plate Greaves (22858)	Wristguards of True Flight (18812)	Edgemaster's Handguards (14551)	Blackstone Ring (17713)	Don Julio's Band (19325)	Mark of the Chosen (17774)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Vis'kag the Bloodletter (17075)	Brutality Blade (18832)	Blastershot Launcher (17072)
7	Sorakekx	N/A	Unknown	1,050.8	40	Feb 23	1:09:35	Lieutenant Commander's Plate Helmet (23314)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Knight-Captain's Plate Hauberk (23300)	Omokk's Girth Restrainer (13959)	Knight-Captain's Plate Leggings (23301)	Sabatons of Might (16862)	Vambraces of the Sadist (13400)	Gauntlets of Might (16863)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Phantasmal Cloak (18689)	Bonereaver's Edge (17076)	N/A	Satyr's Bow (18323)
8	Obiwoncanoli	Smooth	Horde	1,047.0	40	Feb 28	1:26:11	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Cloudkeeper Legplates (14554)	Blood Guard's Plate Greaves (22858)	Vambraces of the Sadist (13400)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Blastershot Launcher (17072)
9	Contra	pog	Horde	1,046.5	40	Feb 19	46:21	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Mugger's Belt (18505)	Cloudkeeper Legplates (14554)	Blood Guard's Plate Greaves (22858)	Wristguards of True Flight (18812)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Satyr's Bow (18323)
10	Jahis	Maschine	Horde	1,042.4	40	Feb 7	1:09:22	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legplates of Wrath (16962)	Blood Guard's Plate Greaves (22858)	Battleborn Armbraces (12936)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Blastershot Launcher (17072)
11	Tesshin	Fusk og Sjusk	Alliance	1,040.6	40	Mar 5	1:12:45	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Pauldrons of Might (16868)	Savage Gladiator Chain (11726)	Brigam Girdle (13142)	Legplates of Wrath (16962)	Knight-Lieutenant's Plate Greaves (23287)	Wristguards of True Flight (18812)	Gauntlets of Might (16863)	Band of Accuria (17063)	Magni's Will (12548)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Dal'Rend's Sacred Charge (12940)	Dal'Rend's Tribal Guardian (12939)	Striker's Mark (17069)
12	Misschen	N/A	Unknown	1,037.4	40	Feb 9	34:56	Lieutenant Commander's Plate Helmet (23314)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Knight-Captain's Plate Hauberk (23300)	Brigam Girdle (13142)	Knight-Captain's Plate Leggings (23301)	Sabatons of Might (16862)	Bracers of Valor (16735)	Knight-Lieutenant's Plate Gauntlets (23286)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Stoneskin Gargoyle Cape (13397)	Dal'Rend's Sacred Charge (12940)	Dal'Rend's Tribal Guardian (12939)	Blastershot Launcher (17072)
13	Arystarkos	Gnomeboys	Alliance	1,025.9	40	Feb 27	1:13:47	Lieutenant Commander's Plate Helmet (23314)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Knight-Captain's Plate Hauberk (23300)	Onslaught Girdle (19137)	Knight-Captain's Plate Leggings (23301)	Knight-Lieutenant's Plate Greaves (23287)	Wristguards of True Flight (18812)	Knight-Lieutenant's Plate Gauntlets (23286)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Stoneskin Gargoyle Cape (13397)	Quel'Serrar (18348)	Mirah's Song (15806)	Satyr's Bow (18323)
14	Brutherw	bipolar	Horde	1,024.3	39	Jan 28	59:26	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Pauldrons of Might (16868)	Breastplate of Might (16865)	Brigam Girdle (13142)	Legplates of Wrath (16962)	Blood Guard's Plate Greaves (22858)	Vambraces of the Sadist (13400)	Blood Guard's Plate Gauntlets (22868)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Bone Slicing Hatchet (18737)	Frostbite (19103)	Bloodseeker (19107)
