Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Littleotter	N/A	Unknown	686.8	37	Mar 13	1:40	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
2	Noon	Shenanigans	Horde	628.8	35	Feb 17	1:58	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Swiftwalker Boots (12553)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	N/A
3	Fooq	N/A	Unknown	604.7	40	Feb 13	1:44	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Shadowcraft Belt (16713)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	N/A
4	Scrambles	Bulwark	Alliance	589.5	40	Mar 14	1:03	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
5	Tntejht	N/A	Unknown	575.4	35	Mar 11	2:12	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Phantasmal Cloak (18689)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
6	Sivirus	air fried	Horde	569.5	38	Jan 27	1:35	Wolfshead Helm (8345)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Swiftwalker Boots (12553)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
7	Bon	N/A	Unknown	564.2	20	Feb 23	3:43	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Swiftwalker Boots (12553)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
8	Fiercy	N/A	Unknown	547.3	32	Mar 11	1:57	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Deepfury Bracers (13120)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Blisterbane Wrap (12552)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
9	Seri	XVII	Alliance	530.3	37	Jan 30	1:58	Wolfshead Helm (8345)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
10	Jokar	TEMPER	Alliance	526.3	22	Feb 3	3:21	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
