Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Edgedout	N/A	Unknown	427.2	34	Mar 5	2:05	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Mixologist's Tunic (12793)	Shadowcraft Belt (16713)	Devilsaur Leggings (15062)	Shadowcraft Boots (16711)	Deepfury Bracers (13120)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
2	Drury	feet	Horde	387.4	32	Feb 9	1:54	Wolfshead Helm (8345)	Mark of Fordring (15411)	Wyrmhide Spaulders (12082)	Cadaverous Armor (14637)	Serpentine Sash (13118)	Devilsaur Leggings (15062)	Swiftfoot Treads (15861)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Dark Phantom Cape (13122)	Manual Crowd Pummeler (9449)	N/A	N/A
3	Pawz	TL	Horde	385.9	23	Jan 13	3:58	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Shadefiend Boots (11675)	Bracers of the Eclipse (18375)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Blackstone Ring (17713)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
4	Cyntharia	Argos	Alliance	375.4	38	Feb 17	1:42	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Mark of the Chosen (17774)	Mark of Tyranny (13966)	Onyxia Scale Cloak (15138)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
5	Ln	Unhinged	Alliance	364.4	33	Mar 16	2:22	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Serpentine Sash (13118)	Shadowcraft Pants (16709)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Knight-Lieutenant's Dragonhide Grips (23280)	Don Julio's Band (19325)	Band of Accuria (17063)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
6	Lilmoozy	Ethereal	Horde	358.5	39	Mar 15	2:17	Mask of the Unforgiven (13404)	Medallion of Steadfast Might (17065)	Truestrike Shoulders (12927)	Warbear Harness (15064)	Cadaverous Belt (14636)	Devilsaur Leggings (15062)	Cadaverous Walkers (14641)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Heavy Dark Iron Ring (18879)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Smoking Heart of the Mountain (11811)	Phantasmal Cloak (18689)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
7	Carwreck	Inner Sanctum	Alliance	352.8	35	Mar 16	1:52	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Dragonhide Shoulders (23309)	Breastplate of Bloodthirst (12757)	Shadowcraft Belt (16713)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Mark of Tyranny (13966)	Stoneskin Gargoyle Cape (13397)	Manual Crowd Pummeler (9449)	N/A	N/A
8	Kamaz	N/A	Unknown	349.0	36	Mar 10	2:25	Wolfshead Helm (8345)	Mark of Fordring (15411)	Lieutenant Commander's Dragonhide Shoulders (23309)	Breastplate of Bloodthirst (12757)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
9	Bearkat	Fatality Official	Horde	344.6	36	Jan 12	2:33	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Breastplate of Bloodthirst (12757)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Shadefiend Boots (11675)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Naglering (11669)	Heavy Dark Iron Ring (18879)	Rune of the Guard Captain (19120)	Mark of Tyranny (13966)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
10	Pizzakitty	Spare Parts	Alliance	337.5	31	Feb 24	1:56	Wolfshead Helm (8345)	Stormpike Soldier's Pendant (19097)	Truestrike Shoulders (12927)	Knight-Captain's Dragonhide Chestpiece (23294)	Stormpike Leather Girdle (19093)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Magni's Will (12548)	Don Julio's Band (19325)	Hand of Justice (11815)	Mark of the Chosen (17774)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	N/A
