Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Eiksch	N/A	Unknown	124.6	38	Feb 9	2:03	Stormrage Cover (16900)	Frostwolf Advisor's Pendant (19096)	Cenarion Spaulders (16836)	Robes of the Exalted (13346)	Cenarion Belt (16828)	Cenarion Leggings (16835)	Cenarion Boots (16829)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Fordring's Seal (16058)	Cyclopean Band (11824)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
2	Alize	HOSTILE	Alliance	114.9	40	Mar 16	1:46	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Cenarion Spaulders (16836)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Bracers of Prosperity (18525)	Gloves of Restoration (18309)	Cauterizing Band (19140)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
3	Elowyns	Blood Inc	Alliance	114.2	36	Feb 12	1:50	Cenarion Helm (16834)	Animated Chain Necklace (18723)	Cenarion Spaulders (16836)	Cenarion Vestments (16833)	Cenarion Belt (16828)	Cenarion Leggings (16835)	Waterspout Boots (18322)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Band of Sulfuras (19138)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18470)	Insignia of the Alliance (18863)	Hide of the Wild (18510)	Hyperthermically Insulated Lava Dredger (18803)	N/A	Egan's Blaster (13289)
4	Thadeius	N/A	Unknown	111.2	39	Dec 30	2:04	Dreamweave Circlet (10041)	Opaline Medallion (16623)	Kentic Amice (11624)	Alanna's Embrace (13314)	Serpentskin Girdle (8255)	Ghoul Skin Leggings (18682)	Omnicast Boots (11822)	High Councillor's Bracers (10136)	Dreamweave Gloves (10019)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Second Wind (11819)	Eye of the Beast (13968)	Faded Hakkari Cloak (20218)	Zum'rah's Vexing Cane (18082)	N/A	N/A
5	Drukkake	The Dirty Dogs	Horde	108.4	38	Feb 28	2:20	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Cenarion Belt (16828)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Bracers of Prosperity (18525)	Cenarion Gloves (16831)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Staff of Dominance (18842)	N/A	N/A
6	Jalapenos	Kult	Alliance	107.8	37	Feb 20	1:41	Stormrage Cover (16900)	Tooth of Gnarr (13141)	Cenarion Spaulders (16836)	Robes of the Exalted (13346)	Cenarion Belt (16828)	Stormrage Legguards (16901)	Knight-Lieutenant's Dragonhide Treads (23281)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Songstone of Ironforge (12543)	Cyclopean Band (11824)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Spritecaster Cape (11623)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
7	Melbee	Dad Guild	Alliance	105.9	21	Feb 9	4:12	Crimson Felt Hat (18727)	Choker of Enlightenment (17109)	Kentic Amice (11624)	Councillor's Tunic (10104)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Hands of Power (13253)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Blood-Etched Blade (11922)	Therazane's Touch (19315)	Egan's Blaster (13289)
8	Onlyforhealz	N/A	Unknown	105.8	34	Feb 27	3:09	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Sash of Mercy (14553)	Stormrage Legguards (16901)	Verdant Footpads (13954)	Bracers of Prosperity (18525)	Gloves of Restoration (18309)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18470)	Cloak of the Cosmos (18389)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
9	Innervate	Inner Sanctum	Alliance	104.9	39	Feb 23	1:45	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Arachnidian Girdle (14289)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Bracers of Prosperity (18525)	Hands of the Exalted Herald (12554)	Rosewine Circle (13178)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18470)	Second Wind (11819)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
10	Mqt	second shift	Horde	104.4	37	Feb 19	2:09	Stormrage Cover (16900)	Frostwolf Advisor's Pendant (19096)	Cenarion Spaulders (16836)	Cenarion Vestments (16833)	Cenarion Belt (16828)	Stormrage Legguards (16901)	Blood Guard's Dragonhide Treads (22852)	Cenarion Bracers (16830)	Blood Guard's Dragonhide Grips (22863)	Archaedic Stone (11118)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18470)	Second Wind (11819)	Hide of the Wild (18510)	Cold Forged Hammer (20648)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
