Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Aeyr	Bulwark	Alliance	779.3	40	Mar 14	1:03	Dragonstalker's Helm (16939)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Giantstalker's Breastplate (16845)	Shadowcraft Belt (16713)	Dragonstalker's Legguards (16938)	Giantstalker's Boots (16849)	Giantstalker's Bracers (16850)	Giantstalker's Gloves (16852)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Royal Seal of Eldre'Thalas (18473)	Cape of the Black Baron (13340)	Barbarous Blade (18520)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
2	Iccless	N/A	Unknown	729.8	40	Feb 26	1:04	Giantstalker's Helmet (16846)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Giantstalker's Breastplate (16845)	Giantstalker's Belt (16851)	Giantstalker's Leggings (16847)	Giantstalker's Boots (16849)	Giantstalker's Bracers (16850)	Giantstalker's Gloves (16852)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Lok'delar, Stave of the Ancient Keepers (18715)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
3	Rgb	Aftershock	Alliance	708.5	21	Feb 16	2:30	Dragonstalker's Helm (16939)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Knight-Captain's Chain Hauberk (23292)	Giantstalker's Belt (16851)	Dragonstalker's Legguards (16938)	Giantstalker's Boots (16849)	Giantstalker's Bracers (16850)	Knight-Lieutenant's Chain Vices (23279)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Royal Seal of Eldre'Thalas (18473)	Cape of the Black Baron (13340)	Barbarous Blade (18520)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
4	Details	Bulwark	Alliance	699.2	40	Mar 14	1:03	Dragonstalker's Helm (16939)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Giantstalker's Breastplate (16845)	Serpentine Sash (13118)	Dragonstalker's Legguards (16938)	Giantstalker's Boots (16849)	Wristguards of True Flight (18812)	Giantstalker's Gloves (16852)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Royal Seal of Eldre'Thalas (18473)	Cape of the Black Baron (13340)	Barbarous Blade (18520)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
5	Joosy	Nevermind	Alliance	694.7	38	Jan 13	1:20	Giantstalker's Helmet (16846)	Mark of Fordring (15411)	Wyrmtongue Shoulders (13358)	Giantstalker's Breastplate (16845)	Giantstalker's Belt (16851)	Giantstalker's Leggings (16847)	Giantstalker's Boots (16849)	Giantstalker's Bracers (16850)	Giantstalker's Gloves (16852)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Lok'delar, Stave of the Ancient Keepers (18715)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
6	Vodax	Guillotine	Horde	688.0	40	Feb 16	1:19	Dragonstalker's Helm (16939)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Legionnaire's Chain Hauberk (22874)	Shadowcraft Belt (16713)	Legionnaire's Chain Legguards (22875)	Blood Guard's Chain Greaves (22843)	Wristguards of True Flight (18812)	Giantstalker's Gloves (16852)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Masterwork Cape (10267)	Barbarous Blade (18520)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
7	Stormzz	N/A	Unknown	677.4	37	Mar 13	1:40	Lieutenant Commander's Chain Helm (23306)	Mark of Fordring (15411)	Lieutenant Commander's Chain Shoulders (23307)	Giantstalker's Breastplate (16845)	Giantstalker's Belt (16851)	Dragonstalker's Legguards (16938)	Giantstalker's Boots (16849)	Wristguards of True Flight (18812)	Giantstalker's Gloves (16852)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Royal Seal of Eldre'Thalas (18473)	Cape of the Black Baron (13340)	Lok'delar, Stave of the Ancient Keepers (18715)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
8	Karoo	HUNKS	Alliance	670.1	38	Feb 27	1:19	Giantstalker's Helmet (16846)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Giantstalker's Breastplate (16845)	Giantstalker's Belt (16851)	Giantstalker's Leggings (16847)	Giantstalker's Boots (16849)	Giantstalker's Bracers (16850)	Giantstalker's Gloves (16852)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Peacemaker (18725)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
9	Karbah	Melee Makeout Party	Alliance	667.2	31	Mar 6	1:59	Dragonstalker's Helm (16939)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Knight-Captain's Chain Hauberk (23292)	Beaststalker's Belt (16680)	Knight-Captain's Chain Legguards (23293)	Windreaver Greaves (13967)	Slashclaw Bracers (13211)	Knight-Lieutenant's Chain Vices (23279)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Royal Seal of Eldre'Thalas (18473)	Cape of the Black Baron (13340)	Barbarous Blade (18520)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
10	Fadaus	Hammerfall	Alliance	667.1	22	Mar 16	2:53	Lieutenant Commander's Chain Helm (23306)	Onyxia Tooth Pendant (18404)	Giantstalker's Epaulets (16848)	Knight-Captain's Chain Hauberk (23292)	Giantstalker's Belt (16851)	Dragonstalker's Legguards (16938)	Giantstalker's Boots (16849)	Giantstalker's Bracers (16850)	Knight-Lieutenant's Chain Vices (23279)	Don Julio's Band (19325)	Band of Accuria (17063)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Core Hound Tooth (18805)	Bone Slicing Hatchet (18737)	Rhok'delar, Longbow of the Ancient Keepers (18713)
