Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Cadillac	N/A	Unknown	555.3	19	Feb 28	4:48	Arcanist Crown (16795)	Star of Mystaria (12103)	Boreal Mantle (11782)	Arcanist Robes (16798)	Mana Igniting Cord (19136)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Shivery Handwraps (18693)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Spritecaster Cape (11623)	Witchblade (13964)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
2	Eplepai	Sanguine	Horde	513.1	38	Feb 5	1:59	Netherwind Crown (16914)	Star of Mystaria (12103)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Legionnaire's Silk Legguards (22883)	Blood Guard's Silk Walkers (22860)	Eternal Bindings (14330)	Hands of Power (13253)	Band of the Unicorn (7553)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Witchblade (13964)	Therazane's Touch (19315)	Wand of Biting Cold (19108)
3	Miniwenti	Geisterjäger	Alliance	504.6	39	Feb 12	2:25	Eye of Flame (3075)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Arcanist Leggings (16796)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Gloves of the Hypnotic Flame (18808)	Songstone of Ironforge (12543)	Flaming Band (12926)	Eye of the Beast (13968)	Briarwood Reed (12930)	Mageflame Cloak (13007)	Rod of the Ogre Magi (18534)	N/A	Bonecreeper Stylus (13938)
4	Pewtime	Mutiny	Horde	453.2	33	Mar 16	2:21	Arcanist Crown (16795)	Star of Mystaria (12103)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Flameweave Cuffs (11766)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Freezing Band (942)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
5	Jizard	Noctis Howl	Horde	450.7	20	Mar 5	4:42	Champion's Silk Cowl (23263)	Star of Mystaria (12103)	Champion's Silk Mantle (23264)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legionnaire's Silk Legguards (22883)	Blood Guard's Silk Walkers (22860)	Sublime Wristguards (18497)	Blood Guard's Silk Handwraps (22870)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Staff of Dominance (18842)	N/A	Wand of Biting Cold (19108)
6	Phillou	N/A	Unknown	438.6	40	Feb 6	1:53	Lieutenant Commander's Silk Cowl (23318)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Sublime Wristguards (18497)	Knight-Lieutenant's Silk Handwraps (23290)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	Bonecreeper Stylus (13938)
7	Samuel	World Famous	Alliance	437.5	38	Mar 12	2:16	Arcanist Crown (16795)	Star of Mystaria (12103)	Arcanist Mantle (16797)	Freezing Lich Robes (14340)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Knight-Lieutenant's Silk Walkers (23291)	Funeral Cuffs (12626)	Arcanist Gloves (16801)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Rod of the Ogre Magi (18534)	N/A	Wand of Biting Cold (19108)
8	Introspec	N/A	Unknown	424.0	38	Mar 16	2:35	Eye of Flame (3075)	Tempest Talisman (18317)	Shroud of the Nathrezim (18720)	Robe of Winter Night (14136)	Ban'thok Sash (11662)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Elegant Bracers (10213)	Knight-Lieutenant's Silk Handwraps (23290)	Flaming Band (12926)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Stormpike Sage's Cloak (19086)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
9	Chrizufru	hmm	Alliance	422.4	18	Feb 9	3:27	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Knight-Captain's Silk Tunic (23305)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	Celestial Bindings (14311)	Knight-Lieutenant's Silk Handwraps (23290)	Cyclopean Band (11824)	Ring of Spell Power (19147)	Eye of the Beast (13968)	Briarwood Reed (12930)	Stormpike Sage's Cloak (19086)	Azuresong Mageblade (17103)	Therazane's Touch (19315)	Wand of Biting Cold (19108)
10	Silkybutt	Numenorian	Alliance	421.0	40	Feb 19	1:48	Arcanist Crown (16795)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
