Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Cyzxd	WOODDEPARTMENT	Alliance	911.9	34	Mar 14	1:41	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Boreal Mantle (11782)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	High Councillor's Bracers (10136)	Knight-Lieutenant's Silk Handwraps (23290)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Therazane's Touch (19315)	Wand of Biting Cold (19108)
2	Kilano	HS Crew	Horde	766.0	35	Feb 20	1:33	Champion's Silk Cowl (23263)	Star of Mystaria (12103)	Boreal Mantle (11782)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Legionnaire's Silk Legguards (22883)	Blood Guard's Silk Walkers (22860)	Tearfall Bracers (13409)	Hands of Power (13253)	Ring of Spell Power (19147)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Sorcerous Dagger (18878)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
3	Upaghatana	Jinxed it	Horde	764.9	36	Mar 16	2:18	Champion's Silk Cowl (23263)	Star of Mystaria (12103)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Legionnaire's Silk Legguards (22883)	Blood Guard's Silk Walkers (22860)	Flameweave Cuffs (11766)	Hands of Power (13253)	Eye of Orgrimmar (12545)	Freezing Band (942)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Witchblade (13964)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
4	Alba	N/A	Unknown	721.5	34	Mar 6	1:56	Netherwind Crown (16914)	Star of Mystaria (12103)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Gaea's Cuffs (14268)	Blood Guard's Silk Handwraps (22870)	Eye of Orgrimmar (12545)	Ring of Spell Power (19147)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Hypnotic Blade (7714)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
5	Azum	N/A	Unknown	705.7	31	Feb 21	2:52	Lieutenant Commander's Silk Cowl (23318)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Knight-Captain's Silk Tunic (23305)	Ban'thok Sash (11662)	Knight-Captain's Silk Legguards (23304)	Knight-Lieutenant's Silk Walkers (23291)	Bonecaster's Bindings (14301)	Knight-Lieutenant's Silk Handwraps (23290)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	Wand of Biting Cold (19108)
6	Dos	Numen	Horde	700.4	35	Feb 15	1:38	Netherwind Crown (16914)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Blood Guard's Silk Walkers (22860)	Arcanist Bindings (16799)	Blood Guard's Silk Handwraps (22870)	Eye of Orgrimmar (12545)	Band of Rumination (18103)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
7	Phoakes	Simplexity Fresh	Horde	700.2	38	Jan 28	2:06	Arcanist Crown (16795)	Star of Mystaria (12103)	Boreal Mantle (11782)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Arcanist Bindings (16799)	Hands of Power (13253)	Band of Sulfuras (19138)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Eye of the Beast (13968)	Archivist Cape (13386)	Witchblade (13964)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
8	Otherside	One	Alliance	699.6	38	Feb 19	1:57	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Arcanist Mantle (16797)	Freezing Lich Robes (14340)	Clutch of Andros (13956)	Spiritshroud Leggings (12965)	Arcanist Boots (16800)	Arcanist Bindings (16799)	Shivery Handwraps (18693)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Witchblade (13964)	Fire Runed Grimoire (19142)	Bonecreeper Stylus (13938)
9	Fattony	Kingsfall	Alliance	692.5	34	Feb 5	1:42	Lieutenant Commander's Silk Cowl (23318)	Star of Mystaria (12103)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Arcanist Boots (16800)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Freezing Band (942)	Freezing Band (942)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	Wand of Biting Cold (19108)
10	Frita	One	Alliance	658.4	38	Feb 19	1:57	Arcanist Crown (16795)	Choker of Enlightenment (17109)	Boreal Mantle (11782)	Knight-Captain's Silk Tunic (23305)	Ban'thok Sash (11662)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	Arcanist Bindings (16799)	Arcanist Gloves (16801)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Hypnotic Blade (7714)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
