Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Shylá	Kotipizza	Alliance	233.3	22	Feb 13	3:37	Lieutenant Commander's Lamellar Headguard (23276)	Eskhandar's Collar (18205)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Lawbringer Belt (16858)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Lawbringer Gauntlets (16860)	Naglering (11669)	Songstone of Ironforge (12543)	Force of Will (11810)	Briarwood Reed (12930)	Dragon's Blood Cape (17107)	Nightfall (19169)	N/A	Egan's Blaster (13289)
2	Pov	N/A	Unknown	210.6	20	Mar 5	3:51	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Lawbringer Belt (16858)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Dracorian Gauntlets (13344)	Songstone of Ironforge (12543)	Don Julio's Band (19325)	Essence of the Pure Flame (18815)	Goblin Bomb Dispenser (10587)	Spritecaster Cape (11623)	Flurry Axe (871)	Skullflame Shield (1168)	N/A
3	Girthhammer	Ironforged	Alliance	206.8	38	Jan 22	2:36	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Stockade Pauldrons (14552)	Plate of the Shaman King (13168)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Deathbone Sabatons (14621)	Lightforge Bracers (16722)	Deathbone Gauntlets (14622)	Naglering (11669)	Band of Sulfuras (19138)	Mark of Tyranny (13966)	Stormpike Insignia Rank 6 (17904)	Bloodmoon Cloak (12967)	Masterwork Stormhammer (12794)	Drillborer Disk (17066)	N/A
4	Skylite	Bedlam	Alliance	179.5	30	Mar 10	3:59	Judgment Crown (16955)	Evil Eye Pendant (18381)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Lawbringer Belt (16858)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Onyxia Blood Talisman (18406)	Stormpike Insignia Rank 6 (17904)	Shifting Cloak (18511)	Flurry Axe (871)	Drillborer Disk (17066)	Egan's Blaster (13289)
5	Bruegal	Kingsfall	Alliance	169.2	38	Feb 16	1:35	Lieutenant Commander's Lamellar Headguard (23276)	Medallion of Grand Marshal Morris (13091)	Stockade Pauldrons (14552)	Deathbone Chestplate (14624)	Deathbone Girdle (14620)	Deathbone Legguards (14623)	Deathbone Sabatons (14621)	Vigorsteel Vambraces (13951)	Deathbone Gauntlets (14622)	Heavy Dark Iron Ring (18879)	Myrmidon's Signet (2246)	Mark of the Chosen (17774)	Force of Will (11810)	Redoubt Cloak (18495)	Quel'Serrar (18348)	Skullflame Shield (1168)	Egan's Blaster (13289)
6	Trashbirb	dear all	Alliance	153.3	20	Mar 13	4:16	Lawbringer Helm (16854)	Medallion of Steadfast Might (17065)	Fireguard Shoulders (19139)	Knight-Captain's Lamellar Breastplate (23272)	Fiery Chain Girdle (16989)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Emberplate Armguards (11767)	Deathbone Gauntlets (14622)	Peridot Circle (11979)	Tidal Loop (18398)	Insignia of the Alliance (18864)	Onyxia Blood Talisman (18406)	Onyxia Scale Cloak (15138)	Flurry Axe (871)	Skullflame Shield (1168)	Egan's Blaster (13289)
7	Progdorf	Bedlam	Alliance	144.9	31	Mar 6	4:44	Helm of Awareness (18313)	Medallion of Grand Marshal Morris (13091)	Stockade Pauldrons (14552)	Knight-Captain's Lamellar Breastplate (23272)	Deathbone Girdle (14620)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Dark Iron Bracers (17014)	Deathbone Gauntlets (14622)	Naglering (11669)	Don Julio's Band (19325)	Stormpike Insignia Rank 6 (17904)	Onyxia Blood Talisman (18406)	Redoubt Cloak (18495)	Flurry Axe (871)	Drillborer Disk (17066)	N/A
8	Leøtheras	N/A	Unknown	140.3	38	Feb 28	2:36	Lieutenant Commander's Lamellar Headguard (23276)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Lightforge Belt (16723)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Bracers of Valor (16735)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Naglering (11669)	Don Julio's Band (19325)	Essence of the Pure Flame (18815)	Mark of the Chosen (17774)	Redoubt Cloak (18495)	Skullforge Reaver (13361)	Barrier Shield (18499)	N/A
9	Laradrel	N/A	Unknown	135.4	36	Mar 8	3:51	Lieutenant Commander's Lamellar Headguard (23276)	Medallion of Steadfast Might (17065)	Lieutenant Commander's Lamellar Shoulders (23277)	Knight-Captain's Lamellar Breastplate (23272)	Thuzadin Sash (18740)	Knight-Captain's Lamellar Leggings (23273)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Knight-Lieutenant's Lamellar Gauntlets (23274)	Band of the Unicorn (7553)	Naglering (11669)	Essence of the Pure Flame (18815)	Onyxia Blood Talisman (18406)	Redoubt Cloak (18495)	Aurastone Hammer (17105)	The Immovable Object (19321)	N/A
10	Gracuss	Nachtwache	Alliance	131.4	27	Mar 17	5:05	Judgment Crown (16955)	Drakefire Amulet (16309)	Bile-Etched Spaulders (18384)	Spiderfang Carapace (11633)	Lawbringer Belt (16858)	Lawbringer Legplates (16855)	Knight-Lieutenant's Lamellar Sabatons (23275)	Lawbringer Bracers (16857)	Lawbringer Gauntlets (16860)	Ring of Saviors (1447)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18472)	Stormpike Insignia Rank 6 (17904)	Stormpike Sage's Cloak (19086)	Quel'Serrar (18348)	Skullflame Shield (1168)	N/A
