Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Wildlife	HS Crew	Horde	247.8	40	Mar 6	1:25	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Champion's Satin Mantle (23262)	Truefaith Vestments (14154)	Girdle of Prophecy (16817)	Pants of Prophecy (16814)	Boots of Prophecy (16811)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Band of Sulfuras (19138)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Glowstar Rod (15281)
2	Blitzed	Delirium	Alliance	215.6	38	Feb 19	1:45	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Mantle of Prophecy (16816)	Truefaith Vestments (14154)	Whipvine Cord (18327)	Senior Designer's Pantaloons (11841)	Omnicast Boots (11822)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Fordring's Seal (16058)	Songstone of Ironforge (12543)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Wizard's Hand (15280)
3	Nimnva	Safety First	Horde	187.5	30	Feb 21	2:44	Champion's Satin Hood (23261)	Animated Chain Necklace (18723)	Champion's Satin Mantle (23262)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Omnicast Boots (11822)	High Councillor's Bracers (10136)	Atal'ai Gloves (10787)	Emerald Flame Ring (18395)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Cloak of the Cosmos (18389)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
4	Jusni	N/A	Unknown	169.7	40	Jan 26	1:35	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Mantle of Prophecy (16816)	Truefaith Vestments (14154)	Girdle of Prophecy (16817)	Leggings of Transcendence (16922)	Blood Guard's Satin Walkers (22859)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
5	Trum	N/A	Unknown	160.3	29	Feb 13	2:04	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Champion's Satin Mantle (23262)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Vambraces of Prophecy (16819)	Gloves of Prophecy (16812)	Rosewine Circle (13178)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Hide of the Wild (18510)	Benediction (18608)	N/A	Bonecreeper Stylus (13938)
6	Gingerrat	N/A	Unknown	156.7	25	Mar 18	3:37	Crystal Adorned Crown (19132)	Animated Chain Necklace (18723)	Mantle of Prophecy (16816)	Robes of the Exalted (13346)	Girdle of Prophecy (16817)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Vambraces of Prophecy (16819)	High Councillor's Gloves (10140)	Songstone of Ironforge (12543)	Fordring's Seal (16058)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Dragon Finger (15282)
7	Stasya	FR	Alliance	149.9	22	Jan 22	4:38	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Burial Shawl (18681)	Truefaith Vestments (14154)	Whipvine Cord (18327)	Padre's Trousers (18386)	Boots of Prophecy (16811)	Tearfall Bracers (13409)	Hands of the Exalted Herald (12554)	Ring of Demonic Guile (18314)	Rosewine Circle (13178)	Mindtap Talisman (18371)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Wizard's Hand (15280)
8	Anuskhan	N/A	Unknown	148.9	36	Jan 6	2:23	Halo of Transcendence (16921)	Tooth of Gnarr (13141)	Burial Shawl (18681)	Robes of Prophecy (16815)	Thuzadin Sash (18740)	Wolfshear Leggings (13206)	Boots of Prophecy (16811)	Devout Bracers (16697)	Silkweb Gloves (11634)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Spritecaster Cape (11623)	Benediction (18608)	N/A	Glowstar Rod (15281)
9	Larrina	N/A	Unknown	143.6	38	Mar 5	2:37	Halo of Transcendence (16921)	Tooth of Gnarr (13141)	Burial Shawl (18681)	Robes of Prophecy (16815)	Frostwolf Cloth Belt (19090)	Kilt of the Atal'ai Prophet (10807)	Devout Sandals (16691)	Vambraces of Prophecy (16819)	Devout Gloves (16692)	Rosewine Circle (13178)	Seal of the Archmagus (17110)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18469)	Frostweaver Cape (12968)	Benediction (18608)	N/A	Crimson Shocker (17077)
10	Familystyle	N/A	Unknown	142.8	28	Jan 30	4:37	Circlet of Prophecy (16813)	Tooth of Gnarr (13141)	Kentic Amice (11624)	Truefaith Vestments (14154)	Whipvine Cord (18327)	Senior Designer's Pantaloons (11841)	Boots of the Full Moon (18507)	Devout Bracers (16697)	Hands of the Exalted Herald (12554)	Fordring's Seal (16058)	Emerald Flame Ring (18395)	Royal Seal of Eldre'Thalas (18469)	Briarwood Reed (12930)	Archivist Cape (13386)	Benediction (18608)	N/A	Stormrager (16997)
