Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Demented	N/A	Unknown	503.5	39	Feb 12	1:43	Lieutenant Commander's Satin Hood (23316)	Star of Mystaria (12103)	Lieutenant Commander's Satin Mantle (23317)	Robe of Winter Night (14136)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	Master's Bracers (10248)	Felcloth Gloves (18407)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Anathema (18609)	N/A	Bonecreeper Stylus (13938)
2	Lustfulness	THREATCAPPED	Horde	499.5	40	Mar 6	1:25	Champion's Satin Hood (23261)	Choker of Enlightenment (17109)	Burial Shawl (18681)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Felcloth Pants (14107)	Omnicast Boots (11822)	High Councillor's Bracers (10136)	Blood Guard's Satin Handwraps (22869)	Eye of Orgrimmar (12545)	Underworld Band (1980)	Eye of the Beast (13968)	Briarwood Reed (12930)	Deep Woodlands Cloak (19121)	Anathema (18609)	N/A	Wizard's Hand (15280)
3	Shaqilloheal	man with lump	Alliance	498.1	35	Feb 19	1:43	Green Lens (10504)	Choker of the Fire Lord (18814)	Master's Mantle (10253)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Knight-Lieutenant's Satin Walkers (23289)	Elegant Bracers (10213)	Knight-Lieutenant's Satin Handwraps (23288)	Underworld Band (1980)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Amplifying Cloak (18350)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
4	Neenoo	The Syndicate	Horde	494.1	40	Mar 3	1:30	High Councillor's Circlet (10139)	Dark Advisor's Pendant (18691)	Master's Mantle (10253)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Master's Boots (10247)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Ring of Spell Power (19147)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Burst of Knowledge (11832)	High Councillor's Cloak (10138)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
5	Kalapää	N/A	Unknown	491.7	29	Feb 28	2:01	Felcloth Hood (14111)	Anastari Heirloom (18728)	Felcloth Shoulders (14112)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	Elegant Bracers (10213)	Felcloth Gloves (18407)	Underworld Band (1980)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
6	Bileplume	N/A	Unknown	488.9	31	Mar 10	1:49	Elegant Circlet (10219)	Dark Advisor's Pendant (18691)	Elegant Mantle (10210)	Robe of Winter Night (14136)	Frostwolf Cloth Belt (19090)	Spiritshroud Leggings (12965)	Blood Guard's Satin Walkers (22859)	Resplendent Bracelets (14320)	Blood Guard's Satin Handwraps (22869)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	Elegant Cloak (10212)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
7	Soop	Old Boys Pugs	Alliance	484.1	39	Jan 27	1:32	Crimson Felt Hat (18727)	Anastari Heirloom (18728)	Felcloth Shoulders (14112)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Skyshroud Leggings (13170)	Maleki's Footwraps (18735)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Band of the Unicorn (7553)	Burst of Knowledge (11832)	Briarwood Reed (12930)	High Councillor's Cloak (10138)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
8	Soully	Adequate	Horde	480.1	40	Mar 12	1:22	Crimson Felt Hat (18727)	Anastari Heirloom (18728)	Councillor's Shoulders (10100)	Robe of Winter Night (14136)	Sash of Whispered Secrets (18809)	Legionnaire's Satin Legguards (22882)	Maleki's Footwraps (18735)	Mystical Bracers (10173)	Blood Guard's Satin Handwraps (22869)	Eye of Orgrimmar (12545)	Ring of Spell Power (19147)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Frostwolf Advisor's Cloak (19085)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
9	Crabby	N/A	Unknown	474.8	40	Mar 6	1:43	Champion's Satin Hood (23261)	Star of Mystaria (12103)	Felcloth Shoulders (14112)	Robe of Winter Night (14136)	Ban'thok Sash (11662)	Legionnaire's Satin Legguards (22882)	Omnicast Boots (11822)	High Councillor's Bracers (10136)	Blood Guard's Satin Handwraps (22869)	Eye of Orgrimmar (12545)	Underworld Band (1980)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Anathema (18609)	N/A	Ivory Wand (15279)
10	Spoonthief	Blood Inc	Alliance	473.4	39	Feb 2	2:00	Felcloth Hood (14111)	Dark Advisor's Pendant (18691)	Kentic Amice (11624)	Robe of Winter Night (14136)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Knight-Lieutenant's Satin Walkers (23289)	Sublime Wristguards (18497)	Knight-Lieutenant's Satin Handwraps (23288)	Songstone of Ironforge (12543)	Ring of Demonic Guile (18314)	Briarwood Reed (12930)	Mindtap Talisman (18371)	Spritecaster Cape (11623)	Anathema (18609)	N/A	Skul's Ghastly Touch (13396)
