Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Randomod	M U R D E R	Horde	788.5	34	Feb 18	1:38	Champion's Leather Helm (23257)	Onyxia Tooth Pendant (18404)	Shadowcraft Spaulders (16708)	Legionnaire's Leather Chestpiece (22879)	Shadowcraft Belt (16713)	Shadowcraft Pants (16709)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Shadowcraft Gloves (16712)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Vis'kag the Bloodletter (17075)	Mirah's Song (15806)	Blackcrow (12651)
2	Stavrogin	N/A	Unknown	747.9	33	Mar 16	1:53	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Leather Shoulders (23313)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Nightslayer Pants (16822)	Knight-Lieutenant's Leather Walkers (23285)	Nightslayer Bracelets (16825)	Nightslayer Gloves (16826)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dark Phantom Cape (13122)	Dal'Rend's Sacred Charge (12940)	Dal'Rend's Tribal Guardian (12939)	Satyr's Bow (18323)
3	Whattehpho	we like turtles	Alliance	715.2	38	Feb 8	1:25	Nightslayer Cover (16821)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Leather Shoulders (23313)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Knight-Captain's Leather Legguards (23299)	Nightslayer Boots (16824)	Bracers of the Eclipse (18375)	Nightslayer Gloves (16826)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Brutality Blade (18832)	Mirah's Song (15806)	Satyr's Bow (18323)
4	Sookie	N/A	Unknown	707.3	35	Feb 8	1:50	Shadowcraft Cap (16707)	Mark of Fordring (15411)	Shadowcraft Spaulders (16708)	Shadowcraft Tunic (16721)	Shadowcraft Belt (16713)	Bloodfang Pants (16909)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	The Lobotomizer (19324)	Bloodseeker (19107)
5	Itsnotbae	smol	Alliance	705.9	33	Jan 29	1:57	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Knight-Captain's Leather Chestpiece (23298)	Nightslayer Belt (16827)	Nightslayer Pants (16822)	Knight-Lieutenant's Leather Walkers (23285)	Nightslayer Bracelets (16825)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Royal Seal of Eldre'Thalas (18465)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Blackcrow (12651)
6	Brainletx	Malediction	Alliance	704.3	38	Feb 12	1:29	Shadowcraft Cap (16707)	Mark of Fordring (15411)	Lieutenant Commander's Leather Shoulders (23313)	Knight-Captain's Leather Chestpiece (23298)	Shadowcraft Belt (16713)	Shadowcraft Pants (16709)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Shadowcraft Gloves (16712)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	Distracting Dagger (18392)	Blackcrow (12651)
7	Wardonkey	N/A	Unknown	704.1	34	Mar 2	1:33	Bloodfang Hood (16908)	Onyxia Tooth Pendant (18404)	Shadowcraft Spaulders (16708)	Shadowcraft Tunic (16721)	Shadowcraft Belt (16713)	Shadowcraft Pants (16709)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Aged Core Leather Gloves (18823)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Felstriker (12590)	Felstriker (12590)	Satyr's Bow (18323)
8	Saucerman	Full Circle	Alliance	703.0	38	Mar 5	1:36	Lieutenant Commander's Leather Helm (23312)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Leather Shoulders (23313)	Nightslayer Chestpiece (16820)	Nightslayer Belt (16827)	Bloodfang Pants (16909)	Nightslayer Boots (16824)	Nightslayer Bracelets (16825)	Nightslayer Gloves (16826)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Brutality Blade (18832)	Mirah's Song (15806)	Satyr's Bow (18323)
9	Rasen	Geisterjäger	Alliance	702.8	20	Mar 13	3:22	Shadowcraft Cap (16707)	Onyxia Tooth Pendant (18404)	Shadowcraft Spaulders (16708)	Cadaverous Armor (14637)	Shadowcraft Belt (16713)	Shadowcraft Pants (16709)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Aged Core Leather Gloves (18823)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Perdition's Blade (18816)	Core Hound Tooth (18805)	Satyr's Bow (18323)
10	Devils	N/A	Unknown	700.6	40	Feb 13	1:44	Shadowcraft Cap (16707)	Onyxia Tooth Pendant (18404)	Shadowcraft Spaulders (16708)	Shadowcraft Tunic (16721)	Shadowcraft Belt (16713)	Devilsaur Leggings (15062)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	The Lobotomizer (19324)	Distracting Dagger (18392)	Satyr's Bow (18323)
11	Buzzy	N/A	Unknown	691.0	39	Jan 30	1:40	Shadowcraft Cap (16707)	Onyxia Tooth Pendant (18404)	Shadowcraft Spaulders (16708)	Shadowcraft Tunic (16721)	Shadowcraft Belt (16713)	Bloodfang Pants (16909)	Shadowcraft Boots (16711)	Shadowcraft Bracers (16710)	Aged Core Leather Gloves (18823)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Royal Seal of Eldre'Thalas (18465)	Cape of the Black Baron (13340)	Gutgore Ripper (17071)	Core Hound Tooth (18805)	Satyr's Bow (18323)
