Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Guyondacouch	N/A	Unknown	473.7	27	Feb 19	3:05	Crimson Felt Hat (18727)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Mighty Armsplints (10147)	Hands of Power (13253)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	N/A
2	Rand	The Syndicate	Horde	433.8	40	Mar 3	1:30	Green Lens (10504)	Choker of Enlightenment (17109)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Adventurer's Bracers (10256)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Eye of the Beast (13968)	Briarwood Reed (12930)	Adventurer's Cape (10258)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
3	Tardius	Adequate	Horde	425.5	40	Jan 22	1:41	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Mercurial Bracers (10156)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Sapphiron Drape (17078)	Witchblade (13964)	Spirit of Aquementas (11904)	Egan's Blaster (13289)
4	Arkadnik	Unexpected Journey	Horde	420.9	37	Mar 5	1:58	Helmet of Ten Storms (16947)	Star of Mystaria (12103)	Champion's Mail Pauldrons (23260)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Legionnaire's Mail Legguards (22887)	Omnicast Boots (11822)	Earthfury Bracers (16840)	Blood Guard's Mail Vices (22867)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Sorcerous Dagger (18878)	Therazane's Touch (19315)	Egan's Blaster (13289)
5	Bbk	Guillotine	Horde	397.3	40	Mar 2	1:28	Crimson Felt Hat (18727)	Tempest Talisman (18317)	Champion's Mail Pauldrons (23260)	Swashbuckler's Breastplate (10182)	Mana Igniting Cord (19136)	Legionnaire's Mail Legguards (22887)	Waterspout Boots (18322)	Mercurial Bracers (10156)	Earthfury Gauntlets (16839)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Frostwolf Advisor's Cloak (19085)	Aurastone Hammer (17105)	Therazane's Touch (19315)	Egan's Blaster (13289)
6	Cromenockle	Sparks	Horde	396.0	39	Mar 12	1:45	Helm of Latent Power (18807)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Wildthorn Mail (12624)	Frostwolf Cloth Belt (19090)	Legionnaire's Mail Legguards (22887)	Waterspout Boots (18322)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Eye of the Beast (13968)	Royal Seal of Eldre'Thalas (18471)	Sapphiron Drape (17078)	Aurastone Hammer (17105)	Therazane's Touch (19315)	Egan's Blaster (13289)
7	Localweedman	The Underachievers	Horde	393.0	38	Mar 10	1:58	Nightshade Helmet (10226)	Choker of Enlightenment (17109)	Engraved Pauldrons (10237)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Mercurial Bracers (10156)	Earthfury Gauntlets (16839)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Staff of Dominance (18842)	N/A	N/A
8	Ele	N/A	Unknown	392.8	34	Feb 2	2:28	Mercurial Circlet (10160)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Mercurial Breastplate (10157)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Mercurial Greaves (10155)	Mercurial Bracers (10156)	Blood Guard's Mail Vices (22867)	Eye of Orgrimmar (12545)	Maiden's Circle (13001)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Mercurial Cloak (10159)	Mastersmith's Hammer (18048)	Ancient Cornerstone Grimoire (17067)	N/A
9	Immersive	Sparks	Horde	391.8	39	Mar 12	1:45	Helmet of Ten Storms (16947)	Choker of the Fire Lord (18814)	Burial Shawl (18681)	Robe of Everlasting Night (18385)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Hands of Power (13253)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Deep Woodlands Cloak (19121)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
10	Jujupinkett	Sanctuary	Horde	390.5	35	Feb 8	1:47	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Lead Surveyor's Mantle (11842)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Legionnaire's Mail Legguards (22887)	Omnicast Boots (11822)	Nightshade Armguards (10223)	Elven Spirit Claws (2564)	Band of the Unicorn (7553)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Deep Woodlands Cloak (19121)	Witchblade (13964)	Therazane's Touch (19315)	N/A
