Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Ttp	Mala	Horde	502.5	38	Mar 4	1:37	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Deathdealer Breastplate (11926)	Vosh'gajin's Strand (13962)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of Stability (19146)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	N/A
2	Ffm	B r a Z Z o r s	Horde	489.0	34	Mar 9	1:48	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Black Dragonscale Breastplate (15050)	Cloudrunner Girdle (13252)	Black Dragonscale Leggings (15052)	Bloodmail Boots (14616)	Wristguards of True Flight (18812)	Bloodmail Gauntlets (14615)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Sulfuras, Hand of Ragnaros (17182)	N/A	N/A
3	Imbuetiful	RTR	Horde	469.4	39	Feb 13	2:00	Helmet of Ten Storms (16947)	Barbed Thorn Necklace (18289)	Champion's Mail Pauldrons (23260)	Earthfury Vestments (16841)	Ban'thok Sash (11662)	Legionnaire's Mail Legguards (22887)	Dragonrider Boots (18102)	Earthfury Bracers (16840)	Blood Guard's Mail Vices (22867)	Seal of Rivendare (13345)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Hand of Edward the Odd (2243)	Therazane's Touch (19315)	N/A
4	Denaia	HS Crew	Horde	443.9	35	Feb 20	1:33	Crown of Destruction (18817)	Mark of Fordring (15411)	Flamescarred Shoulders (18374)	Savage Gladiator Chain (11726)	Warpwood Binding (18393)	Devilsaur Leggings (15062)	Savage Gladiator Greaves (11731)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Gnomish Battle Chicken (10725)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Spinal Reaper (17104)	N/A	N/A
5	Rosegoku	N/A	Unknown	438.1	37	Feb 7	2:05	Crown of Destruction (18817)	Imperial Jewel (11933)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Bloodmail Belt (14614)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Slashclaw Bracers (13211)	Voone's Vice Grips (13963)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Carrot on a Stick (11122)	Phantasmal Cloak (18689)	Nightfall (19169)	N/A	Egan's Blaster (13289)
6	Bamlol	air fried	Horde	433.1	22	Mar 10	3:04	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Black Dragonscale Breastplate (15050)	Girdle of Beastial Fury (11686)	Devilsaur Leggings (15062)	Black Dragonscale Boots (16984)	Slashclaw Bracers (13211)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Myrmidon's Signet (2246)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Stoneskin Gargoyle Cape (13397)	Sulfuron Hammer (17193)	N/A	Egan's Blaster (13289)
7	Tescø	N/A	Unknown	430.5	28	Feb 13	2:40	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Devilsaur Leggings (15062)	Savage Gladiator Greaves (11731)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Treant's Bane (18538)	N/A	N/A
8	Conkcreet	N/A	Unknown	430.5	27	Mar 9	2:51	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Girdle of Beastial Fury (11686)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Bracers of the Eclipse (18375)	Devilsaur Gauntlets (15063)	Painweaver Band (13098)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
9	Yougan	Adequate	Horde	429.7	40	Feb 19	1:36	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Black Dragonscale Shoulders (15051)	Savage Gladiator Chain (11726)	Cloudrunner Girdle (13252)	Black Dragonscale Leggings (15052)	Black Dragonscale Boots (16984)	Wristguards of True Flight (18812)	Voone's Vice Grips (13963)	Blackstone Ring (17713)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Nightfall (19169)	N/A	N/A
10	Skzdy	Pulse Dienstag	Horde	429.0	34	Mar 4	1:55	Dreamweave Circlet (10041)	Barbed Thorn Necklace (18289)	Champion's Mail Pauldrons (23260)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Earthfury Bracers (16840)	Blood Guard's Mail Vices (22867)	Eye of Orgrimmar (12545)	Band of the Unicorn (7553)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Demon Blade (15246)	Therazane's Touch (19315)	Egan's Blaster (13289)
