Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Localweedman	N/A	Unknown	112.4	20	Feb 11	5:21	Nightshade Helmet (10226)	Choker of Enlightenment (17109)	Engraved Pauldrons (10237)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Legplates of Ten Storms (16946)	Waterspout Boots (18322)	Mercurial Bracers (10156)	Earthfury Gauntlets (16839)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Staff of Dominance (18842)	N/A	N/A
2	Jabboroko	N/A	Unknown	96.7	40	Jan 20	2:25	Tribal War Feathers (12960)	Tooth of Gnarr (13141)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	High Councillor's Gloves (10140)	Fordring's Seal (16058)	Band of Sulfuras (19138)	Briarwood Reed (12930)	Eye of the Beast (13968)	Gracious Cape (18743)	Witchblade (13964)	Malistar's Defender (17106)	Egan's Blaster (13289)
3	Drmz	WCB Horde Only	Horde	92.1	37	Jan 23	1:36	Earthfury Helmet (16842)	Jeweled Amulet of Cainwyn (1443)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Earthfury Belt (16838)	Earthfury Legguards (16843)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Earthfury Gauntlets (16839)	Maiden's Circle (13001)	Band of the Hierophant (13096)	Second Wind (11819)	Briarwood Reed (12930)	Frostwolf Advisor's Cloak (19085)	Mastersmith's Hammer (18048)	Crest of Supremacy (10835)	N/A
4	Magamike	Kartelli	Horde	82.6	40	Jan 12	1:40	Helmet of Ten Storms (16947)	Tempest Talisman (18317)	Earthfury Epaulets (16844)	Flamestrider Robes (11747)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Bleak Howler Armguards (13208)	Earthfury Gauntlets (16839)	Cyclopean Band (11824)	Rosewine Circle (13178)	Second Wind (11819)	Briarwood Reed (12930)	Archivist Cape (13386)	The Hammer of Grace (11923)	Malistar's Defender (17106)	N/A
5	Luimë	N/A	Unknown	82.6	33	Feb 19	2:15	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Frostwolf Cloth Belt (19090)	Legplates of Ten Storms (16946)	Verdant Footpads (13954)	Bracers of Prosperity (18525)	Earthfury Gauntlets (16839)	Cyclopean Band (11824)	Fordring's Seal (16058)	Eye of the Beast (13968)	Second Wind (11819)	Archivist Cape (13386)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
6	Hogmanflex	Vintage	Horde	81.4	39	Feb 11	2:23	Clever Hat (18308)	Frostwolf Advisor's Pendant (19096)	Champion's Mail Pauldrons (23260)	Flamestrider Robes (11747)	Feralsurge Girdle (18104)	Legionnaire's Mail Legguards (22887)	Omnicast Boots (11822)	Brazecore Armguards (13179)	Blood Guard's Mail Vices (22867)	Cyclopean Band (11824)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18471)	Spritecaster Cape (11623)	The Hammer of Grace (11923)	Therazane's Touch (19315)	N/A
7	Taskz	Ethereal	Horde	80.1	40	Feb 28	2:11	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Legionnaire's Mail Legguards (22887)	Omnicast Boots (11822)	Earthfury Bracers (16840)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Emerald Flame Ring (18395)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Rod of the Ogre Magi (18534)	N/A	N/A
8	Hakaristi	Kartelli	Horde	79.0	40	Feb 9	1:30	Earthfury Helmet (16842)	Frostwolf Advisor's Pendant (19096)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Rosewine Circle (13178)	Fordring's Seal (16058)	Briarwood Reed (12930)	Mindtap Talisman (18371)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
9	Clintonio	Gaming Dads	Horde	77.9	38	Feb 27	1:49	Helm of the Lifegiver (18870)	Frostwolf Advisor's Pendant (19096)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Feralsurge Girdle (18104)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Second Wind (11819)	Briarwood Reed (12930)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
10	Terrien	feet	Horde	76.1	34	Mar 17	1:28	Earthfury Helmet (16842)	Animated Chain Necklace (18723)	Living Shoulders (15061)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Mighty Armsplints (10147)	Gloves of Restoration (18309)	Fordring's Seal (16058)	Ring of Demonic Guile (18314)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
11	Shamvid	HS Crew	Horde	75.1	40	Mar 6	1:25	Insightful Hood (18490)	Tempest Talisman (18317)	Cyclone Spaulders (18528)	Robes of the Exalted (13346)	Eyestalk Cord (18391)	Legplates of Ten Storms (16946)	Verdant Footpads (13954)	Bleak Howler Armguards (13208)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Emerald Flame Ring (18395)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Deep Woodlands Cloak (19121)	Diviner Long Staff (15274)	N/A	Egan's Blaster (13289)
12	Araj	pog	Horde	74.2	20	Mar 5	3:36	Earthfury Helmet (16842)	Animated Chain Necklace (18723)	Burial Shawl (18681)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Ghoul Skin Leggings (18682)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Gloves of Restoration (18309)	Eye of Orgrimmar (12545)	Fordring's Seal (16058)	Royal Seal of Eldre'Thalas (18471)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Hand of Edward the Odd (2243)	Malistar's Defender (17106)	N/A
13	Helixr	N/A	Unknown	73.3	33	Feb 19	2:15	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Royal Cap Spaulders (14548)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Boots of the Full Moon (18507)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Gnomish Battle Chicken (10725)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
14	Råknas	Ravens	Horde	70.6	37	Mar 12	1:52	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Robes of the Exalted (13346)	Earthfury Belt (16838)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Fordring's Seal (16058)	Cauterizing Band (19140)	Second Wind (11819)	Royal Seal of Eldre'Thalas (18471)	Spritecaster Cape (11623)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
15	Haruka	Daybreak	Horde	69.3	19	Mar 14	7:43	Crimson Felt Hat (18727)	Barbed Thorn Necklace (18289)	Deep Earth Spaulders (18829)	Mighty Tunic (10151)	Mana Igniting Cord (19136)	Legplates of Ten Storms (16946)	Adventurer's Boots (10257)	Earthfury Bracers (16840)	Blood Guard's Mail Vices (22867)	Eye of Orgrimmar (12545)	Cyclopean Band (11824)	Rune of the Dawn (19812)	Briarwood Reed (12930)	Deep Woodlands Cloak (19121)	Blood-Etched Blade (11922)	Therazane's Touch (19315)	Egan's Blaster (13289)
16	Cliqs	THREATCAPPED	Horde	68.3	34	Feb 6	1:44	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Earthfury Epaulets (16844)	Earthfury Vestments (16841)	Whipvine Cord (18327)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Cauterizing Band (19140)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
17	Theqq	DELETED	Horde	67.6	40	Jan 26	1:24	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Barrage Girdle (18721)	Legplates of Ten Storms (16946)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Earthfury Gauntlets (16839)	Eye of Orgrimmar (12545)	Band of Rumination (18103)	Briarwood Reed (12930)	Second Wind (11819)	High Councillor's Cloak (10138)	The Hammer of Grace (11923)	Gizlock's Hypertech Buckler (17718)	Egan's Blaster (13289)
18	Iamtheliquor	Sauce	Horde	67.0	26	Feb 10	2:52	Tribal War Feathers (12960)	Animated Chain Necklace (18723)	Lead Surveyor's Mantle (11842)	Robes of the Exalted (13346)	Ornate Girdle (10122)	Ghoul Skin Leggings (18682)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Fallbrush Handgrips (13184)	Fordring's Seal (16058)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18471)	Second Wind (11819)	Sapphiron Drape (17078)	The Hammer of Grace (11923)	Lei of the Lifegiver (19312)	N/A
19	Fujisham	THREATCAPPED	Horde	66.5	32	Jan 29	2:01	Helm of the Lifegiver (18870)	Tooth of Gnarr (13141)	Living Shoulders (15061)	Robes of the Exalted (13346)	Thuzadin Sash (18740)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Loomguard Armbraces (13969)	Blood Guard's Mail Vices (22867)	Fordring's Seal (16058)	Rosewine Circle (13178)	Briarwood Reed (12930)	Eye of the Beast (13968)	Hide of the Wild (18510)	Cold Forged Hammer (20648)	Lei of the Lifegiver (19312)	N/A
20	Mumbo	Ethereal	Horde	66.4	40	Mar 7	1:46	Helmet of Ten Storms (16947)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Whipvine Cord (18327)	Padre's Trousers (18386)	Omnicast Boots (11822)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Cauterizing Band (19140)	Fordring's Seal (16058)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	N/A
