Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Roz	N/A	Unknown	786.0	36	Mar 2	1:44	Champion's Dreadweave Cowl (23255)	Star of Mystaria (12103)	Champion's Dreadweave Spaulders (23256)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Underworld Band (1980)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Eye of the Beast (13968)	Archivist Cape (13386)	Sorcerous Dagger (18878)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
2	Coco	N/A	Unknown	727.3	39	Feb 12	1:32	Lieutenant Commander's Dreadweave Cowl (23310)	Dark Advisor's Pendant (18691)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of the Void (14153)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Tearfall Bracers (13409)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Underworld Band (1980)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
3	Tulac	Bulwark	Alliance	708.4	40	Mar 14	1:03	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of the Void (14153)	Sash of Whispered Secrets (18809)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Mystical Bracers (10173)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Underworld Band (1980)	Briarwood Reed (12930)	Eye of the Beast (13968)	Mystical Cape (10174)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
4	Dragontears	N/A	Unknown	696.7	39	Mar 13	1:48	Nemesis Skullcap (16929)	Choker of Enlightenment (17109)	Burial Shawl (18681)	Robe of the Void (14153)	Mana Igniting Cord (19136)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Councillor's Cuffs (10096)	Felheart Gloves (16805)	Songstone of Ironforge (12543)	Underworld Band (1980)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
5	Apocalyptic	Aftershock	Alliance	686.9	20	Feb 2	2:46	Nemesis Skullcap (16929)	Choker of the Fire Lord (18814)	High Councillor's Mantle (10142)	Robe of the Void (14153)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	Master's Bracers (10248)	Felcloth Gloves (18407)	Songstone of Ironforge (12543)	Underworld Band (1980)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	Skul's Ghastly Touch (13396)
6	Pokidot	N/A	Unknown	677.3	40	Feb 12	1:36	Lieutenant Commander's Dreadweave Cowl (23310)	Anastari Heirloom (18728)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of the Void (14153)	Felheart Belt (16806)	Nemesis Leggings (16930)	Felheart Slippers (16803)	Felheart Bracers (16804)	Felcloth Gloves (18407)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Resplendent Cloak (14321)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Lunar Wand (15283)
7	Svirfneblin	Bulwark	Alliance	674.7	40	Mar 14	1:03	Lieutenant Commander's Dreadweave Cowl (23310)	Choker of Enlightenment (17109)	Lieutenant Commander's Dreadweave Spaulders (23311)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Nemesis Leggings (16930)	Maleki's Footwraps (18735)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Underworld Band (1980)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	High Councillor's Cloak (10138)	Azuresong Mageblade (17103)	Tome of Shadow Force (19309)	Bonecreeper Stylus (13938)
8	Idtapdat	Aftershock	Alliance	659.1	21	Feb 16	2:30	High Councillor's Circlet (10139)	Dark Advisor's Pendant (18691)	High Councillor's Mantle (10142)	Elegant Tunic (10218)	Ban'thok Sash (11662)	Nemesis Leggings (16930)	Elegant Boots (10211)	High Councillor's Bracers (10136)	Felcloth Gloves (18407)	Underworld Band (1980)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Archivist Cape (13386)	Blade of the New Moon (18372)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
9	Lsx	Slay	Horde	646.2	38	Feb 17	1:58	Nemesis Skullcap (16929)	Choker of the Fire Lord (18814)	Champion's Dreadweave Spaulders (23256)	Felheart Robes (16809)	Sash of Whispered Secrets (18809)	Nemesis Leggings (16930)	Blood Guard's Dreadweave Walkers (22855)	Felheart Bracers (16804)	Felcloth Gloves (18407)	Underworld Band (1980)	Underworld Band (1980)	Briarwood Reed (12930)	Royal Seal of Eldre'Thalas (18467)	Master's Cloak (10249)	Mind Carver (18396)	Tome of Shadow Force (19309)	Skul's Ghastly Touch (13396)
10	Babyberry	we like turtles	Alliance	642.5	38	Mar 1	1:31	Nemesis Skullcap (16929)	Star of Mystaria (12103)	Lieutenant Commander's Dreadweave Spaulders (23311)	Elegant Robes (10215)	Ban'thok Sash (11662)	Knight-Captain's Dreadweave Legguards (23296)	Knight-Lieutenant's Dreadweave Walkers (23283)	Royal Bands (9909)	Felcloth Gloves (18407)	Underworld Band (1980)	Underworld Band (1980)	Royal Seal of Eldre'Thalas (18467)	Briarwood Reed (12930)	Master's Cloak (10249)	Demon Blade (15246)	Tome of Shadow Force (19309)	Ivory Wand (15279)
