Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Strongk	The Culdesac	Alliance	832.9	35	Mar 7	1:49	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Cadaverous Armor (14637)	Onslaught Girdle (19137)	Knight-Captain's Plate Leggings (23301)	Bloodmail Boots (14616)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Hand of Justice (11815)	Counterattack Lodestone (18537)	Cape of the Black Baron (13340)	Dal'Rend's Sacred Charge (12940)	Dal'Rend's Tribal Guardian (12939)	Satyr's Bow (18323)
2	Zoh	MUTANTS	Alliance	820.9	37	Dec 20	1:48	Eye of Rend (12587)	Mark of Fordring (15411)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Brigam Girdle (13142)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Battleborn Armbraces (12936)	Edgemaster's Handguards (14551)	Magni's Will (12548)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Thrash Blade (17705)	Core Hound Tooth (18805)	Blackcrow (12651)
3	Hal	N/A	Unknown	806.4	37	Mar 13	1:42	Lieutenant Commander's Plate Helmet (23314)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Knight-Captain's Plate Leggings (23301)	Savage Gladiator Greaves (11731)	Vambraces of the Sadist (13400)	Voone's Vice Grips (13963)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	Brutality Blade (18832)	Torch of Holy Flame (7344)	Bloodseeker (19107)
4	Blyskawika	Mala	Horde	749.0	39	Jan 28	1:36	Mask of the Unforgiven (13404)	Onyxia Tooth Pendant (18404)	Spaulders of Valor (16733)	Savage Gladiator Chain (11726)	Brigam Girdle (13142)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Axe of the Deep Woods (811)	Bone Slicing Hatchet (18737)	Bloodseeker (19107)
5	Akmas	Pug Pals	Alliance	726.3	31	Feb 18	2:01	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Knight-Captain's Plate Hauberk (23300)	Brigam Girdle (13142)	Knight-Captain's Plate Leggings (23301)	Goblin Rocket Boots (7189)	Gordok Bracers of Power (18533)	Flameguard Gauntlets (19143)	Don Julio's Band (19325)	Blackstone Ring (17713)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Quel'Serrar (18348)	Mirah's Song (15806)	Blackcrow (12651)
6	Jtbzx	N/A	Unknown	715.1	37	Feb 11	1:35	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Pauldrons of Might (16868)	Savage Gladiator Chain (11726)	Onslaught Girdle (19137)	Legionnaire's Plate Leggings (22873)	Blood Guard's Plate Greaves (22858)	Bracers of Might (16861)	Gauntlets of Might (16863)	Band of Accuria (17063)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Stoneskin Gargoyle Cape (13397)	Axe of the Deep Woods (811)	Bone Slicing Hatchet (18737)	Blastershot Launcher (17072)
7	Bubztwo	RTR	Horde	706.9	39	Feb 13	2:00	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Brigam Girdle (13142)	Legionnaire's Plate Leggings (22873)	Blood Guard's Plate Greaves (22858)	Wristguards of True Flight (18812)	Edgemaster's Handguards (14551)	Don Julio's Band (19325)	Painweaver Band (13098)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Vis'kag the Bloodletter (17075)	Core Hound Tooth (18805)	Satyr's Bow (18323)
8	Flowerw	N/A	Unknown	696.6	38	Mar 15	1:40	Lieutenant Commander's Plate Helmet (23314)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Plate Shoulders (23315)	Knight-Captain's Plate Hauberk (23300)	Omokk's Girth Restrainer (13959)	Devilsaur Leggings (15062)	Knight-Lieutenant's Plate Greaves (23287)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Blackstone Ring (17713)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Empyrean Demolisher (17112)	Vis'kag the Bloodletter (17075)	Bloodseeker (19107)
9	Baldnpump	N/A	Unknown	693.4	32	Mar 15	2:15	Champion's Plate Helm (23244)	Mark of Fordring (15411)	Champion's Plate Shoulders (23243)	Tombstone Breastplate (13944)	Omokk's Girth Restrainer (13959)	Devilsaur Leggings (15062)	Bloodmail Boots (14616)	Vambraces of the Sadist (13400)	Devilsaur Gauntlets (15063)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Frostbite (19103)	Flurry Axe (871)	Bloodseeker (19107)
10	Mordz	N/A	Unknown	684.1	24	Feb 27	2:10	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Savage Gladiator Chain (11726)	Omokk's Girth Restrainer (13959)	Legionnaire's Plate Leggings (22873)	Savage Gladiator Greaves (11731)	Battleborn Armbraces (12936)	Devilsaur Gauntlets (15063)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Frostwolf Legionnaire's Cloak (19083)	Frostbite (19103)	Bone Slicing Hatchet (18737)	Guttbuster (13139)
