Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Mbell	Vesuvius	Alliance	662.2	20	Jul 23	0:37	Mish'undare, Circlet of the Mind Flayer (19375)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Royal Scepter of Vek'lor (21597)	Idol of the Moon (23197)
2	Tabbitab	Shift	Alliance	624.9	19	Jul 22	0:31	Mish'undare, Circlet of the Mind Flayer (19375)	Soul Corrupter's Necklace (19876)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Burrower Bracers (21611)	Dark Storm Gauntlets (21585)	Band of Forced Concentration (19403)	Zanzil's Seal (19893)	Zandalarian Hero Charm (19950)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Scepter of Interminable Focus (22329)	Idol of the Moon (23197)
3	Sleepybear	Hardened	Alliance	617.9	19	Aug 1	0:29	The Hexxer's Cover (19886)	Orb of the Darkmoon (19426)	Burial Shawl (18681)	Bloodvine Vest (19682)	Southwind's Grasp (21494)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Eye of the Beast (13968)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Jin'do's Bag of Whammies (19891)	Idol of the Moon (23197)
4	Chocodada	N/A	Unknown	591.2	20	Aug 15	1:02	The Hexxer's Cover (19886)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Ring of the Fallen God (21709)	Signet Ring of the Bronze Dragonflight (21209)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Therazane's Touch (19315)	Idol of the Moon (23197)
5	Mirya	Eternity	Alliance	531.8	20	Aug 3	0:43	Mish'undare, Circlet of the Mind Flayer (19375)	Nacreous Shell Necklace (22403)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Rune Band of Wizardry (22339)	Ring of the Fallen God (21709)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Idol of the Moon (23197)
6	Elysria	N/A	Unknown	514.4	20	Aug 9	0:43	The Hexxer's Cover (19886)	Charm of the Shifting Sands (21504)	High Councillor's Mantle (10142)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Ring of the Fallen God (21709)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Talon of Furious Concentration (21471)	Idol of the Moon (23197)
7	Pullus	N/A	Unknown	509.3	20	Aug 12	0:45	The Hexxer's Cover (19886)	Charm of the Shifting Sands (21504)	Burial Shawl (18681)	Bloodvine Vest (19682)	Southwind's Grasp (21494)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Dreamweave Gloves (10019)	Maiden's Circle (13001)	Ring of the Desert Winds (21483)	Eye of the Beast (13968)	Zandalarian Hero Charm (19950)	Spritecaster Cape (11623)	Jin'do's Judgment (19884)	N/A	Idol of the Moon (23197)
8	Faidelf	Affirmative Action	Alliance	488.3	20	Jul 21	0:58	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Wyrmhide Spaulders (12082)	Knight-Captain's Dragonhide Chestpiece (23294)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Hand of Justice (11815)	Darkmoon Card: Maelstrom (19289)	Stormpike Soldier's Cloak (19084)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
9	Smartmop	Execute	Alliance	484.2	17	Aug 13	0:34	Crimson Felt Hat (18727)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Maiden's Circle (13001)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Rod of the Ogre Magi (18534)	N/A	Idol of the Moon (23197)
10	Oomlicious	N/A	Unknown	471.1	20	Aug 1	0:41	Spellweaver's Turban (22267)	Charm of the Shifting Sands (21504)	Field Marshal's Dragonhide Spaulders (16449)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Cenarion Bracers (16830)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Jin'do's Bag of Whammies (19891)	Idol of the Moon (23197)
