Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Khat	N/A	Unknown	1,121.8	20	Aug 9	0:38	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Mantle of Wicked Revenge (21665)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Circle of Applied Force (19432)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Earthstrike (21180)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
2	Dellie	good	Horde	1,025.4	20	Jul 30	0:29	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Blackveil Cape (11626)	Manual Crowd Pummeler (9449)	N/A	N/A
3	Drurush	Care Bear Stare	Horde	1,000.2	20	Aug 9	0:18	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Mantle of Wicked Revenge (21665)	Vest of Swift Execution (21680)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Band of Accuria (17063)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
4	Landoriak	N/A	Unknown	988.5	20	Aug 8	0:33	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Cadaverous Armor (14637)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Gloves of Enforcement (21672)	Circle of Applied Force (19432)	Tarnished Elven Ring (18500)	Darkmoon Card: Maelstrom (19289)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
5	Gundivh	N/A	Unknown	988.2	19	Aug 10	0:39	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Blessed Qiraji War Hammer (21268)	Tome of Knowledge (13385)	Idol of Ferocity (22397)
6	Fawnii	N/A	Unknown	950.4	20	Aug 4	0:35	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Mantle of Wicked Revenge (21665)	Primal Batskin Jerkin (19685)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Swiftwalker Boots (12553)	Wristguards of Renown (22204)	Primal Batskin Gloves (19686)	Tarnished Elven Ring (18500)	Tarnished Elven Ring (18500)	Blackhand's Breadth (13965)	Smoking Heart of the Mountain (11811)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	N/A
7	Unisol	Hardened	Alliance	918.5	20	Aug 4	0:24	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Chitinous Shoulderguards (21474)	Cadaverous Armor (14637)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Blooddrenched Footpads (19906)	Qiraji Execution Bracers (21602)	Primal Batskin Gloves (19686)	Signet Ring of the Bronze Dragonflight (21202)	Tarnished Elven Ring (18500)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Draconic Maul (19358)	N/A	Egan's Blaster (13289)
8	Aeoxis	Fellowship	Alliance	895.0	20	Jul 28	0:34	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Qiraji Execution Bracers (21602)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Vanquished Tentacle of C'Thun (21579)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
9	Lokrian	Mediocre At Best	Alliance	845.0	19	Aug 18	0:36	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Vanguard (21493)	Primal Batskin Bracers (19687)	Gloves of Enforcement (21672)	Band of Accuria (17063)	Circle of Applied Force (19432)	Blackhand's Breadth (13965)	Counterattack Lodestone (18537)	Cloak of the Shrouded Mists (17102)	Blessed Qiraji War Hammer (21268)	Tome of Knowledge (13385)	Idol of Ferocity (22397)
10	Dagnice	Unboon	Alliance	841.3	20	Aug 2	0:29	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Vanguard (21493)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Might of Cenarius (21189)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
