Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Cnan	N/A	Unknown	671.5	20	Aug 1	0:33	Warlord's Dragonhide Helmet (16550)	Prestor's Talisman of Connivery (19377)	Warlord's Dragonhide Epaulets (16551)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Gloves of the Hidden Temple (21605)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Rune of the Guard Captain (19120)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
2	Ascindia	Condition Inquiry	Alliance	632.4	20	Jul 28	0:41	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
3	Tuid	N/A	Unknown	627.1	20	Jul 26	0:29	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Abyssal Leather Shoulders (20689)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Hand of Justice (11815)	Earthstrike (21180)	Windshear Cape (20691)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
4	Axïs	Bane	Horde	595.6	19	Aug 18	0:31	Guise of the Devourer (21693)	Onyxia Tooth Pendant (18404)	Mantle of Wicked Revenge (21665)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	Gloves of the Hidden Temple (21605)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
5	Aggressíon	N/A	Unknown	584.3	20	Aug 10	0:47	Blooddrenched Mask (22718)	Mark of Fordring (15411)	Flamescarred Shoulders (18374)	Thick Silithid Chestguard (21467)	Belt of Preserved Heads (20216)	Devilsaur Leggings (15062)	Blooddrenched Footpads (19906)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Seal of Jin (19898)	Seal of the Gurubashi Berserker (22722)	Rune of the Guard Captain (19120)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
6	Cicómaci	N/A	Unknown	572.2	20	Jul 27	0:46	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Malfurion's Blessed Bulwark (19405)	Taut Dragonhide Belt (19396)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Mark of Tyranny (13966)	Rune of the Guard Captain (19120)	Elementium Threaded Cloak (19386)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
7	Twoinchshard	RTR	Horde	555.5	20	Aug 8	0:19	Southwind Helm (21455)	Prestor's Talisman of Connivery (19377)	Warlord's Dragonhide Epaulets (16551)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Vanguard (21493)	Scaled Bracers of the Gorger (21491)	Gloves of Enforcement (21672)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cloak of the Fallen God (21710)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
8	Pagge	N/A	Unknown	554.5	20	Jul 18	0:35	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Malfurion's Blessed Bulwark (19405)	Taut Dragonhide Belt (19396)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Smoking Heart of the Mountain (11811)	Mark of Tyranny (13966)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
9	Nevie	N/A	Unknown	540.7	20	Aug 13	0:38	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Taut Dragonhide Belt (19396)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Blackmist Armguards (12966)	General's Dragonhide Gloves (16555)	Seal of the Gurubashi Berserker (22722)	Don Julio's Band (19325)	Mark of Tyranny (13966)	Rune of the Guard Captain (19120)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	N/A
10	Rabidgrizzly	Excessive Obscenity	Horde	536.1	20	Jul 23	0:46	Blooddrenched Mask (22718)	Onyxia Tooth Pendant (18404)	Taut Dragonhide Shoulderpads (19389)	Breastplate of Bloodthirst (12757)	Taut Dragonhide Belt (19396)	Abyssal Leather Leggings (20665)	Boots of the Shadow Flame (19381)	Scaled Bracers of the Gorger (21491)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Rune of the Guard Captain (19120)	Drake Fang Talisman (19406)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
11	Swarleey	N/A	Unknown	526.6	20	Aug 2	0:38	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Blackmist Armguards (12966)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Heavy Dark Iron Ring (18879)	Hand of Justice (11815)	Mark of Tyranny (13966)	Dragon's Blood Cape (17107)	Unyielding Maul (18531)	N/A	N/A
12	Ephemeral	Red Team	Horde	523.2	20	Aug 2	0:47	Warlord's Dragonhide Helmet (16550)	Prestor's Talisman of Connivery (19377)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Taut Dragonhide Belt (19396)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Gloves of Enforcement (21672)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
13	Amorq	Six Feet Sunder	Alliance	515.9	20	Aug 9	0:31	Southwind Helm (21455)	Onyxia Tooth Pendant (18404)	Abyssal Leather Shoulders (20689)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	Gloves of the Hidden Temple (21605)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Earthstrike (21180)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
14	Fishtodaface	N/A	Unknown	510.7	18	Jul 30	0:40	Field Marshal's Dragonhide Helmet (16451)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	Gloves of Enforcement (21672)	Band of Accuria (17063)	Archimtiros' Ring of Reckoning (19376)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
