Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Kirzha	N/A	Unknown	152.3	20	Aug 3	0:43	Stormrage Cover (16900)	Soul Corrupter's Necklace (19876)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Zanzil's Seal (19893)	Band of Forced Concentration (19403)	Royal Seal of Eldre'Thalas (18470)	Neltharion's Tear (19379)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Idol of Rejuvenation (22398)
2	Pawsnclaws	Timeless	Alliance	146.3	20	Jul 21	0:34	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Corehound Belt (19162)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Pure Elementium Band (19382)	Primalist's Seal (19863)	Wushoolay's Charm of Nature (19955)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	N/A
3	Latimerr	N/A	Unknown	123.5	20	Aug 13	0:39	Stormrage Cover (16900)	Amulet of the Shifting Sands (21507)	Cenarion Spaulders (16836)	Cenarion Vestments (16833)	Cenarion Belt (16828)	Stormrage Legguards (16901)	Cenarion Boots (16829)	Zandalar Haruspex's Bracers (19840)	Cenarion Gloves (16831)	Primalist's Seal (19863)	Primalist's Band (19920)	Royal Seal of Eldre'Thalas (18470)	Second Wind (11819)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Idol of Rejuvenation (22398)
4	Sterlira	N/A	Unknown	123.0	19	Aug 17	0:34	Stormrage Cover (16900)	Amulet of the Shifting Sands (21507)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Sash of Mercy (14553)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Torch of Holy Flame (7344)	Idol of Rejuvenation (22398)
5	Earthen	N/A	Unknown	121.1	20	Jul 30	0:37	Stormrage Cover (16900)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Regenerating Belt of Vek'nilash (21609)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Rosewine Circle (13178)	Fordring's Seal (16058)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Sartura's Might (21666)	Idol of Rejuvenation (22398)
6	Znark	N/A	Unknown	120.3	20	Aug 10	0:42	Stormrage Cover (16900)	Enchanted South Seas Kelp (19612)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Marshal's Dragonhide Boots (16459)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Fordring's Seal (16058)	Primalist's Seal (19863)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Idol of Ferocity (22397)
7	Shadys	N/A	Unknown	117.3	20	Jul 27	0:32	Don Rigoberto's Lost Hat (21615)	Amulet of the Shifting Sands (21507)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Corehound Belt (19162)	Empowered Leggings (19385)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Cauterizing Band (19140)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18470)	Hide of the Wild (18510)	Claw of Chromaggus (19347)	Lei of the Lifegiver (19312)	Idol of Rejuvenation (22398)
8	Outbackbarry	N/A	Unknown	116.6	19	Jul 30	0:32	Stormrage Cover (16900)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Corehound Belt (19162)	Empowered Leggings (19385)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Cloak of Clarity (21583)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Egan's Blaster (13289)
9	Moistpaws	N/A	Unknown	115.5	15	Jul 23	1:03	Stormrage Cover (16900)	Wavefront Necklace (20685)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Regenerating Belt of Vek'nilash (21609)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Cenarion Gloves (16831)	Band of Servitude (22721)	Rosewine Circle (13178)	Royal Seal of Eldre'Thalas (18470)	Shard of the Scale (17064)	Shroud of Pure Thought (19430)	Staff of the Shadow Flame (19356)	N/A	Idol of Rejuvenation (22398)
10	Femtaurmoo	N/A	Unknown	112.8	20	Jul 28	0:34	Don Rigoberto's Lost Hat (21615)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Rejuvenating Gem (19395)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	High Warlord's Tome of Mending (23469)	Idol of Health (22399)
