Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Velocisaurus	RTR	Horde	1,334.5	20	Aug 8	0:19	Dragonstalker's Helm (16939)	Prestor's Talisman of Connivery (19377)	Dragonstalker's Spaulders (16937)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Dragonstalker's Greaves (16941)	Dragonstalker's Bracers (16935)	Dragonstalker's Gauntlets (16940)	Ring of the Godslayer (21596)	Master Dragonslayer's Ring (19384)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Warblade of the Hakkari (19865)	Fang of the Faceless (19859)	Ashjre'thul, Crossbow of Smiting (19361)
2	Speedydwarf	Good Prog	Alliance	1,093.2	20	Aug 10	0:29	Field Marshal's Chain Helm (16465)	Prestor's Talisman of Connivery (19377)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Ossirian's Binding (21463)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Dragonstalker's Bracers (16935)	Marshal's Chain Grips (16463)	Circle of Applied Force (19432)	Signet Ring of the Bronze Dragonflight (21204)	Renataki's Charm of Beasts (19953)	Devilsaur Eye (19991)	Cloak of the Shrouded Mists (17102)	Grand Marshal's Longsword (12584)	Grand Marshal's Longsword (12584)	Ashjre'thul, Crossbow of Smiting (19361)
3	Chronicpain	Rote Rakete	Alliance	1,090.5	20	Aug 7	0:24	Field Marshal's Chain Helm (16465)	Onyxia Tooth Pendant (18404)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Dragonstalker's Belt (16936)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Dragonstalker's Bracers (16935)	Marshal's Chain Grips (16463)	Don Julio's Band (19325)	Band of Accuria (17063)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Grand Marshal's Longsword (12584)	Grand Marshal's Longsword (12584)	Ashjre'thul, Crossbow of Smiting (19361)
4	Spyderxx	N/A	Unknown	1,068.0	20	Aug 12	0:39	Field Marshal's Chain Helm (16465)	Onyxia Tooth Pendant (18404)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Ossirian's Binding (21463)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Wristguards of True Flight (18812)	Marshal's Chain Grips (16463)	Tarnished Elven Ring (18500)	Don Julio's Band (19325)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Warblade of the Hakkari (19865)	Fang of the Faceless (19859)	Ashjre'thul, Crossbow of Smiting (19361)
5	Msprr	N/A	Unknown	1,061.4	20	Aug 4	0:31	Champion's Chain Helm (23251)	Onyxia Tooth Pendant (18404)	Dragonstalker's Spaulders (16937)	Legionnaire's Chain Hauberk (22874)	Giantstalker's Belt (16851)	Dragonstalker's Legguards (16938)	Dragonstalker's Greaves (16941)	Zandalar Predator's Bracers (19833)	General's Chain Gloves (16571)	Seal of Jin (19898)	Band of Jin (19925)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Brutality Blade (18832)	Fang of the Faceless (19859)	Ashjre'thul, Crossbow of Smiting (19361)
6	Tromx	HordeHub	Horde	1,041.8	20	Aug 7	0:27	Warlord's Chain Helmet (16566)	The Eye of Hakkar (19856)	Warlord's Chain Shoulders (16568)	Warlord's Chain Chestpiece (16565)	Giantstalker's Belt (16851)	General's Chain Legguards (16567)	General's Chain Boots (16569)	Giantstalker's Bracers (16850)	General's Chain Gloves (16571)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Onyxia Scale Cloak (15138)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Rhok'delar, Longbow of the Ancient Keepers (18713)
7	Ana	N/A	Unknown	1,037.0	20	Aug 4	0:32	Dragonstalker's Helm (16939)	Prestor's Talisman of Connivery (19377)	Dragonstalker's Spaulders (16937)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Dragonstalker's Greaves (16941)	Dragonstalker's Bracers (16935)	Dragonstalker's Gauntlets (16940)	Seal of Jin (19898)	Band of Jin (19925)	Devilsaur Eye (19991)	Renataki's Charm of Beasts (19953)	Cloak of the Shrouded Mists (17102)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
8	Serviceshunt	N/A	Unknown	1,032.2	20	Aug 8	0:25	Field Marshal's Chain Helm (16465)	Onyxia Tooth Pendant (18404)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Ossirian's Binding (21463)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Dragonstalker's Bracers (16935)	Marshal's Chain Grips (16463)	Band of Jin (19925)	Seal of Jin (19898)	Earthstrike (21180)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
9	Vagnarul	N/A	Unknown	1,025.9	19	Jul 27	0:33	Champion's Chain Helm (23251)	Prestor's Talisman of Connivery (19377)	Champion's Chain Shoulders (23252)	Dragonstalker's Breastplate (16942)	Ossirian's Binding (21463)	Dragonstalker's Legguards (16938)	General's Chain Boots (16569)	Dragonstalker's Bracers (16935)	General's Chain Gloves (16571)	Band of Jin (19925)	Seal of Jin (19898)	Earthstrike (21180)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
10	Haylande	Tainted	Horde	1,017.2	20	Aug 7	0:26	Warlord's Chain Helmet (16566)	Onyxia Tooth Pendant (18404)	Warlord's Chain Shoulders (16568)	Warlord's Chain Chestpiece (16565)	Dragonstalker's Belt (16936)	General's Chain Legguards (16567)	General's Chain Boots (16569)	Dragonstalker's Bracers (16935)	General's Chain Gloves (16571)	Seal of Jin (19898)	Band of Jin (19925)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
