Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Anticosmo	Abyss	Horde	1,104.3	20	Jul 26	0:33	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Warlord's Silk Amice (16536)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Arcanist Bindings (16799)	Netherwind Gloves (16913)	Ritssyn's Ring of Chaos (21836)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of the Ice Lord (19310)	Touch of Chaos (19861)
2	Sajad	Parse Goblins	Horde	1,029.4	20	Jul 26	0:27	Champion's Silk Cowl (23263)	Orb of the Darkmoon (19426)	Champion's Silk Mantle (23264)	Bloodvine Vest (19682)	Netherwind Belt (16818)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Freezing Band (942)	Band of Servitude (22721)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
3	Firekick	Timeless	Alliance	1,014.0	18	Aug 10	0:42	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Netherwind Mantle (16917)	Netherwind Robes (16916)	Eyestalk Waist Cord (22730)	Leggings of the Black Blizzard (21461)	Ringo's Blizzard Boots (19438)	Netherwind Bindings (16918)	Netherwind Gloves (16913)	Band of Forced Concentration (19403)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
4	Maddey	atrocious	Horde	944.1	20	Jul 18	0:24	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Champion's Silk Mantle (23264)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Blood Guard's Silk Walkers (22860)	Duskwoven Bracers (10059)	Netherwind Gloves (16913)	Ring of Spell Power (19147)	Band of Forced Concentration (19403)	Briarwood Reed (12930)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
5	Latte	N/A	Unknown	913.0	19	Jul 25	0:49	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Lieutenant Commander's Silk Mantle (23319)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Knight-Lieutenant's Silk Walkers (23291)	Bracers of Arcane Accuracy (19374)	Netherwind Gloves (16913)	Ring of Spell Power (19147)	Ring of Spell Power (19147)	Mind Quickening Gem (19339)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Grand Marshal's Mageblade (23451)	Tome of the Ice Lord (19310)	Touch of Chaos (19861)
6	Kieran	N/A	Unknown	863.5	20	Jul 26	0:32	Mish'undare, Circlet of the Mind Flayer (19375)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Netherwind Bindings (16918)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Ring of Spell Power (19147)	Mind Quickening Gem (19339)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Claw of Chromaggus (19347)	Tome of the Ice Lord (19310)	Touch of Chaos (19861)
7	Freezeyou	Downtime	Horde	796.4	20	Jul 31	0:41	Arcanist Crown (16795)	Nacreous Shell Necklace (22403)	Arcanist Mantle (16797)	Bloodvine Vest (19682)	Arcanist Belt (16802)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Shackles of the Unscarred (21464)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Signet Ring of the Bronze Dragonflight (21207)	Mind Quickening Gem (19339)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
8	Sillymiine	N/A	Unknown	796.1	20	Jul 28	0:41	Field Marshal's Coronet (16441)	Soul Corrupter's Necklace (19876)	Lieutenant Commander's Silk Mantle (23319)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Knight-Lieutenant's Silk Handwraps (23290)	Band of Servitude (22721)	Band of Vaulted Secrets (21414)	Eye of the Beast (13968)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
9	Askov	Mandate of Heaven	Horde	795.0	20	Jul 18	0:34	Mish'undare, Circlet of the Mind Flayer (19375)	Jeklik's Opaline Talisman (19923)	Champion's Silk Mantle (23264)	Robe of the Archmage (14152)	Mana Igniting Cord (19136)	Netherwind Pants (16915)	Ringo's Blizzard Boots (19438)	Netherwind Bindings (16918)	Blood Guard's Silk Handwraps (22870)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Briarwood Reed (12930)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Azuresong Mageblade (17103)	Tome of the Ice Lord (19310)	Wand of Biting Cold (19108)
10	강퍄퍄법사	N/A	Unknown	778.6	20	Aug 13	0:39	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Dark Storm Gauntlets (21585)	Ring of Spell Power (19147)	Ring of Spell Power (19147)	Neltharion's Tear (19379)	Mind Quickening Gem (19339)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Touch of Chaos (19861)
