Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Avellar	N/A	Unknown	114.5	20	Jul 26	0:56	Lieutenant Commander's Lamellar Headguard (23276)	Animated Chain Necklace (18723)	Lieutenant Commander's Lamellar Shoulders (23277)	Robes of the Exalted (13346)	Barrage Girdle (18721)	Judgment Legplates (16954)	Knight-Lieutenant's Lamellar Sabatons (23275)	Gaea's Cuffs (14268)	Heavy Mithril Gauntlet (7919)	Seal of Rivendare (13345)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Sanctified Orb (20512)	Cloak of the Hakkari Worshippers (22711)	Bloodlord's Defender (19867)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
2	Reluctance	Needing for the mog	Alliance	101.4	20	Jul 23	0:39	Judgment Crown (16955)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Corehound Belt (19162)	Empowered Leggings (19385)	Judgment Sabatons (16957)	Gallant's Wristguards (18459)	Judgment Gauntlets (16956)	Fordring's Seal (16058)	Band of Rumination (18103)	Briarwood Reed (12930)	Second Wind (11819)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
3	Atregis	N/A	Unknown	100.2	20	Aug 5	1:08	Judgment Crown (16955)	Animated Chain Necklace (18723)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Peacekeeper Boots (20265)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Fordring's Seal (16058)	Band of Servitude (22721)	Blackhand's Breadth (13965)	Scrolls of Blinding Light (19343)	Shroud of Pure Thought (19430)	Jin'do's Hexxer (19890)	Red Dragonscale Protector (19348)	N/A
4	Breakyz	N/A	Unknown	100.0	20	Jul 25	0:24	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Red Dragonscale Breastplate (15047)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of the Redeemed Prophecy (21704)	Loomguard Armbraces (13969)	Judgment Gauntlets (16956)	Primalist's Seal (19863)	Primalist's Band (19920)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18472)	Hide of the Wild (18510)	Aurastone Hammer (17105)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
5	Metalhead	Scorched Earth	Alliance	95.4	20	Aug 9	0:41	Judgment Crown (16955)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Judgment Breastplate (16958)	Corehound Belt (19162)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Peacekeeper Gauntlets (20264)	Primalist's Seal (19863)	Fordring's Seal (16058)	Rejuvenating Gem (19395)	Shard of the Scale (17064)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Red Dragonscale Protector (19348)	Libram of Divinity (23201)
6	Iceicebobby	Execute	Alliance	93.8	19	Aug 6	0:31	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Animist's Spaulders (19928)	Robes of the Exalted (13346)	Corehound Belt (19162)	Legplates of Blazing Light (21667)	Verdant Footpads (13954)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Primalist's Band (19920)	Primalist's Seal (19863)	Zandalarian Hero Charm (19950)	Darkmoon Card: Blue Dragon (19288)	Hide of the Wild (18510)	Azuresong Mageblade (17103)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
7	Tinkrßell	MOTHERS MILK	Alliance	91.5	19	Jul 28	0:59	Whitesoul Helm (12633)	Stormpike Sage's Pendant (19098)	Earthslag Shoulders (11632)	Tombstone Breastplate (13944)	Lightforge Belt (16723)	Maelstrom Leggings (14522)	Boots of Avoidance (14549)	Loomguard Armbraces (13969)	Dracorian Gauntlets (13344)	Don Mauricio's Band of Domination (22433)	Archaedic Stone (11118)	Ward of the Elements (12065)	Mark of the Chosen (17774)	Stormpike Sage's Cloak (19086)	Ice Barbed Spear (19106)	N/A	N/A
8	Mcjohnson	ST	Alliance	90.6	20	Aug 13	0:33	Dustwind Turban (21472)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Peacekeeper Boots (20265)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Cauterizing Band (19140)	Fordring's Seal (16058)	Scrolls of Blinding Light (19343)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Libram of Divinity (23201)
9	Gaffs	N/A	Unknown	87.4	20	Jul 20	0:29	Mish'undare, Circlet of the Mind Flayer (19375)	Jin'do's Evil Eye (19885)	Field Marshal's Lamellar Pauldrons (16476)	Robe of Volatile Power (19145)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Marshal's Lamellar Boots (16472)	Bracers of Prosperity (18525)	Peacekeeper Gauntlets (20264)	Pure Elementium Band (19382)	Dragonslayer's Signet (18403)	Shard of the Scale (17064)	Briarwood Reed (12930)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Arlokk's Hoodoo Stick (19922)	Libram of Divinity (23201)
10	Paroxysm	N/A	Unknown	87.4	20	Aug 3	1:13	Zulian Headdress (22720)	Animated Chain Necklace (18723)	Wild Growth Spaulders (18810)	Knight-Captain's Lamellar Breastplate (23272)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Knight-Lieutenant's Lamellar Sabatons (23275)	Loomguard Armbraces (13969)	Peacekeeper Gauntlets (20264)	Ring of Blackrock (19397)	Rosewine Circle (13178)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Red Dragonscale Protector (19348)	Libram of Divinity (23201)
