Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	有个防骑	N/A	Unknown	488.6	20	Aug 13	0:52	Helm of Endless Rage (19372)	Onyxia Tooth Pendant (18404)	Drake Talon Pauldrons (19394)	Judgment Breastplate (16958)	Royal Qiraji Belt (21598)	Legguards of the Fallen Crusader (19402)	Judgment Sabatons (16957)	Wristguards of True Flight (18812)	Gauntlets of Steadfast Determination (21674)	Signet Ring of the Bronze Dragonflight (21204)	Circle of Applied Force (19432)	Scrolls of Blinding Light (19343)	Mark of the Chosen (17774)	Cloak of Concentrated Hatred (21701)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Libram of Hope (22401)
2	Trashbirb	N/A	Unknown	463.3	20	Jul 27	0:36	Field Marshal's Lamellar Faceguard (16474)	Choker of the Fire Lord (18814)	Judgment Spaulders (16953)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Marshal's Lamellar Legplates (16475)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Don Julio's Band (19325)	Hand of Justice (11815)	Zandalarian Hero Charm (19950)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Force Reactive Disk (18168)	Libram of Hope (22401)
3	Pov	Omen	Alliance	355.2	16	Aug 3	0:49	Avenger's Crown (21387)	Choker of the Fire Lord (18814)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Judgment Belt (16952)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Wristguards of True Flight (18812)	Sacrificial Gauntlets (22714)	Signet Ring of the Bronze Dragonflight (21208)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Scrolls of Blinding Light (19343)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Force Reactive Disk (18168)	Libram of Fervor (23203)
4	Valuebelle	N/A	Unknown	336.8	20	Jul 21	0:52	Field Marshal's Lamellar Faceguard (16474)	Medallion of Steadfast Might (17065)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Brigam Girdle (13142)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Heavy Dark Iron Ring (18879)	Hand of Justice (11815)	Onyxia Blood Talisman (18406)	Dragon's Blood Cape (17107)	Grand Marshal's Claymore (18876)	N/A	Libram of Divinity (23201)
5	Boingo	N/A	Unknown	314.4	20	Aug 9	0:41	Judgment Crown (16955)	Charm of the Shifting Sands (21504)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Soulforge Bracers (22088)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Signet Ring of the Bronze Dragonflight (21209)	Stormpike Insignia Rank 6 (17904)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Aegis of the Blood God (19862)	Libram of Hope (22401)
6	Draxam	N/A	Unknown	311.2	16	Jul 22	0:56	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Naglering (11669)	Briarwood Reed (12930)	Styleen's Impeding Scarab (19431)	Overlord's Embrace (19888)	Lok'amir il Romathis (19360)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
7	Tabula	FR	Alliance	301.2	20	Aug 9	0:47	Avenger's Crown (21387)	Master Dragonslayer's Medallion (19383)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Judgment Belt (16952)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Ring of Spell Power (19147)	Band of Accuria (17063)	Scrolls of Blinding Light (19343)	Hand of Justice (11815)	Cloak of the Golden Hive (21621)	Thunderfury, Blessed Blade of the Windseeker (19019)	Force Reactive Disk (18168)	Libram of Fervor (23203)
8	Сакросанкт	Р е в а н ш	Alliance	297.7	20	Aug 17	0:43	Judgment Crown (16955)	Prestor's Talisman of Connivery (19377)	Judgment Spaulders (16953)	Field Marshal's Lamellar Chestplate (16473)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Signet Ring of the Bronze Dragonflight (21202)	Talisman of Ephemeral Power (18820)	Hand of Justice (11815)	Overlord's Embrace (19888)	Grand Marshal's Swiftblade (23456)	Drillborer Disk (17066)	Libram of Fervor (23203)
9	Thiccbois	Mythic	Alliance	295.7	20	Aug 8	0:56	Judgment Crown (16955)	Jeklik's Opaline Talisman (19923)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Signet Ring of the Bronze Dragonflight (21208)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Overlord's Embrace (19888)	Flurry Axe (871)	Drillborer Disk (17066)	Libram of Hope (22401)
10	Kalutor	N/A	Unknown	294.3	20	Aug 8	0:51	Avenger's Crown (21387)	Mark of C'Thun (22732)	Avenger's Pauldrons (21391)	Avenger's Breastplate (21389)	Royal Qiraji Belt (21598)	Avenger's Legguards (21390)	Avenger's Greaves (21388)	Judgment Bindings (16951)	Gauntlets of the Righteous Champion (21623)	Ring of Emperor Vek'lor (21601)	Archimtiros' Ring of Reckoning (19376)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
11	Pepegaknight	N/A	Unknown	288.7	20	Aug 6	0:43	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Ossirian's Binding (21463)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Wristguards of True Flight (18812)	Judgment Gauntlets (16956)	Seal of the Archmagus (17110)	Band of Sulfuras (19138)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Shifting Cloak (18511)	Thunderfury, Blessed Blade of the Windseeker (19019)	Aegis of the Blood God (19862)	Libram of Hope (22401)
12	Lysethea	Almost Tryhards	Alliance	281.2	20	Jul 18	0:53	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Overlord's Onyx Band (19912)	Heavy Dark Iron Ring (18879)	Onyxia Blood Talisman (18406)	Zandalarian Hero Charm (19950)	Overlord's Embrace (19888)	Bloodlord's Defender (19867)	Force Reactive Disk (18168)	Libram of Hope (22401)
13	Cûpcake	Defensores de Azeroth	Alliance	279.5	20	Jul 22	0:45	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Servitude (22721)	Signet Ring of the Bronze Dragonflight (21207)	Zandalarian Hero Charm (19950)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Flurry Axe (871)	Blessed Qiraji Bulwark (21269)	Libram of Hope (22401)
14	Charlemagne	N/A	Unknown	269.3	20	Jul 25	0:59	Judgment Crown (16955)	Choker of Enlightenment (17109)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Zandalar Freethinker's Armguards (19827)	Judgment Gauntlets (16956)	Band of Sulfuras (19138)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Bloodcaller (19864)	Aegis of the Blood God (19862)	Libram of Truth (22400)
15	Losthalia	The Competition	Alliance	259.8	20	Jul 21	0:45	Judgment Crown (16955)	Jeklik's Opaline Talisman (19923)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Songstone of Ironforge (12543)	Band of Servitude (22721)	Briarwood Reed (12930)	Zandalarian Hero Charm (19950)	Cloak of the Hakkari Worshippers (22711)	Thunderfury, Blessed Blade of the Windseeker (19019)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
16	Aedris	Gadgetzan Globetrotters	Alliance	255.3	20	Jul 23	0:48	Judgment Crown (16955)	Talisman of Protection (19871)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Judgment Belt (16952)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Zandalar Freethinker's Armguards (19827)	Judgment Gauntlets (16956)	Overlord's Crimson Band (19873)	Overlord's Onyx Band (19912)	Zandalarian Hero Charm (19950)	Styleen's Impeding Scarab (19431)	Overlord's Embrace (19888)	Grand Marshal's Swiftblade (23456)	Elementium Reinforced Bulwark (19349)	Libram of Hope (22401)
17	Phailadin	N/A	Unknown	240.7	20	Aug 12	0:38	Judgment Crown (16955)	Pendant of the Shifting Sands (21506)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Heavy Dark Iron Ring (18879)	Archimtiros' Ring of Reckoning (19376)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Cloak of the Golden Hive (21621)	Thunderfury, Blessed Blade of the Windseeker (19019)	Drillborer Disk (17066)	Libram of Divinity (23201)
18	Helldivah	N/A	Unknown	240.4	20	Jul 22	1:03	Judgment Crown (16955)	Master Dragonslayer's Medallion (19383)	Judgment Spaulders (16953)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Core Forged Greaves (18806)	Judgment Bindings (16951)	Judgment Gauntlets (16956)	Band of Sulfuras (19138)	Heavy Dark Iron Ring (18879)	Onyxia Blood Talisman (18406)	Styleen's Impeding Scarab (19431)	Cloak of the Brood Lord (19378)	Thunderfury, Blessed Blade of the Windseeker (19019)	Grand Marshal's Aegis (18825)	Egan's Blaster (13289)
19	Thur	N/A	Unknown	237.0	19	Aug 1	0:51	Judgment Crown (16955)	Medallion of Steadfast Might (17065)	Avenger's Pauldrons (21391)	Judgment Breastplate (16958)	Royal Qiraji Belt (21598)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Overlord's Onyx Band (19912)	Signet Ring of the Bronze Dragonflight (21198)	Styleen's Impeding Scarab (19431)	Onyxia Blood Talisman (18406)	Overlord's Embrace (19888)	Lok'amir il Romathis (19360)	Aegis of the Blood God (19862)	N/A
20	Paloid	Are We Cooked	Alliance	235.8	20	Aug 11	0:53	Field Marshal's Lamellar Faceguard (16474)	Onyxia Tooth Pendant (18404)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Soulforge Belt (22086)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Soulforge Bracers (22088)	Marshal's Lamellar Gloves (16471)	Don Julio's Band (19325)	Ring of Fury (21477)	Zandalarian Hero Charm (19950)	Mark of the Chosen (17774)	Sapphiron Drape (17078)	Grand Marshal's Swiftblade (23456)	Grand Marshal's Aegis (18825)	Libram of Divinity (23201)
21	Starling	N/A	Unknown	234.4	20	Aug 11	1:02	Judgment Crown (16955)	Choker of the Fire Lord (18814)	Field Marshal's Lamellar Pauldrons (16476)	Judgment Breastplate (16958)	Judgment Belt (16952)	Judgment Legplates (16954)	Judgment Sabatons (16957)	Lawbringer Bracers (16857)	Judgment Gauntlets (16956)	Don Julio's Band (19325)	Band of Servitude (22721)	Essence of the Pure Flame (18815)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Bloodcaller (19864)	Grand Marshal's Aegis (18825)	Libram of Fervor (23203)
22	Naýa	Böllerbus	Alliance	230.8	18	Aug 8	0:52	Field Marshal's Lamellar Faceguard (16474)	Necklace of Purity (21678)	Field Marshal's Lamellar Pauldrons (16476)	Field Marshal's Lamellar Chestplate (16473)	Zandalar Freethinker's Belt (19826)	Marshal's Lamellar Legplates (16475)	Marshal's Lamellar Boots (16472)	Zandalar Freethinker's Armguards (19827)	Marshal's Lamellar Gloves (16471)	Band of Sulfuras (19138)	Ring of Eternal Justice (21396)	Hand of Justice (11815)	Guardian Talisman (1490)	Cloak of the Hakkari Worshippers (22711)	Azuresong Mageblade (17103)	Skullflame Shield (1168)	Libram of Fervor (23203)
