Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Hergie	N/A	Unknown	194.0	20	Jul 22	0:31	Zulian Headdress (22720)	Amulet of the Shifting Sands (21507)	Zandalar Confessor's Mantle (19841)	Truefaith Vestments (14154)	Belt of Transcendence (16925)	Empowered Leggings (19385)	Boots of Prophecy (16811)	Zandalar Confessor's Wraps (19843)	Abyssal Cloth Handwraps (20655)	Fordring's Seal (16058)	Primalist's Seal (19863)	Darkmoon Card: Blue Dragon (19288)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	Benediction (18608)	N/A	Dragon Finger (15282)
2	Jaybub	Timeless	Alliance	192.4	20	Jul 31	0:39	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Mantle of the Blackwing Cabal (19370)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Betrayer's Boots (19897)	Burrower Bracers (21611)	Hands of the Exalted Herald (12554)	Band of Forced Concentration (19403)	Fordring's Seal (16058)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Umbral Wand (5216)
3	Saltz	Care Bear Stare	Horde	182.4	20	Aug 9	0:18	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Royal Seal of Eldre'Thalas (18469)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Essence Gatherer (19435)
4	Morokei	Silly Goose Club	Alliance	176.0	20	Jul 27	0:36	Zulian Headdress (22720)	Jin'do's Evil Eye (19885)	Zandalar Confessor's Mantle (19841)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Pure Thought (19437)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Signet Ring of the Bronze Dragonflight (21207)	Band of Servitude (22721)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Sapphiron Drape (17078)	Fang of Korialstrasz (21523)	Lei of the Lifegiver (19312)	Touch of Chaos (19861)
5	Voltross	N/A	Unknown	171.3	19	Aug 13	0:29	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Ternary Mantle (21694)	Robes of Transcendence (16923)	Grasp of the Old God (21582)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Ring of the Martyr (21620)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Dragon's Touch (19367)
6	Bewbeez	Sanctuary	Alliance	166.4	20	Aug 14	0:28	Zulian Headdress (22720)	Amulet of the Shifting Sands (21507)	Zandalar Confessor's Mantle (19841)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Prophecy (16811)	Bindings of Transcendence (16926)	Gloves of the Messiah (21619)	Signet Ring of the Bronze Dragonflight (21207)	Ring of Blackrock (19397)	Royal Seal of Eldre'Thalas (18469)	Darkmoon Card: Blue Dragon (19288)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Dragon's Touch (19367)
7	Lamissa	man with lump	Alliance	166.1	20	Jul 21	0:31	Field Marshal's Headdress (17602)	Soul Corrupter's Necklace (19876)	Field Marshal's Satin Mantle (17604)	Field Marshal's Satin Vestments (17605)	Angelista's Grasp (19388)	Marshal's Satin Pants (17603)	Marshal's Satin Sandals (17607)	Bindings of Transcendence (16926)	Marshal's Satin Gloves (17608)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Hazza'rah's Charm of Healing (19958)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Grand Marshal's Mageblade (23451)	Grand Marshal's Tome of Power (23452)	Essence Gatherer (19435)
8	Matter	Excessive	Horde	161.7	20	Jul 25	0:49	Halo of Transcendence (16921)	Wavefront Necklace (20685)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Primalist's Band (19920)	Primalist's Seal (19863)	Darkmoon Card: Blue Dragon (19288)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Lei of the Lifegiver (19312)	Lunar Wand (15283)
9	Bogbean	N/A	Unknown	160.9	20	Jul 28	0:29	Halo of Transcendence (16921)	Animated Chain Necklace (18723)	Zandalar Confessor's Mantle (19841)	Truefaith Vestments (14154)	Zandalar Confessor's Bindings (19842)	Leggings of Transcendence (16922)	Boots of Pure Thought (19437)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Fordring's Seal (16058)	Pure Elementium Band (19382)	Rejuvenating Gem (19395)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Benediction (18608)	N/A	Essence Gatherer (19435)
10	Kejzer	Bare kos	Horde	160.7	20	Aug 3	0:38	Warlord's Satin Cowl (17623)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Prophecy (16815)	Firemaw's Clutch (19400)	Empowered Leggings (19385)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Gloves of Prophecy (16812)	Cauterizing Band (19140)	Pure Elementium Band (19382)	Rejuvenating Gem (19395)	Darkmoon Card: Blue Dragon (19288)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	High Warlord's Tome of Mending (23469)	Dragon's Touch (19367)
11	Asterope	sunder	Alliance	159.2	20	Aug 3	0:33	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Truefaith Vestments (14154)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Zandalar Confessor's Wraps (19843)	Handguards of Transcendence (16920)	Ring of the Martyr (21620)	Cauterizing Band (19140)	Darkmoon Card: Blue Dragon (19288)	Hazza'rah's Charm of Healing (19958)	Hide of the Wild (18510)	Benediction (18608)	N/A	Essence Gatherer (19435)
12	Falina	Rote Rakete	Alliance	158.6	20	Aug 14	0:27	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Pauldrons of Transcendence (16924)	Truefaith Vestments (14154)	Belt of Transcendence (16925)	Empowered Leggings (19385)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Gloves of Dark Wisdom (21462)	Cauterizing Band (19140)	Fordring's Seal (16058)	Darkmoon Card: Blue Dragon (19288)	Royal Seal of Eldre'Thalas (18469)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Antenna of Invigoration (21801)
13	Powerwordg	N/A	Unknown	158.2	20	Jul 24	0:38	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Primalist's Seal (19863)	Primalist's Band (19920)	Blessed Prayer Beads (19990)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Benediction (18608)	N/A	Essence Gatherer (19435)
14	Ampedup	N/A	Unknown	157.2	20	Aug 16	0:50	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Zandalar Confessor's Mantle (19841)	Robes of Transcendence (16923)	Zandalar Confessor's Bindings (19842)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18469)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	Grand Marshal's Warhammer (23454)	Lei of the Lifegiver (19312)	Glowstar Rod (15281)
15	Oldassfoo	N/A	Unknown	157.2	20	Aug 11	0:37	Don Rigoberto's Lost Hat (21615)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Empowered Leggings (19385)	Boots of Pure Thought (19437)	Bracelets of Royal Redemption (21604)	Handguards of Transcendence (16920)	Cauterizing Band (19140)	Cauterizing Band (19140)	Royal Seal of Eldre'Thalas (18469)	Blessed Prayer Beads (19990)	Frostwolf Advisor's Cloak (19085)	Benediction (18608)	N/A	Essence Gatherer (19435)
16	Superskillz	N/A	Unknown	155.1	20	Aug 16	0:40	Halo of Transcendence (16921)	Amulet of the Shifting Sands (21507)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Band of Servitude (22721)	Signet Ring of the Bronze Dragonflight (21208)	Royal Seal of Eldre'Thalas (18469)	Hazza'rah's Charm of Healing (19958)	Shroud of Pure Thought (19430)	Benediction (18608)	N/A	Essence Gatherer (19435)
17	Sillibreyt	N/A	Unknown	154.3	20	Aug 6	0:31	Halo of Transcendence (16921)	Jin'do's Evil Eye (19885)	Pauldrons of Transcendence (16924)	Robes of Transcendence (16923)	Belt of Transcendence (16925)	Leggings of Transcendence (16922)	Boots of Transcendence (16919)	Bindings of Transcendence (16926)	Handguards of Transcendence (16920)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Darkmoon Card: Blue Dragon (19288)	Hazza'rah's Charm of Healing (19958)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Sartura's Might (21666)	Glowstar Rod (15281)
