Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Gnawbear	Care Bear Stare	Horde	1,851.5	20	Aug 9	0:18	Deathdealer's Helm (21360)	Onyxia Tooth Pendant (18404)	Deathdealer's Spaulders (21361)	Deathdealer's Vest (21364)	Belt of Preserved Heads (20216)	Deathdealer's Leggings (21362)	Deathdealer's Boots (21359)	Bloodfang Bracers (16911)	Nightslayer Gloves (16826)	Band of Accuria (17063)	Signet Ring of the Bronze Dragonflight (21204)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Striker's Mark (17069)
2	Matleey	N/A	Unknown	1,653.4	20	Jul 27	0:31	Deathdealer's Helm (21360)	Prestor's Talisman of Connivery (19377)	Darkmantle Spaulders (22008)	Darkmantle Tunic (22009)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Bloodfang Bracers (16911)	Darkmantle Gloves (22006)	Signet Ring of the Bronze Dragonflight (21203)	Master Dragonslayer's Ring (19384)	Jom Gabbar (23570)	Drake Fang Talisman (19406)	Cloak of Firemaw (19398)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Striker's Mark (17069)
3	Annadrol	N/A	Unknown	1,597.0	18	Aug 7	0:25	Deathdealer's Helm (21360)	The Eye of Hakkar (19856)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Boots of the Shadow Flame (19381)	Bloodfang Bracers (16911)	Aged Core Leather Gloves (18823)	Master Dragonslayer's Ring (19384)	Band of Accuria (17063)	Renataki's Charm of Trickery (19954)	Blackhand's Breadth (13965)	Cloak of Firemaw (19398)	Perdition's Blade (18816)	Fang of the Faceless (19859)	Precisely Calibrated Boomstick (2100)
4	Maister	Hardened	Alliance	1,547.3	20	Aug 4	0:24	Darkmantle Cap (22005)	Onyxia Tooth Pendant (18404)	Deathdealer's Spaulders (21361)	Darkmantle Tunic (22009)	Darkmantle Belt (22002)	Marshal's Leather Leggings (16456)	Boots of the Shadow Flame (19381)	Bloodfang Bracers (16911)	Darkmantle Gloves (22006)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Earthstrike (21180)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Satyr's Bow (18323)
5	Huka	RAID ONE	Horde	1,538.9	20	Aug 7	0:23	Darkmantle Cap (22005)	Onyxia Tooth Pendant (18404)	Warlord's Leather Spaulders (16562)	Darkmantle Tunic (22009)	Belt of Never-Ending Agony (21586)	General's Leather Legguards (16564)	Darkmantle Boots (22003)	Darkmantle Bracers (22004)	Aged Core Leather Gloves (18823)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	High Warlord's Razor (18840)	High Warlord's Razor (18840)	Striker's Mark (17069)
6	Swiftcrits	HordeHub	Horde	1,509.5	20	Aug 7	0:27	Darkmantle Cap (22005)	Onyxia Tooth Pendant (18404)	Nightslayer Shoulder Pads (16823)	Bloodfang Chestpiece (16905)	Darkmantle Belt (22002)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Bloodfang Bracers (16911)	Darkmantle Gloves (22006)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Royal Seal of Eldre'Thalas (18465)	Drake Fang Talisman (19406)	Zulian Tigerhide Cloak (19907)	Death's Sting (21126)	Blessed Qiraji Pugio (21244)	Satyr's Bow (18323)
7	Shivdeez	N/A	Unknown	1,433.8	20	Aug 5	0:25	Darkmantle Cap (22005)	Onyxia Tooth Pendant (18404)	Darkmantle Spaulders (22008)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Boots of the Shadow Flame (19381)	Darkmantle Bracers (22004)	Darkmantle Gloves (22006)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Carrot on a Stick (11122)	Hand of Justice (11815)	Cape of the Black Baron (13340)	Grand Marshal's Longsword (12584)	Grand Marshal's Swiftblade (23456)	Satyr's Bow (18323)
8	Muffaletta	Bulwark	Alliance	1,408.9	20	Aug 6	0:32	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Deathdealer's Spaulders (21361)	Darkmantle Tunic (22009)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Bloodfang Bracers (16911)	Darkmantle Gloves (22006)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Hand of Justice (11815)	Royal Seal of Eldre'Thalas (18465)	Cape of the Black Baron (13340)	Death's Sting (21126)	Blessed Qiraji Pugio (21244)	Striker's Mark (17069)
9	Synux	FSF	Horde	1,408.2	20	Aug 3	0:22	Warlord's Leather Helm (16561)	Prestor's Talisman of Connivery (19377)	Warlord's Leather Spaulders (16562)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	General's Leather Legguards (16564)	Boots of the Shadow Flame (19381)	Bloodfang Bracers (16911)	Nightslayer Gloves (16826)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Striker's Mark (17069)
10	Skelikiing	Lowkey	Horde	1,391.4	20	Aug 4	0:35	Darkmantle Cap (22005)	Prestor's Talisman of Connivery (19377)	Zandalar Madcap's Mantle (19835)	Bloodfang Chestpiece (16905)	Bloodfang Belt (16910)	Bloodfang Pants (16909)	Darkmantle Boots (22003)	Darkmantle Bracers (22004)	Darkmantle Gloves (22006)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Renataki's Charm of Trickery (19954)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Blackcrow (12651)
