Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Parsegeist	N/A	Unknown	977.7	19	Aug 14	0:29	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Robe of Volatile Power (19145)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Betrayer's Boots (19897)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Natural Alignment Crystal (19344)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Aurastone Hammer (17105)	Master Dragonslayer's Orb (19366)	Totem of the Storm (23199)
2	Ffudge	N/A	Unknown	843.3	20	Jul 30	0:42	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Zandalar Augur's Hauberk (19828)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Boots of Epiphany (21600)	Zandalar Augur's Bracers (19830)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Zanzil's Seal (19893)	Natural Alignment Crystal (19344)	Briarwood Reed (12930)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Malistar's Defender (17106)	Totem of the Storm (23199)
3	Smutsx	N/A	Unknown	818.6	20	Aug 7	0:32	Stormcaller's Diadem (21372)	Choker of the Fire Lord (18814)	Stormcaller's Pauldrons (21376)	Stormcaller's Hauberk (21374)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Boots of Epiphany (21600)	Shackles of the Unscarred (21464)	Gloves of Ebru (21689)	Signet Ring of the Bronze Dragonflight (21209)	Ring of the Fallen God (21709)	Natural Alignment Crystal (19344)	Neltharion's Tear (19379)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
4	Harken	N/A	Unknown	812.1	20	Aug 4	0:25	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Ring of Spell Power (19147)	Natural Alignment Crystal (19344)	Briarwood Reed (12930)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
5	Mangmaman	Tribe	Horde	734.8	20	Jul 30	0:36	Stormcaller's Diadem (21372)	Nacreous Shell Necklace (22403)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Stormcaller's Leggings (21375)	Stormcaller's Footguards (21373)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Signet Ring of the Bronze Dragonflight (21208)	Zanzil's Seal (19893)	Natural Alignment Crystal (19344)	Briarwood Reed (12930)	Cloak of the Hakkari Worshippers (22711)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
6	Coomtotem	ook	Horde	733.5	19	Aug 3	0:44	Mish'undare, Circlet of the Mind Flayer (19375)	Charm of the Shifting Sands (21504)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Boots of Epiphany (21600)	Cinderhide Armsplints (11764)	Gloves of Ebru (21689)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Natural Alignment Crystal (19344)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
7	Loldeleted	Fridgeparsin Spacehorses	Horde	711.8	20	Jul 21	0:39	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Natural Alignment Crystal (19344)	Neltharion's Tear (19379)	Cloak of the Brood Lord (19378)	High Warlord's Spellblade (23466)	Therazane's Touch (19315)	Totem of the Storm (23199)
8	Voo	N/A	Unknown	706.8	19	Aug 15	0:35	Mish'undare, Circlet of the Mind Flayer (19375)	Charm of the Shifting Sands (21504)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Shackles of the Unscarred (21464)	Gloves of Ebru (21689)	Band of Forced Concentration (19403)	Ring of Spell Power (19147)	Royal Seal of Eldre'Thalas (18471)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Totem of the Storm (23199)
9	Julkauwu	N/A	Unknown	706.6	20	Aug 2	0:35	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Shackles of the Unscarred (21464)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Briarwood Reed (12930)	Natural Alignment Crystal (19344)	Cloak of the Hakkari Worshippers (22711)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
10	Guyondacouch	N/A	Unknown	705.4	20	Jul 26	0:39	The Hexxer's Cover (19886)	Choker of the Fire Lord (18814)	Deep Earth Spaulders (18829)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Rune Band of Wizardry (22339)	Ring of Spell Power (19147)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	High Warlord's Spellblade (23466)	Jin'do's Bag of Whammies (19891)	Totem of the Storm (23199)
