Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Zevarix	Momentum	Horde	1,137.1	19	Aug 1	0:27	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Runed Bloodstained Hauberk (19904)	Therazane's Link (19380)	Scaled Sand Reaver Leggings (21651)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	General's Mail Gauntlets (16574)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	High Warlord's Battle Axe (18831)	N/A	Totem of Rage (22395)
2	Zurga	Burning Croissant	Horde	942.7	20	Aug 4	0:40	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Mantle of Wicked Revenge (21665)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Abyssal Mail Legguards (20668)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Chromatic Gauntlets (19157)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Draconic Might (19436)	Sulfuras, Hand of Ragnaros (17182)	N/A	Totem of Rage (22395)
3	Kwangun	N/A	Unknown	934.9	20	Aug 7	0:32	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Scaled Sand Reaver Leggings (21651)	General's Mail Boots (16573)	Wristguards of True Flight (18812)	Seafury Gauntlets (20257)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Insignia of the Horde (18845)	Gnomish Net-o-Matic Projector (10720)	Cloak of Firemaw (19398)	Drake Talon Cleaver (19353)	N/A	Totem of Rage (22395)
4	Fenor	BlackWater	Horde	929.1	20	Aug 5	0:25	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Obsidian Plate Tunic (22191)	Therazane's Link (19380)	Scaled Sand Reaver Leggings (21651)	Boots of the Fallen Prophet (21705)	Wristguards of True Flight (18812)	Chromatic Gauntlets (19157)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Zandalarian Hero Charm (19950)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Drake Talon Cleaver (19353)	N/A	Totem of Rage (22395)
5	Skykang	Honor	Horde	870.1	20	Aug 7	0:29	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Devilsaur Leggings (15062)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Quick Strike Ring (18821)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Sulfuras, Hand of Ragnaros (17182)	N/A	Egan's Blaster (13289)
6	Alkander	N/A	Unknown	820.8	20	Aug 14	0:31	Crown of Destruction (18817)	The Eye of Hakkar (19856)	Mantle of Wicked Revenge (21665)	Savage Gladiator Chain (11726)	Belt of Never-Ending Agony (21586)	Scaled Sand Reaver Leggings (21651)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	Chromatic Gauntlets (19157)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Drake Fang Talisman (19406)	Earthstrike (21180)	Cape of the Black Baron (13340)	Dark Edge of Insanity (21134)	N/A	Totem of Rage (22395)
7	Hxi	Ambition	Horde	769.6	20	Aug 2	0:28	Warlord's Mail Helm (16578)	Imperial Jewel (11933)	Warlord's Mail Spaulders (16580)	Warlord's Mail Armor (16577)	Belt of Preserved Heads (20216)	General's Mail Leggings (16579)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	General's Mail Gauntlets (16574)	Don Julio's Band (19325)	Blackstone Ring (17713)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Concentrated Hatred (21701)	Dark Edge of Insanity (21134)	N/A	Totem of Rage (22395)
8	Spiritanker	Ethereal - Moist Croissants	Horde	749.9	20	Jul 24	0:36	Bloodvine Goggles (19999)	Pendant of the Fallen Dragon (19371)	Earthfury Epaulets (16844)	Green Dragonscale Breastplate (15045)	Zandalar Augur's Belt (19829)	Green Dragonscale Leggings (15046)	General's Mail Boots (16573)	Zandalar Augur's Bracers (19830)	Green Dragonscale Gauntlets (20296)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Mar'li's Eye (19930)	Enamored Water Spirit (20503)	Archivist Cape (13386)	Fang of Venoxis (19903)	Malistar's Defender (17106)	Egan's Blaster (13289)
9	Xeh	N/A	Unknown	746.1	20	Jul 27	0:34	Crown of Destruction (18817)	Onyxia Tooth Pendant (18404)	Warlord's Mail Spaulders (16580)	Savage Gladiator Chain (11726)	Therazane's Link (19380)	Abyssal Mail Legguards (20668)	Boots of the Shadow Flame (19381)	Wristguards of True Flight (18812)	General's Mail Gauntlets (16574)	Quick Strike Ring (18821)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Cloak of Firemaw (19398)	High Warlord's Battle Axe (18831)	N/A	Egan's Blaster (13289)
10	Dermongus	N/A	Unknown	745.0	19	Aug 12	0:47	Mask of the Unforgiven (13404)	The Eye of Hakkar (19856)	Wyrmtongue Shoulders (13358)	Legionnaire's Mail Hauberk (22876)	Belt of Preserved Heads (20216)	Legionnaire's Mail Legguards (22887)	Boots of the Qiraji General (21497)	Slashclaw Bracers (13211)	Blood Guard's Mail Vices (22867)	Blackstone Ring (17713)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Rune of the Guard Captain (19120)	Cape of the Black Baron (13340)	The Unstoppable Force (19323)	N/A	Totem of Sustaining (23200)
