Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Forkhead	N/A	Unknown	180.2	20	Aug 3	0:37	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Breastplate of Ten Storms (16950)	Whipvine Cord (18327)	Salamander Scale Pants (18875)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Harmonious Gauntlets (18527)	Fordring's Seal (16058)	Signet Ring of the Bronze Dragonflight (21206)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Wormscale Blocker (21610)	Totem of Sustaining (23200)
2	Trenzix	Sauce	Horde	151.1	20	Jul 25	0:25	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Greaves of Ten Storms (16949)	Loomguard Armbraces (13969)	Gauntlets of Ten Storms (16948)	Fordring's Seal (16058)	Cauterizing Band (19140)	Rejuvenating Gem (19395)	Zandalarian Hero Charm (19950)	Hide of the Wild (18510)	High Warlord's Battle Mace (23464)	Malistar's Defender (17106)	N/A
3	Jébigajohnny	N/A	Unknown	145.4	20	Aug 6	0:30	Helmet of Ten Storms (16947)	Amulet of the Shifting Sands (21507)	Epaulets of Ten Storms (16945)	Robes of the Exalted (13346)	Corehound Belt (19162)	Earthfury Legguards (16843)	Greaves of Ten Storms (16949)	Bracers of Prosperity (18525)	Harmonious Gauntlets (18527)	Primalist's Seal (19863)	Primalist's Band (19920)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18471)	Shroud of Pure Thought (19430)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	N/A
4	Mgkisa	N/A	Unknown	131.9	20	Aug 7	0:30	Warlord's Mail Helm (16578)	Amulet of the Shifting Sands (21507)	Warlord's Mail Spaulders (16580)	Warlord's Mail Armor (16577)	Belt of Ten Storms (16944)	General's Mail Leggings (16579)	General's Mail Boots (16573)	Bracers of Ten Storms (16943)	General's Mail Gauntlets (16574)	Fordring's Seal (16058)	Don Julio's Band (19325)	Briarwood Reed (12930)	Rejuvenating Gem (19395)	Hide of the Wild (18510)	High Warlord's Battle Axe (18831)	N/A	Totem of Life (22396)
5	呆萌牛灵儿	魔兽老刘	Horde	119.5	20	Aug 3	1:12	Helmet of Ten Storms (16947)	Wavefront Necklace (20685)	Stormcaller's Pauldrons (21376)	Stormcaller's Hauberk (21374)	Earthfury Belt (16838)	Legplates of Ten Storms (16946)	Earthfury Boots (16837)	Earthfury Bracers (16840)	Gauntlets of Ten Storms (16948)	Pure Elementium Band (19382)	Signet Ring of the Bronze Dragonflight (21208)	Zandalarian Hero Charm (19950)	Rejuvenating Gem (19395)	Shroud of Pure Thought (19430)	Lok'amir il Romathis (19360)	Lei of the Lifegiver (19312)	Totem of Sustaining (23200)
6	Banjax	The Unmakers	Horde	110.7	20	Jul 18	0:32	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	General's Mail Leggings (16579)	Greaves of Ten Storms (16949)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Primalist's Band (19920)	Primalist's Seal (19863)	Rejuvenating Gem (19395)	Eye of the Beast (13968)	Shroud of Pure Thought (19430)	High Warlord's Battle Mace (23464)	Red Dragonscale Protector (19348)	N/A
7	Alahram	N/A	Unknown	105.9	20	Aug 6	0:42	Helmet of Ten Storms (16947)	Amulet of the Shifting Sands (21507)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Corehound Belt (19162)	Salamander Scale Pants (18875)	Boots of Pure Thought (19437)	Bracers of Ten Storms (16943)	Gauntlets of Ten Storms (16948)	Primalist's Band (19920)	Primalist's Seal (19863)	Enamored Water Spirit (20503)	Second Wind (11819)	Shroud of Pure Thought (19430)	Claw of Chromaggus (19347)	Lei of the Lifegiver (19312)	N/A
8	Yuuria	N/A	Unknown	104.3	20	Aug 18	0:46	Helm of the Lifegiver (18870)	Amulet of the Shifting Sands (21507)	Mantle of Lost Hope (22234)	Zandalar Augur's Hauberk (19828)	Earthfury Belt (16838)	Earthfury Legguards (16843)	Seafury Boots (20262)	Loomguard Armbraces (13969)	Gloves of Dark Wisdom (21462)	Primalist's Seal (19863)	Primalist's Band (19920)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Faded Hakkari Cloak (20218)	Jin'do's Judgment (19884)	N/A	Totem of the Storm (23199)
9	Rubmytotemz	N/A	Unknown	103.4	19	Aug 12	0:32	Helmet of Ten Storms (16947)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Robes of the Exalted (13346)	Belt of Ten Storms (16944)	Empowered Leggings (19385)	Greaves of Ten Storms (16949)	Bracers of Prosperity (18525)	Gloves of Restoration (18309)	Cauterizing Band (19140)	Primalist's Seal (19863)	Zandalarian Hero Charm (19950)	Shard of the Scale (17064)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	N/A
10	Pubiritva	N/A	Unknown	101.8	20	Aug 9	0:39	Gemburst Circlet (10751)	Frostwolf Advisor's Pendant (19096)	Sunderseer Mantle (13185)	Vestments of the Shifting Sands (21499)	Belt of the Inquisition (21500)	Wolfshear Leggings (13206)	Southsea Mojo Boots (20641)	Bindings of The Five Thunders (22095)	Greenleaf Handwraps (19116)	Band of the Unicorn (7553)	Chemist's Ring (15702)	Royal Seal of Eldre'Thalas (18471)	Eye of the Beast (13968)	Deep Woodlands Cloak (19121)	Guiding Stave of Wisdom (11932)	N/A	N/A
