Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Xeqtre	WAAÁAAÁAAÁAAÁAAÁAAÁAAÁA	Horde	2,339.0	20	Aug 5	0:23	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Malfurion's Blessed Bulwark (19405)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Hive Defiler Wristguards (21618)	Sacrificial Gauntlets (22714)	Quick Strike Ring (18821)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
2	Zare	N/A	Unknown	2,332.6	20	Aug 8	0:20	Warlord's Plate Headpiece (16542)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Belt of Preserved Heads (20216)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Quick Strike Ring (18821)	Circle of Applied Force (19432)	Earthstrike (21180)	Hand of Justice (11815)	Drape of Unyielding Strength (21394)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Bloodseeker (19107)
3	Scarfzug	Care Bear Stare	Horde	2,314.9	20	Aug 9	0:18	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Warlord's Plate Shoulders (16544)	Breastplate of Annihilation (21814)	Zandalar Vindicator's Belt (19823)	Conqueror's Legguards (21332)	Chromatic Boots (19387)	Zandalar Vindicator's Armguards (19824)	Sacrificial Gauntlets (22714)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Earthstrike (21180)	Hand of Justice (11815)	Drape of Unyielding Strength (21394)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Satyr's Bow (18323)
4	Kained	Momentum	Horde	2,126.8	20	Aug 10	0:22	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Conqueror's Spaulders (21330)	Warlord's Plate Armor (16541)	Belt of Preserved Heads (20216)	General's Plate Leggings (16543)	Boots of the Fallen Hero (21688)	Zandalar Vindicator's Armguards (19824)	Edgemaster's Handguards (14551)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Earthstrike (21180)	Diamond Flask (20130)	Drape of Unyielding Strength (21394)	High Warlord's Blade (16345)	High Warlord's Quickblade (23467)	Blastershot Launcher (17072)
5	Drodax	Momentum	Horde	2,121.5	20	Aug 10	0:22	Lionheart Helm (12640)	Onyxia Tooth Pendant (18404)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Bracers of Brutality (21457)	Edgemaster's Handguards (14551)	Painweaver Band (13098)	Don Julio's Band (19325)	Hand of Justice (11815)	Diamond Flask (20130)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	Thunderfury, Blessed Blade of the Windseeker (19019)	Blastershot Launcher (17072)
6	Slugzug	RTR	Horde	2,107.3	20	Aug 8	0:19	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Conqueror's Spaulders (21330)	Savage Gladiator Chain (11726)	Zandalar Vindicator's Belt (19823)	Conqueror's Legguards (21332)	General's Plate Boots (16545)	Deeprock Bracers (21184)	Sacrificial Gauntlets (22714)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Diamond Flask (20130)	Badge of the Swarmguard (21670)	Drape of Unyielding Strength (21394)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
7	Frak	N/A	Unknown	2,102.5	20	Aug 9	0:23	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	Chromatic Boots (19387)	Wristguards of Stability (19146)	Flameguard Gauntlets (19143)	Circle of Applied Force (19432)	Quick Strike Ring (18821)	Hand of Justice (11815)	Diamond Flask (20130)	Drape of Unyielding Strength (21394)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
8	Nich	atrocious	Horde	2,092.4	18	Jul 31	0:23	Champion's Plate Helm (23244)	Barbed Choker (21664)	Champion's Plate Shoulders (23243)	Warlord's Plate Armor (16541)	Zandalar Vindicator's Belt (19823)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	Flameguard Gauntlets (19143)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Diamond Flask (20130)	Hand of Justice (11815)	Drape of Unyielding Strength (21394)	High Warlord's Cleaver (18828)	Crul'shorukh, Edge of Chaos (19363)	Crossbow of Imminent Doom (21459)
9	Angrywumbo	GG	Horde	2,079.3	20	Aug 2	0:21	Warlord's Plate Headpiece (16542)	The Eye of Hakkar (19856)	Warlord's Plate Shoulders (16544)	Warlord's Plate Armor (16541)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Zandalar Vindicator's Armguards (19824)	General's Plate Gauntlets (16548)	Don Julio's Band (19325)	Master Dragonslayer's Ring (19384)	Diamond Flask (20130)	Hand of Justice (11815)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Bloodseeker (19107)
10	Warbringer	HordeHub	Horde	2,068.5	20	Aug 7	0:27	Lionheart Helm (12640)	The Eye of Hakkar (19856)	Champion's Plate Shoulders (23243)	Legionnaire's Plate Hauberk (22872)	Onslaught Girdle (19137)	General's Plate Leggings (16543)	General's Plate Boots (16545)	Bracers of Brutality (21457)	Sacrificial Gauntlets (22714)	Master Dragonslayer's Ring (19384)	Quick Strike Ring (18821)	Diamond Flask (20130)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	High Warlord's Cleaver (18828)	High Warlord's Cleaver (18828)	Gurubashi Dwarf Destroyer (19853)
