Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Milal	N/A	Unknown	407.6	40	Aug 14	1:32:52	Mish'undare, Circlet of the Mind Flayer (19375)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Ban'thok Sash (11662)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Ring of the Fallen God (21709)	Signet Ring of the Bronze Dragonflight (21209)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Blessed Qiraji Acolyte Staff (21273)	N/A	Idol of the Moon (23197)
2	Naapi	Gnomeboys pugs	Alliance	386.3	40	Aug 17	52:30	Mish'undare, Circlet of the Mind Flayer (19375)	Charm of the Shifting Sands (21504)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Gloves of Ebru (21689)	Ring of the Fallen God (21709)	Band of Forced Concentration (19403)	Neltharion's Tear (19379)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Idol of the Moon (23197)
3	Primuh	The Pond pug	Horde	375.1	40	Aug 9	1:07:49	Spellweaver's Turban (22267)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Master's Bracers (10248)	Gloves of Ebru (21689)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Idol of the Moon (23197)
4	Kushu	Drama Cabbage Pugs	Alliance	373.2	40	Aug 2	1:19:34	Mighty Helmet (10150)	Charm of the Shifting Sands (21504)	Mantle of Maz'Nadir (21468)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Shackles of the Unscarred (21464)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Maiden's Circle (13001)	Zandalarian Hero Charm (19950)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Tome of Arcane Domination (19308)	Idol of the Moon (23197)
5	Tabbitab	Shift	Alliance	371.9	40	Aug 7	1:12:04	Mish'undare, Circlet of the Mind Flayer (19375)	Soul Corrupter's Necklace (19876)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Burrower Bracers (21611)	Dark Storm Gauntlets (21585)	Band of Forced Concentration (19403)	Zanzil's Seal (19893)	Neltharion's Tear (19379)	Talisman of Ephemeral Power (18820)	Cloak of the Brood Lord (19378)	Lok'amir il Romathis (19360)	Scepter of Interminable Focus (22329)	Idol of the Moon (23197)
6	고독한미식가	해줘신뢰	Alliance	361.6	40	Aug 4	2:16:20	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Burial Shawl (18681)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Sublime Wristguards (18497)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Band of Forced Concentration (19403)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Idol of the Moon (23197)
7	Stuba	The Pond pug	Horde	356.4	40	Aug 11	1:11:22	Mish'undare, Circlet of the Mind Flayer (19375)	Choker of the Fire Lord (18814)	Cyclone Spaulders (18528)	Bloodvine Vest (19682)	Firemaw's Clutch (19400)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Gloves of Ebru (21689)	Zanzil's Band (19905)	Zanzil's Seal (19893)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Staff of the Shadow Flame (19356)	N/A	Idol of the Moon (23197)
8	斜又斜不废	玉虚宫	Alliance	351.3	40	Aug 15	1:41:15	The Hexxer's Cover (19886)	Pristine Enchanted South Seas Kelp (19613)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Belt of Untapped Power (22716)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Zanzil's Band (19905)	Zandalarian Hero Charm (19950)	Talisman of Ephemeral Power (18820)	Cloak of Consumption (19857)	Lok'amir il Romathis (19360)	Jin'do's Bag of Whammies (19891)	Idol of the Moon (23197)
9	Lastiara	Five Squawks Please	Alliance	348.1	40	Aug 14	1:41:40	Mish'undare, Circlet of the Mind Flayer (19375)	Charm of the Shifting Sands (21504)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Angelista's Grasp (19388)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Rockfury Bracers (21186)	Bloodtinged Gloves (19929)	Zanzil's Seal (19893)	Signet Ring of the Bronze Dragonflight (21208)	Talisman of Ephemeral Power (18820)	Zandalarian Hero Charm (19950)	Cloak of Consumption (19857)	Staff of the Ruins (21452)	N/A	Idol of the Moon (23197)
10	Mbell	N/A	Unknown	342.5	40	Aug 3	1:20:28	Mish'undare, Circlet of the Mind Flayer (19375)	Jeklik's Opaline Talisman (19923)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Mana Igniting Cord (19136)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Ring of Spell Power (19147)	Band of Servitude (22721)	Talisman of Ephemeral Power (18820)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Mageblade (23451)	Royal Scepter of Vek'lor (21597)	Idol of the Moon (23197)
