Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Bluehairdog	BOKPUG	Alliance	704.0	40	Aug 12	40:04	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Dark Warder's Pauldrons (22241)	Vest of Swift Execution (21680)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
2	Appa	Gnomeboys	Alliance	673.3	40	Aug 7	51:10	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Mantle of Wicked Revenge (21665)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Vanguard (21493)	Wristguards of Stability (19146)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Idol of Rejuvenation (22398)
3	Dreadly	Live Lucky	Alliance	661.3	40	Aug 6	1:17:28	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Mantle of Wicked Revenge (21665)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Vanguard (21493)	Qiraji Execution Bracers (21602)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
4	Glowyboyd	log on throne	Alliance	622.3	40	Aug 18	46:26	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Chitinous Shoulderguards (21474)	Vest of Swift Execution (21680)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Vanguard (21493)	Primal Batskin Bracers (19687)	Gloves of Enforcement (21672)	Don Julio's Band (19325)	Band of Jin (19925)	Hand of Justice (11815)	Counterattack Lodestone (18537)	Cloak of Firemaw (19398)	Manual Crowd Pummeler (9449)	N/A	N/A
5	Appai	Gnomeboys pugs	Alliance	622.0	40	Aug 17	52:30	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Mantle of Wicked Revenge (21665)	Primal Batskin Jerkin (19685)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Boots of the Vanguard (21493)	Qiraji Execution Bracers (21602)	Gloves of the Hidden Temple (21605)	Master Dragonslayer's Ring (19384)	Signet Ring of the Bronze Dragonflight (21203)	Earthstrike (21180)	Blackhand's Breadth (13965)	Cloak of Concentrated Hatred (21701)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
6	Feralsnuk	N/A	Unknown	617.6	40	Aug 4	39:19	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
7	Biteclub	SQUAWK	Horde	617.4	40	Aug 6	1:16:22	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Mantle of Wicked Revenge (21665)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Abyssal Leather Bracers (20681)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Band of Accuria (17063)	Earthstrike (21180)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Idol of Health (22399)
8	Hmmnaats	ait alts	Alliance	598.0	40	Jul 27	52:05	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Wyrmtongue Shoulders (13358)	Thick Silithid Chestguard (21467)	Belt of Preserved Heads (20216)	Abyssal Leather Leggings (20665)	Shadefiend Boots (11675)	Wristguards of Stability (19146)	Gloves of Enforcement (21672)	Band of Accuria (17063)	Tarnished Elven Ring (18500)	Nifty Stopwatch (2820)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Manual Crowd Pummeler (9449)	N/A	N/A
9	Meccafurry	N/A	Unknown	594.4	39	Aug 14	1:21:03	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Chitinous Shoulderguards (21474)	Primal Batskin Jerkin (19685)	Belt of Never-Ending Agony (21586)	Abyssal Leather Leggings (20665)	Boots of the Vanguard (21493)	Scaled Bracers of the Gorger (21491)	Gloves of the Hidden Temple (21605)	Band of Accuria (17063)	Signet Ring of the Bronze Dragonflight (21203)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cloak of Concentrated Hatred (21701)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
10	Scrambles	Bulwark	Alliance	590.5	40	Aug 6	1:38:13	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
11	Saunahenki	N/A	Unknown	578.7	40	Aug 17	50:06	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Chitinous Shoulderguards (21474)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Vanguard (21493)	Qiraji Execution Bracers (21602)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Signet Ring of the Bronze Dragonflight (21203)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Blackveil Cape (11626)	Blessed Qiraji War Hammer (21268)	Tome of Knowledge (13385)	Idol of Ferocity (22397)
12	Java	PiggyPugs	Alliance	568.0	40	Aug 11	47:08	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Abyssal Leather Bracers (20681)	Marshal's Dragonhide Gauntlets (16448)	Circle of Applied Force (19432)	Band of Accuria (17063)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of Draconic Might (19436)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
13	Latzbuxx	Rote Rakete	Alliance	567.7	40	Aug 12	48:52	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Chitinous Shoulderguards (21474)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Marshal's Dragonhide Boots (16459)	Scaled Bracers of the Gorger (21491)	Gloves of Enforcement (21672)	Band of Accuria (17063)	Circle of Applied Force (19432)	Earthstrike (21180)	Drake Fang Talisman (19406)	Windshear Cape (20691)	Manual Crowd Pummeler (9449)	N/A	Idol of Ferocity (22397)
