Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Birdwatcher	Hammerfall	Alliance	428.3	39	Aug 17	1:00:6	Guise of the Devourer (21693)	Onyxia Tooth Pendant (18404)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	Gloves of the Hidden Temple (21605)	Band of Accuria (17063)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
2	Raque	Frostwolfclan	Horde	416.0	39	Aug 14	1:23:49	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Circle of Applied Force (19432)	Band of Accuria (17063)	Zandalarian Hero Medallion (19949)	Hand of Justice (11815)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	Egan's Blaster (13289)
3	Bgt	pneumonoultramicroscopic	Horde	414.1	40	Aug 10	57:03	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Primal Batskin Bracers (19687)	General's Dragonhide Gloves (16555)	Blackstone Ring (17713)	Don Julio's Band (19325)	Hand of Justice (11815)	Blackhand's Breadth (13965)	Dragon's Blood Cape (17107)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
4	Dewg	HUNKS	Alliance	403.0	40	Aug 14	46:45	Guise of the Devourer (21693)	Prestor's Talisman of Connivery (19377)	Abyssal Leather Shoulders (20689)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	Dark Heart Pants (20627)	Boots of the Shadow Flame (19381)	Abyssal Leather Bracers (20681)	Gloves of Enforcement (21672)	Band of Accuria (17063)	Master Dragonslayer's Ring (19384)	Hand of Justice (11815)	Drake Fang Talisman (19406)	Windshear Cape (20691)	Manual Crowd Pummeler (9449)	N/A	N/A
5	Hypershift	Tide	Horde	387.8	40	Aug 6	51:37	Wolfshead Helm (8345)	Prestor's Talisman of Connivery (19377)	Warlord's Dragonhide Epaulets (16551)	Vest of Swift Execution (21680)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Band of Accuria (17063)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Manual Crowd Pummeler (9449)	N/A	N/A
6	Cardi	N/A	Unknown	380.3	40	Aug 8	55:23	Guise of the Devourer (21693)	Prestor's Talisman of Connivery (19377)	Field Marshal's Dragonhide Spaulders (16449)	Field Marshal's Dragonhide Breastplate (16452)	Belt of Preserved Heads (20216)	Marshal's Dragonhide Legguards (16450)	Boots of the Shadow Flame (19381)	Qiraji Execution Bracers (21602)	Marshal's Dragonhide Gauntlets (16448)	Band of Accuria (17063)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cloak of Firemaw (19398)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
7	Moossad	Nominal	Horde	377.9	40	Aug 13	1:25:25	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Never-Ending Agony (21586)	General's Dragonhide Leggings (16552)	Boots of the Shadow Flame (19381)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Drake Fang Talisman (19406)	Cape of the Black Baron (13340)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
8	Onetwoatmeal	Smooth	Horde	369.9	40	Aug 15	1:35:39	Warlord's Dragonhide Helmet (16550)	Onyxia Tooth Pendant (18404)	Warlord's Dragonhide Epaulets (16551)	Warlord's Dragonhide Hauberk (16549)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	General's Dragonhide Boots (16554)	Qiraji Execution Bracers (21602)	General's Dragonhide Gloves (16555)	Circle of Applied Force (19432)	Band of Accuria (17063)	Earthstrike (21180)	Drake Fang Talisman (19406)	Cloak of the Fallen God (21710)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
9	Groupshowers	crayons taste purple	Horde	368.8	40	Aug 6	1:26:47	Lizardscale Eyepatch (19945)	Onyxia Tooth Pendant (18404)	Truestrike Shoulders (12927)	Malfurion's Blessed Bulwark (19405)	Belt of Preserved Heads (20216)	General's Dragonhide Leggings (16552)	Blooddrenched Footpads (19906)	Wristguards of Stability (19146)	General's Dragonhide Gloves (16555)	Circle of Applied Force (19432)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Hand of Justice (11815)	Zulian Tigerhide Cloak (19907)	Warden Staff (943)	N/A	Egan's Blaster (13289)
10	Monkmindset	BLAST	Horde	365.6	40	Aug 18	1:07:21	Wolfshead Helm (8345)	Onyxia Tooth Pendant (18404)	Chitinous Shoulderguards (21474)	Warlord's Dragonhide Hauberk (16549)	Belt of Never-Ending Agony (21586)	General's Dragonhide Leggings (16552)	Boots of the Vanguard (21493)	Primal Batskin Bracers (19687)	Gloves of the Hidden Temple (21605)	Band of Accuria (17063)	Circle of Applied Force (19432)	Drake Fang Talisman (19406)	Hand of Justice (11815)	Cloak of the Fallen God (21710)	Manual Crowd Pummeler (9449)	N/A	Idol of Brutality (23198)
