Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Thiccbetty	Fatherless Behavior	Alliance	96.2	40	Aug 6	1:50:44	Stormrage Cover (16900)	Wavefront Necklace (20685)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Scaled Bracers of the Gorger (21491)	Cenarion Gloves (16831)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18470)	Hakkari Loa Cloak (19870)	Will of Arlokk (19909)	N/A	N/A
2	Blibbax	DPS CLUB	Alliance	96.1	40	Aug 7	38:41	Stormrage Cover (16900)	Animated Chain Necklace (18723)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Fordring's Seal (16058)	Band of Servitude (22721)	Royal Seal of Eldre'Thalas (18470)	Second Wind (11819)	Hide of the Wild (18510)	Jin'do's Hexxer (19890)	Lei of the Lifegiver (19312)	Idol of Rejuvenation (22398)
3	小手有点凉	昔日情怀-110团	Horde	80.6	40	Aug 8	2:38:08	Stormrage Cover (16900)	Tooth of Gnarr (13141)	Cenarion Spaulders (16836)	Cenarion Vestments (16833)	Zandalar Haruspex's Belt (19839)	Cenarion Leggings (16835)	Cenarion Boots (16829)	Zandalar Haruspex's Bracers (19840)	Cenarion Gloves (16831)	Band of Sulfuras (19138)	Band of Servitude (22721)	Eye of the Beast (13968)	Neltharion's Tear (19379)	Cloak of the Devoured (22731)	Lok'amir il Romathis (19360)	Master Dragonslayer's Orb (19366)	Idol of the Moon (23197)
4	Onlystams	GG	Horde	72.6	40	Aug 7	59:32	Stormrage Cover (16900)	Choker of Enlightenment (17109)	Mantle of the Blackwing Cabal (19370)	Stormrage Chestguard (16897)	Firemaw's Clutch (19400)	Leggings of Immersion (21698)	Boots of Epiphany (21600)	Stormrage Bracers (16904)	Gloves of Ebru (21689)	Ring of Blackrock (19397)	Pure Elementium Band (19382)	Zandalarian Hero Charm (19950)	Royal Seal of Eldre'Thalas (18470)	Cloak of the Brood Lord (19378)	Staff of the Shadow Flame (19356)	N/A	Idol of the Moon (23197)
5	Useless	Eternal	Alliance	66.6	40	Aug 18	26:31	Stormrage Cover (16900)	Soul Corrupter's Necklace (19876)	Stormrage Pauldrons (16902)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Ring of Blackrock (19397)	Band of Forced Concentration (19403)	Darkmoon Card: Blue Dragon (19288)	Neltharion's Tear (19379)	Cloak of Consumption (19857)	Grand Marshal's Warhammer (23454)	Torch of Holy Flame (7344)	Idol of Rejuvenation (22398)
6	Runn	B R I C K E D	Alliance	66.5	40	Jul 24	36:26	Deviate Growth Cap (20628)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Bracers of Arcane Accuracy (19374)	Stormrage Handguards (16899)	Pure Elementium Band (19382)	Cauterizing Band (19140)	Zandalarian Hero Charm (19950)	Neltharion's Tear (19379)	Drape of Benediction (18208)	Grand Marshal's Warhammer (23454)	Torch of Holy Flame (7344)	Idol of Rejuvenation (22398)
7	Ambeliná	N/A	Unknown	65.8	38	Aug 15	1:28:48	The Hexxer's Cover (19886)	Charm of the Shifting Sands (21504)	Mantle of the Blackwing Cabal (19370)	Bloodvine Vest (19682)	Stormrage Belt (16903)	Bloodvine Leggings (19683)	Bloodvine Boots (19684)	Bracers of Arcane Accuracy (19374)	Bloodtinged Gloves (19929)	Band of Servitude (22721)	Songstone of Ironforge (12543)	Zandalarian Hero Charm (19950)	Briarwood Reed (12930)	Cloak of Consumption (19857)	Shadow Wing Focus Staff (19355)	N/A	Idol of the Moon (23197)
8	Xevshift	N/A	Unknown	65.6	38	Aug 14	1:46:10	Stormrage Cover (16900)	Amulet of the Shifting Sands (21507)	Stormrage Pauldrons (16902)	Zandalar Haruspex's Tunic (19838)	Stormrage Belt (16903)	Leggings of Immersion (21698)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Elemental Focus Band (20682)	Signet Ring of the Bronze Dragonflight (21209)	Royal Seal of Eldre'Thalas (18470)	Briarwood Reed (12930)	Cloak of the Savior (21470)	Fang of Korialstrasz (21523)	Mystical Orb (15938)	Idol of Rejuvenation (22398)
9	Prionqt	Turtles	Alliance	63.3	40	Jul 27	49:49	Stormrage Cover (16900)	Jin'do's Evil Eye (19885)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Stormrage Belt (16903)	Salamander Scale Pants (18875)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Primalist's Seal (19863)	Pure Elementium Band (19382)	Shard of the Scale (17064)	Royal Seal of Eldre'Thalas (18470)	Hakkari Loa Cloak (19870)	Claw of Chromaggus (19347)	Torch of Holy Flame (7344)	N/A
10	Danchk	noted	Alliance	60.9	40	Aug 6	43:38	Zulian Headdress (22720)	Soul Corrupter's Necklace (19876)	Wild Growth Spaulders (18810)	Stormrage Chestguard (16897)	Regenerating Belt of Vek'nilash (21609)	Stormrage Legguards (16901)	Stormrage Boots (16898)	Stormrage Bracers (16904)	Stormrage Handguards (16899)	Signet Ring of the Bronze Dragonflight (21208)	Band of Forced Concentration (19403)	Royal Seal of Eldre'Thalas (18470)	Zandalarian Hero Charm (19950)	Shroud of Pure Thought (19430)	Jin'do's Hexxer (19890)	Torch of Holy Flame (7344)	Idol of Rejuvenation (22398)
