Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Walterburn	SQUAWK	Horde	669.6	41	Aug 13	1:26:51	Warlord's Chain Helmet (16566)	Prestor's Talisman of Connivery (19377)	Warlord's Chain Shoulders (16568)	Warlord's Chain Chestpiece (16565)	Ossirian's Binding (21463)	General's Chain Legguards (16567)	General's Chain Boots (16569)	Dragonstalker's Bracers (16935)	General's Chain Gloves (16571)	Ring of the Godslayer (21596)	Don Julio's Band (19325)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Bonereaver's Edge (17076)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
2	Resetting	Smooth	Horde	647.1	40	Aug 18	1:33:56	Champion's Chain Helm (23251)	Onyxia Tooth Pendant (18404)	Champion's Chain Shoulders (23252)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Dragonstalker's Greaves (16941)	Dragonstalker's Bracers (16935)	General's Chain Gloves (16571)	Band of Accuria (17063)	Don Julio's Band (19325)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Warblade of the Hakkari (19865)	Fang of the Faceless (19859)	Ashjre'thul, Crossbow of Smiting (19361)
3	Vagnarul	Tide	Horde	646.7	40	Aug 6	51:37	Champion's Chain Helm (23251)	Prestor's Talisman of Connivery (19377)	Champion's Chain Shoulders (23252)	Dragonstalker's Breastplate (16942)	Ossirian's Binding (21463)	Dragonstalker's Legguards (16938)	General's Chain Boots (16569)	Dragonstalker's Bracers (16935)	General's Chain Gloves (16571)	Band of Jin (19925)	Seal of Jin (19898)	Earthstrike (21180)	Renataki's Charm of Beasts (19953)	Cloak of the Shrouded Mists (17102)	Ashkandi, Greatsword of the Brotherhood (19364)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
4	Swanfan	whos friend r u	Alliance	633.5	40	Aug 13	33:52	Field Marshal's Chain Helm (16465)	Prestor's Talisman of Connivery (19377)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Dragonstalker's Belt (16936)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Wristguards of True Flight (18812)	Marshal's Chain Grips (16463)	Band of Jin (19925)	Seal of Jin (19898)	Royal Seal of Eldre'Thalas (18473)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Grand Marshal's Longsword (12584)	Grand Marshal's Longsword (12584)	Ashjre'thul, Crossbow of Smiting (19361)
5	Utamar	Stinzos Pugs	Horde	608.6	40	Aug 14	51:15	Champion's Chain Helm (23251)	Onyxia Tooth Pendant (18404)	Champion's Chain Shoulders (23252)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Dragonstalker's Greaves (16941)	Dragonstalker's Bracers (16935)	General's Chain Gloves (16571)	Signet Ring of the Bronze Dragonflight (21204)	Don Julio's Band (19325)	Devilsaur Eye (19991)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Brutality Blade (18832)	Core Hound Tooth (18805)	Ashjre'thul, Crossbow of Smiting (19361)
6	Køi	Drama Cabbage Pugs	Alliance	607.0	40	Aug 17	1:05:58	Field Marshal's Chain Helm (16465)	Onyxia Tooth Pendant (18404)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Ossirian's Binding (21463)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Dragonstalker's Bracers (16935)	Marshal's Chain Grips (16463)	Signet Ring of the Bronze Dragonflight (21203)	Ring of the Godslayer (21596)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Barb of the Sand Reaver (21635)	N/A	Ashjre'thul, Crossbow of Smiting (19361)
7	Tnh	WOODDEPARTMENT	Alliance	596.4	40	Aug 8	1:55:33	Field Marshal's Chain Helm (16465)	Prestor's Talisman of Connivery (19377)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Ossirian's Binding (21463)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Wristguards of True Flight (18812)	Marshal's Chain Grips (16463)	Master Dragonslayer's Ring (19384)	Don Julio's Band (19325)	Blackhand's Breadth (13965)	Renataki's Charm of Beasts (19953)	Cloak of the Shrouded Mists (17102)	Grand Marshal's Longsword (12584)	Grand Marshal's Longsword (12584)	Ashjre'thul, Crossbow of Smiting (19361)
8	Noctrelle	Gambit	Alliance	595.7	41	Aug 14	1:46:57	Field Marshal's Chain Helm (16465)	Onyxia Tooth Pendant (18404)	Field Marshal's Chain Spaulders (16468)	Field Marshal's Chain Breastplate (16466)	Dragonstalker's Belt (16936)	Marshal's Chain Legguards (16467)	Marshal's Chain Boots (16462)	Wristguards of True Flight (18812)	Marshal's Chain Grips (16463)	Seal of Jin (19898)	Band of Jin (19925)	Renataki's Charm of Beasts (19953)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Barb of the Sand Reaver (21635)	N/A	Rhok'delar, Longbow of the Ancient Keepers (18713)
9	Saltsalt	Carnage	Alliance	592.7	40	Aug 6	58:48	Lieutenant Commander's Chain Helm (23306)	Onyxia Tooth Pendant (18404)	Lieutenant Commander's Chain Shoulders (23307)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Marshal's Chain Boots (16462)	Dragonstalker's Bracers (16935)	Marshal's Chain Grips (16463)	Band of Jin (19925)	Seal of Jin (19898)	Devilsaur Eye (19991)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Grand Marshal's Longsword (12584)	Grand Marshal's Longsword (12584)	Ashjre'thul, Crossbow of Smiting (19361)
10	Bokranya	Buds	Alliance	592.2	36	Aug 6	1:08:42	Lieutenant Commander's Chain Helm (23306)	Prestor's Talisman of Connivery (19377)	Lieutenant Commander's Chain Shoulders (23307)	Dragonstalker's Breastplate (16942)	Dragonstalker's Belt (16936)	Dragonstalker's Legguards (16938)	Marshal's Chain Boots (16462)	Dragonstalker's Bracers (16935)	Marshal's Chain Grips (16463)	Ring of the Godslayer (21596)	Band of Accuria (17063)	Devilsaur Eye (19991)	Blackhand's Breadth (13965)	Cloak of the Shrouded Mists (17102)	Warblade of the Hakkari (19865)	Fang of the Faceless (19859)	Ashjre'thul, Crossbow of Smiting (19361)
